word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,The,0,3,0.5419,0.6222,wav2vec2_ctc_forced_alignment,-0.31126,1,9,1,1,True,506,13,258,258,0.5
1,first,4,9,0.7025,0.9233,wav2vec2_ctc_forced_alignment,-0.31126,1,23,2,2,True,491,2,292,292,1.0
2,place,10,15,1.0036,1.2846,wav2vec2_ctc_forced_alignment,-0.31126,1,29,2,2,True,491,2,292,292,1.0
3,is,16,18,1.385,1.4452,wav2vec2_ctc_forced_alignment,-0.31126,1,8,1,1,True,482,1,292,292,1.5
4,either,19,25,1.5455,1.7462,wav2vec2_ctc_forced_alignment,-0.31126,1,21,1,1,True,482,1,292,292,1.5
5,you,26,29,1.8667,1.947,wav2vec2_ctc_forced_alignment,-0.31126,1,9,1,1,True,471,11,292,292,2.0
6,have,30,34,2.0473,2.2079,wav2vec2_ctc_forced_alignment,-0.31126,1,17,1,1,True,471,11,292,292,2.0
7,a,35,36,2.2882,2.3083,wav2vec2_ctc_forced_alignment,-0.31126,1,3,1,1,True,487,11,307,307,2.5
8,prospect,37,45,2.3885,2.9104,wav2vec2_ctc_forced_alignment,-0.31126,1,53,2,2,True,487,11,307,307,2.5
9,or,47,49,2.9506,3.0108,wav2vec2_ctc_forced_alignment,-0.31126,1,7,1,1,True,472,15,285,285,3.0
10,a,50,51,3.071,3.0911,wav2vec2_ctc_forced_alignment,-0.31126,1,3,1,1,True,472,15,285,285,3.0
11,customer,52,60,3.1513,3.5126,wav2vec2_ctc_forced_alignment,-0.31126,1,37,2,2,True,479,12,281,281,3.5
12,who's,61,66,3.5728,3.6932,wav2vec2_ctc_forced_alignment,-0.31126,3,13,1,1,True,479,12,281,281,3.5
13,never,67,72,3.8939,4.1749,wav2vec2_ctc_forced_alignment,-0.31126,1,29,1,1,True,479,0,315,306,4.0
14,done,73,77,4.2954,4.476,wav2vec2_ctc_forced_alignment,-0.31126,1,19,1,1,True,491,0,298,293,4.5
15,it,78,80,4.5362,4.5764,wav2vec2_ctc_forced_alignment,-0.31126,1,5,1,1,True,491,0,298,293,4.5
16,before,81,87,4.6767,5.0581,wav2vec2_ctc_forced_alignment,-0.31126,1,39,2,2,True,617,516,71,71,5.0
17,or,89,91,5.0782,5.1183,wav2vec2_ctc_forced_alignment,-0.31126,1,5,1,1,True,617,516,71,71,5.0
18,they've,92,99,5.1384,5.3391,wav2vec2_ctc_forced_alignment,-0.31126,3,21,2,2,True,617,516,71,71,5.0
19,never,100,105,5.4395,5.6602,wav2vec2_ctc_forced_alignment,-0.31126,1,23,1,1,True,482,0,334,326,5.5
20,tried,106,111,5.7405,5.9814,wav2vec2_ctc_forced_alignment,-0.31126,1,25,2,2,True,507,0,321,313,6.0
21,it,112,114,6.0617,6.1219,wav2vec2_ctc_forced_alignment,-0.31126,1,7,1,1,True,507,0,321,313,6.0
