word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,It,0,2,0.5612,0.6013,wav2vec2_ctc_forced_alignment,-0.57527,1,4,1,1,True,572,178,123,123,-0.01494,1,False,False,True,0.6
1,is,3,5,0.6815,0.7215,wav2vec2_ctc_forced_alignment,-0.57527,1,4,1,1,True,576,182,121,121,-0.01209,1,False,False,True,0.7
2,a,6,7,0.8418,0.8618,wav2vec2_ctc_forced_alignment,-0.57527,1,2,0,0,False,280,0,720,720,-0.05521,0,False,True,True,0.9
3,word,8,12,0.922,1.1625,wav2vec2_ctc_forced_alignment,-0.57527,1,24,2,2,False,280,0,720,720,-0.00655,2,False,False,True,1.0
4,which,13,18,1.4431,1.6034,wav2vec2_ctc_forced_alignment,-0.57527,1,16,2,2,False,280,0,720,720,-0.07881,2,False,False,True,1.5
5,the,19,22,1.6636,1.7437,wav2vec2_ctc_forced_alignment,-0.57527,1,8,1,1,False,280,0,720,720,-0.04291,1,False,False,True,1.7
6,administrator,23,36,1.8039,3.9284,wav2vec2_ctc_forced_alignment,-0.57527,1,212,21,21,False,280,0,720,720,-0.51238,21,False,False,True,2.9
7,uses,37,41,4.0086,4.2691,wav2vec2_ctc_forced_alignment,-0.57527,1,26,2,2,False,280,0,720,720,-0.50137,2,False,False,True,4.1
8,when,42,46,4.3092,4.4094,wav2vec2_ctc_forced_alignment,-0.57527,1,10,1,1,False,280,0,720,720,-0.12997,1,False,False,True,4.4
9,he,47,49,4.4695,4.5096,wav2vec2_ctc_forced_alignment,-0.57527,1,4,1,1,False,280,0,720,720,-0.13808,1,False,False,True,4.5
10,turns,50,55,4.5698,4.8103,wav2vec2_ctc_forced_alignment,-0.57527,1,25,3,3,False,280,0,720,720,-0.01085,3,False,False,True,4.7
11,around,56,62,4.8904,5.1109,wav2vec2_ctc_forced_alignment,-0.57527,1,22,3,3,False,280,0,720,720,-0.33238,3,False,False,True,5.0
12,anything,63,71,5.1911,5.4917,wav2vec2_ctc_forced_alignment,-0.57527,1,30,3,3,False,280,0,720,720,-0.03823,3,False,False,True,5.3
13,which,72,77,5.5118,5.6521,wav2vec2_ctc_forced_alignment,-0.57527,1,14,1,1,False,280,0,720,720,-0.18668,1,False,False,True,5.6
14,he,78,80,5.6922,5.7322,wav2vec2_ctc_forced_alignment,-0.57527,1,4,1,1,False,280,0,720,720,-1.12213,1,False,False,True,5.7
15,doesn't,81,88,5.7924,6.0128,wav2vec2_ctc_forced_alignment,-0.57527,3,22,3,3,False,280,0,720,720,-0.98179,3,False,False,True,5.9
16,like,89,93,6.073,6.2133,wav2vec2_ctc_forced_alignment,-0.57527,1,14,2,2,False,280,0,720,720,-0.00536,2,False,False,True,6.1
17,that,94,98,6.2934,6.3736,wav2vec2_ctc_forced_alignment,-0.57527,1,8,1,1,True,516,126,183,183,-3.45855,1,False,False,True,6.3
18,the,99,102,6.3937,6.4538,wav2vec2_ctc_forced_alignment,-0.57527,1,6,1,1,False,280,0,720,720,-6.70267,1,False,False,True,6.4
19,teacher,103,110,6.4738,6.7544,wav2vec2_ctc_forced_alignment,-0.57527,1,28,3,3,False,280,0,720,720,-0.40135,3,False,False,True,6.6
20,is,111,113,6.8146,6.8546,wav2vec2_ctc_forced_alignment,-0.57527,1,4,0,0,True,499,123,192,192,-0.42063,0,False,True,True,6.8
21,doing,114,119,6.8947,7.1152,wav2vec2_ctc_forced_alignment,-0.57527,1,22,3,3,True,480,118,204,204,-0.43449,3,False,False,True,7.0
