word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,Many,0,4,0.5207,0.701,wav2vec2_ctc_forced_alignment,-0.06378,1,19,1,1,True,139,21,139,139,0.5
1,people,5,11,0.7811,0.9814,wav2vec2_ctc_forced_alignment,-0.06378,1,21,1,1,True,149,19,141,141,1.0
2,are,12,15,1.0615,1.1416,wav2vec2_ctc_forced_alignment,-0.06378,1,9,1,1,True,149,19,141,141,1.0
3,not,16,19,1.2418,1.5021,wav2vec2_ctc_forced_alignment,-0.06378,1,27,2,2,True,145,18,144,144,1.5
4,until,20,25,1.5822,1.8226,wav2vec2_ctc_forced_alignment,-0.06378,1,25,2,2,True,145,18,144,144,1.5
5,they,26,30,1.8626,1.9628,wav2vec2_ctc_forced_alignment,-0.06378,1,11,1,1,True,144,18,144,144,2.0
6,get,31,34,2.0229,2.1631,wav2vec2_ctc_forced_alignment,-0.06378,1,15,1,1,True,144,18,144,144,2.0
7,to,35,37,2.2632,2.3433,wav2vec2_ctc_forced_alignment,-0.06378,1,9,1,1,True,141,17,146,146,2.5
8,be,38,40,2.4034,2.5035,wav2vec2_ctc_forced_alignment,-0.06378,1,11,1,1,True,141,17,146,146,2.5
9,a,41,42,2.6638,2.6838,wav2vec2_ctc_forced_alignment,-0.06378,1,3,1,1,True,141,17,146,146,2.5
10,older,43,48,3.3047,3.545,wav2vec2_ctc_forced_alignment,-0.06378,1,26,1,1,True,142,22,139,139,3.5
11,age,49,52,3.7653,3.9255,wav2vec2_ctc_forced_alignment,-0.06378,1,17,1,1,True,141,21,141,141,4.0
12,and,53,56,4.0257,4.0858,wav2vec2_ctc_forced_alignment,-0.06378,1,7,1,1,True,141,21,141,141,4.0
13,they,57,61,4.1258,4.226,wav2vec2_ctc_forced_alignment,-0.06378,1,11,1,1,True,141,21,141,141,4.0
14,realize,62,69,4.3261,4.7267,wav2vec2_ctc_forced_alignment,-0.06378,1,41,1,1,True,140,22,140,140,4.5
15,that,70,74,4.8268,4.947,wav2vec2_ctc_forced_alignment,-0.06378,1,13,1,1,True,139,18,145,145,5.0
16,gosh,75,79,5.0672,5.3476,wav2vec2_ctc_forced_alignment,-0.06378,2,29,2,2,True,139,18,145,145,5.0
17,they,80,84,5.7481,5.8483,wav2vec2_ctc_forced_alignment,-0.06378,1,11,2,2,True,140,18,144,144,6.0
18,wasted,85,91,6.0085,6.3289,wav2vec2_ctc_forced_alignment,-0.06378,1,33,2,2,True,140,18,144,144,6.0
19,a,92,93,6.369,6.389,wav2vec2_ctc_forced_alignment,-0.06378,1,3,1,1,True,133,22,138,138,6.5
20,lot,94,97,6.4491,6.5693,wav2vec2_ctc_forced_alignment,-0.06378,1,13,1,1,True,133,22,138,138,6.5
21,of,98,100,6.6294,6.6694,wav2vec2_ctc_forced_alignment,-0.06378,1,5,1,1,True,133,22,138,138,6.5
22,time,101,105,6.7495,7.07,wav2vec2_ctc_forced_alignment,-0.06378,1,33,2,2,True,132,20,144,144,7.0
23,and,106,109,7.1501,7.2102,wav2vec2_ctc_forced_alignment,-0.06378,1,7,1,1,True,132,20,144,144,7.0
24,money,110,115,7.3304,7.5707,wav2vec2_ctc_forced_alignment,-0.06378,1,25,1,1,True,140,27,139,139,7.5
25,in,116,118,8.9727,9.0328,wav2vec2_ctc_forced_alignment,-0.06378,1,7,1,1,True,145,21,140,140,9.0
26,placing,119,126,9.3132,9.6336,wav2vec2_ctc_forced_alignment,-0.06378,1,33,1,1,True,145,21,139,139,9.5
27,bets,127,131,9.7137,9.9541,wav2vec2_ctc_forced_alignment,-0.06378,1,25,2,2,True,149,17,141,141,10.0
28,on,132,134,10.0342,10.0742,wav2vec2_ctc_forced_alignment,-0.06378,1,5,1,1,True,149,17,141,141,10.0
29,stock,135,140,10.1744,10.4347,wav2vec2_ctc_forced_alignment,-0.06378,1,27,2,2,True,149,21,138,138,10.5
30,that's,141,147,10.5349,10.7552,wav2vec2_ctc_forced_alignment,-0.06378,3,24,2,2,True,149,21,138,138,10.5
31,ultimately,148,158,10.8754,11.3761,wav2vec2_ctc_forced_alignment,-0.06378,1,51,2,2,True,142,18,140,140,11.0
32,lost,159,163,11.4562,11.7166,wav2vec2_ctc_forced_alignment,-0.06378,1,27,1,1,True,138,17,145,145,11.5
33,value,164,169,11.8568,12.2173,wav2vec2_ctc_forced_alignment,-0.06378,1,37,1,1,True,136,14,147,147,12.0
