word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Therefore,0,9,0.34,1.3636,proportional_fallback_low_ctc_confidence,-4.19478,1,103,10,10,True,531,76,273,331,-2.91621,10,True,False,False,0.9
1,the,11,14,1.3636,1.7048,proportional_fallback_low_ctc_confidence,-4.19478,1,34,4,4,True,535,98,274,317,-5.88906,4,True,False,False,1.5
2,world,15,20,1.7048,2.2735,proportional_fallback_low_ctc_confidence,-4.19478,1,57,5,5,True,544,121,266,313,-2.96334,5,True,False,False,2.0
3,needs,21,26,2.2735,2.8422,proportional_fallback_low_ctc_confidence,-4.19478,1,57,6,6,True,552,90,272,328,-7.18085,6,True,False,False,2.6
4,to,27,29,2.8422,3.0697,proportional_fallback_low_ctc_confidence,-4.19478,1,22,2,2,True,555,89,269,329,-1.72466,2,True,False,False,3.0
5,stand,30,35,3.0697,3.6384,proportional_fallback_low_ctc_confidence,-4.19478,1,57,6,6,True,537,99,270,322,-3.16786,6,True,False,False,3.4
6,with,36,40,3.6384,4.0933,proportional_fallback_low_ctc_confidence,-4.19478,1,46,4,4,True,523,104,275,325,-6.36003,4,True,False,False,3.9
7,Israel,41,47,4.0933,4.7757,proportional_fallback_low_ctc_confidence,-4.19478,1,68,7,7,True,520,115,276,332,-2.88178,7,True,False,False,4.4
8,against,48,55,4.7757,5.5719,proportional_fallback_low_ctc_confidence,-4.19478,1,80,8,8,True,509,86,280,332,-3.61372,8,True,False,False,5.2
9,this,56,60,5.5719,6.0268,proportional_fallback_low_ctc_confidence,-4.19478,1,45,5,5,True,517,69,275,341,-2.80821,5,True,False,False,5.8
10,incitement,61,71,6.0268,7.1642,proportional_fallback_low_ctc_confidence,-4.19478,3,114,11,11,True,532,85,271,322,-5.2802,11,True,False,False,6.6
11,which,73,78,7.1642,7.7329,proportional_fallback_low_ctc_confidence,-4.19478,1,57,6,6,True,527,95,275,324,-4.80775,6,True,False,False,7.4
12,is,79,81,7.7329,7.9604,proportional_fallback_low_ctc_confidence,-4.19478,1,23,2,2,True,516,105,281,312,-5.69922,2,True,False,False,7.8
13,the,82,85,7.9604,8.3016,proportional_fallback_low_ctc_confidence,-4.19478,1,34,4,4,True,515,99,281,313,-4.04203,4,True,False,False,8.1
14,number,86,92,8.3016,8.984,proportional_fallback_low_ctc_confidence,-4.19478,1,68,6,6,True,519,103,276,314,-2.94072,6,True,False,False,8.6
15,one,93,96,8.984,9.3252,proportional_fallback_low_ctc_confidence,-4.19478,1,34,4,4,True,509,116,272,315,-6.08843,4,True,False,False,9.2
16,cause,97,102,9.3252,9.8939,proportional_fallback_low_ctc_confidence,-4.19478,1,57,5,5,True,517,109,271,318,-3.57716,5,True,False,False,9.6
17,of,103,105,9.8939,10.1214,proportional_fallback_low_ctc_confidence,-4.19478,1,23,3,3,True,545,110,267,338,-4.4962,3,True,False,False,10.0
18,terrorism,106,115,10.1214,11.145,proportional_fallback_low_ctc_confidence,-4.19478,1,102,10,10,True,541,114,273,313,-4.68541,10,True,False,False,10.6
