样本编号,预测极性,预测强度,预测最大概率,负向概率,中性概率,正向概率,文本不可用比例,语音不可用比例,视觉不可用比例,文本,模型
附件3_01,Negative,-1.0818796157836914,0.8479022979736328,0.8479022979736328,0.07160686701536179,0.08049082010984421,0.0,0.0,0.0,,distilled
附件3_02,Neutral,0.0,0.6319389939308167,0.16918982565402985,0.6319389939308167,0.19887113571166992,0.1785714285714286,0.1785714285714286,0.1785714285714286,,distilled
附件3_03,Neutral,0.0,0.589346170425415,0.1453271061182022,0.589346170425415,0.26532673835754395,0.15625,0.15625,0.28125,,distilled
附件3_04,Positive,0.41647687554359436,0.518172562122345,0.10801922529935837,0.3738081753253937,0.518172562122345,0.06451612903225812,0.06451612903225812,0.06451612903225812,,distilled
附件3_05,Negative,-1.150651216506958,0.8473504185676575,0.8473504185676575,0.07466347515583038,0.07798611372709274,0.0,0.0,0.0,,distilled
附件3_06,Positive,0.7955742478370667,0.7249894142150879,0.045266229659318924,0.22974427044391632,0.7249894142150879,0.12,0.12,0.12,,distilled
附件3_07,Neutral,0.0,0.5050349235534668,0.15528397262096405,0.5050349235534668,0.33968105912208557,0.1428571428571429,0.1428571428571429,0.1428571428571429,,distilled
附件3_08,Negative,-0.5702881217002869,0.6017370223999023,0.6017370223999023,0.21435493230819702,0.18390803039073944,0.1333333333333333,0.1333333333333333,0.1333333333333333,,distilled
附件3_09,Positive,1.0709095001220703,0.8545260429382324,0.036072105169296265,0.10940185934305191,0.8545260429382324,0.1428571428571429,0.1428571428571429,0.1428571428571429,,distilled
附件3_10,Neutral,0.0,0.6945109367370605,0.12300950288772583,0.6945109367370605,0.18247956037521362,0.0,0.0,0.0,,distilled
附件3_11,Neutral,0.0,0.45886555314064026,0.10392595082521439,0.45886555314064026,0.4372084438800812,0.2857142857142857,0.2857142857142857,0.2857142857142857,,distilled
附件3_12,Positive,0.5390718579292297,0.610906183719635,0.11732397228479385,0.27176979184150696,0.610906183719635,0.15384615384615385,0.15384615384615385,0.15384615384615385,,distilled
附件3_13,Neutral,0.0,0.4454611837863922,0.236214280128479,0.4454611837863922,0.31832456588745117,0.10526315789473684,0.10526315789473684,0.10526315789473684,,distilled
附件3_14,Negative,-0.6086724400520325,0.7079906463623047,0.7079906463623047,0.18241684138774872,0.10959255695343018,0.08695652173913049,0.08695652173913049,0.08695652173913049,,distilled
附件3_15,Positive,0.6991968750953674,0.7203512787818909,0.04378243908286095,0.23586629331111908,0.7203512787818909,0.11111111111111116,0.11111111111111116,0.11111111111111116,,distilled
附件3_16,Positive,1.254231572151184,0.8945828080177307,0.04504971578717232,0.06036742404103279,0.8945828080177307,0.11764705882352944,0.11764705882352944,0.11764705882352944,,distilled
附件3_17,Negative,-0.31007128953933716,0.5044951438903809,0.5044951438903809,0.31403210759162903,0.1814727634191513,0.36363636363636365,0.36363636363636365,0.36363636363636365,,distilled
附件3_18,Positive,0.27139291167259216,0.4372365474700928,0.13736586272716522,0.4253976047039032,0.4372365474700928,0.17647058823529416,0.17647058823529416,0.17647058823529416,,distilled
附件3_19,Negative,-0.35922500491142273,0.529323160648346,0.529323160648346,0.3071395456790924,0.16353733837604523,0.29166666666666663,0.29166666666666663,0.29166666666666663,,distilled
附件3_20,Neutral,0.0,0.5764419436454773,0.12247190624475479,0.5764419436454773,0.3010861575603485,0.29166666666666663,0.29166666666666663,0.29166666666666663,,distilled
附件3_21,Positive,0.5863088965415955,0.6635084748268127,0.06671261787414551,0.26977887749671936,0.6635084748268127,0.33333333333333337,0.33333333333333337,0.33333333333333337,,distilled
附件3_22,Neutral,0.0,0.4029620885848999,0.2655995786190033,0.4029620885848999,0.3314383327960968,0.23529411764705888,0.23529411764705888,0.23529411764705888,,distilled
附件3_23,Positive,0.4235759675502777,0.5079638957977295,0.06038674712181091,0.4316493272781372,0.5079638957977295,0.3076923076923077,0.3076923076923077,0.3076923076923077,,distilled
附件3_24,Negative,-0.5159650444984436,0.6228241324424744,0.6228241324424744,0.143829345703125,0.23334646224975586,0.25,0.25,0.25,,distilled
附件3_25,Positive,0.4051322937011719,0.47573423385620117,0.08351346850395203,0.4407522976398468,0.47573423385620117,0.2222222222222222,0.2222222222222222,0.2222222222222222,,distilled
附件3_26,Positive,0.6621171832084656,0.6823872923851013,0.09225115925073624,0.22536158561706543,0.6823872923851013,0.2727272727272727,0.2727272727272727,0.2727272727272727,,distilled
附件3_27,Positive,0.9003356099128723,0.810934841632843,0.053098876029253006,0.13596631586551666,0.810934841632843,0.38095238095238093,0.38095238095238093,0.38095238095238093,,distilled
附件3_28,Positive,0.515640914440155,0.5672999024391174,0.0478614903986454,0.3848385810852051,0.5672999024391174,0.33333333333333337,0.33333333333333337,0.33333333333333337,,distilled
附件3_29,Positive,0.9946691989898682,0.8400609493255615,0.04993659630417824,0.11000249534845352,0.8400609493255615,0.4444444444444444,0.4444444444444444,0.4444444444444444,,distilled
附件3_30,Neutral,0.0,0.5553684830665588,0.12044886499643326,0.5553684830665588,0.3241826593875885,0.5,0.5,0.5,,distilled
