word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,In,0,2,0.8227,0.8628,wav2vec2_ctc_forced_alignment,-0.028,1,4,0,0,True,172,60,155,186,-0.00098,0,True,True,True,0.8
1,the,3,6,0.9029,0.9631,wav2vec2_ctc_forced_alignment,-0.028,1,6,0,0,True,169,57,157,188,-0.00064,0,True,True,True,0.9
2,United,7,13,1.0233,1.2842,wav2vec2_ctc_forced_alignment,-0.028,1,26,2,2,True,163,54,158,188,-0.02766,2,True,False,True,1.2
3,States,14,20,1.3444,1.5852,wav2vec2_ctc_forced_alignment,-0.028,1,24,2,2,True,152,57,160,189,-0.00454,2,True,False,True,1.5
4,we,21,23,1.6454,1.7457,wav2vec2_ctc_forced_alignment,-0.028,1,10,1,1,True,152,56,160,192,-0.10032,1,True,False,True,1.7
5,don't,24,29,1.8661,2.0868,wav2vec2_ctc_forced_alignment,-0.028,3,22,2,2,True,151,58,159,191,-0.05268,2,True,False,True,2.0
6,punish,30,36,2.2072,2.5082,wav2vec2_ctc_forced_alignment,-0.028,1,30,3,3,True,152,62,160,193,-0.04874,3,True,False,True,2.4
7,failure,37,44,2.6487,3.0901,wav2vec2_ctc_forced_alignment,-0.028,1,45,4,4,True,152,64,162,195,-0.00153,4,True,False,True,2.9
8,to,45,47,3.5315,3.6319,wav2vec2_ctc_forced_alignment,-0.028,1,10,1,1,True,153,62,160,191,-0.00062,1,True,False,True,3.6
9,the,48,51,3.6921,3.7523,wav2vec2_ctc_forced_alignment,-0.028,1,6,1,1,True,153,61,160,191,-0.00197,1,True,False,True,3.7
10,degree,52,58,3.8125,4.1736,wav2vec2_ctc_forced_alignment,-0.028,1,36,3,3,True,152,58,163,197,-0.02241,3,True,False,True,4.0
11,to,59,61,4.274,4.3342,wav2vec2_ctc_forced_alignment,-0.028,1,6,1,1,True,153,62,161,187,-0.0372,1,True,False,True,4.3
12,which,62,67,4.4345,4.6351,wav2vec2_ctc_forced_alignment,-0.028,1,20,2,2,True,153,60,160,191,-0.0004,2,True,False,True,4.5
13,failure,68,75,4.9161,5.2973,wav2vec2_ctc_forced_alignment,-0.028,1,38,3,3,True,154,59,160,190,-0.00538,3,True,False,True,5.1
14,is,76,78,5.3575,5.4177,wav2vec2_ctc_forced_alignment,-0.028,1,6,1,1,True,156,58,160,191,-0.01912,1,True,False,True,5.4
15,punished,79,87,5.518,5.8792,wav2vec2_ctc_forced_alignment,-0.028,1,36,3,3,True,162,60,158,191,-0.02432,3,True,False,True,5.7
16,in,88,90,6.3206,6.3608,wav2vec2_ctc_forced_alignment,-0.028,1,4,0,0,True,166,63,156,186,-0.00032,0,True,True,True,6.3
17,Europe,91,97,6.6417,6.8825,wav2vec2_ctc_forced_alignment,-0.028,1,24,2,2,True,173,69,151,180,-0.09832,2,True,False,True,6.8
