model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson
fine_teacher,none,0.0,random,0,0.6456043956043956,0.6178048916833287,0.640575241142185,0.5741379261016846,0.6887749456714058
fine_teacher,T,0.3,random,0,0.5865384615384616,0.5510316960417286,0.5807362745656408,0.6150310635566711,0.6008252245448801
fine_teacher,A,0.3,random,0,0.6373626373626373,0.6132538325236797,0.6346796377480961,0.6054882407188416,0.6725361638889431
fine_teacher,V,0.3,random,0,0.6510989010989011,0.6260439936069769,0.6484264921630848,0.5704624652862549,0.6934460969813825
fine_teacher,AV,0.3,random,0,0.6414835164835165,0.6220544924196859,0.6412496391593699,0.6095547676086426,0.6749997666927814
fine_teacher,TAV,0.3,random,0,0.6071428571428571,0.5680820730597659,0.5960338754337114,0.6205946803092957,0.6118391175278873
fine_teacher,TAV,0.1,scattered,0,0.6524725274725275,0.6242390467801577,0.646788333768575,0.5697570443153381,0.6880186463080317
fine_teacher,TAV,0.1,scattered,1,0.635989010989011,0.61278889065045,0.6322962978024287,0.5848907828330994,0.6587490450172206
fine_teacher,TAV,0.2,scattered,0,0.6043956043956044,0.5730061595251751,0.5984305126082368,0.594050943851471,0.651359849438806
fine_teacher,TAV,0.2,scattered,1,0.6016483516483516,0.574493311536501,0.5969243098039966,0.6126276254653931,0.6200606749246296
fine_teacher,TAV,0.3,scattered,0,0.6057692307692307,0.5716085968250499,0.598661402001404,0.6063703894615173,0.6353053974269198
fine_teacher,TAV,0.3,scattered,1,0.5865384615384616,0.5516537931539164,0.579449546272045,0.6224241256713867,0.6113149740306228
