sample_id,video_id,true_class,predicted_class,correct,negative_probability,neutral_probability,positive_probability,true_intensity,predicted_intensity,absolute_error
--qXJuDtHPw$_$5,--qXJuDtHPw,Positive,Positive,True,0.03162630274891853,0.14518247544765472,0.8231911659240723,1.0,0.9892760515213013,0.01072394847869873
-571d8cVauQ$_$0,-571d8cVauQ,Neutral,Neutral,True,0.03621453419327736,0.6428335309028625,0.320951908826828,0.0,0.2483137547969818,0.2483137547969818
-571d8cVauQ$_$3,-571d8cVauQ,Negative,Negative,True,0.7834899425506592,0.16260561347007751,0.053904466331005096,-0.6666666865348816,-0.6645251512527466,0.0021415352821350098
-571d8cVauQ$_$5,-571d8cVauQ,Positive,Positive,True,0.07145586609840393,0.07586094737052917,0.8526832461357117,0.3333333432674408,1.083314061164856,0.7499806880950928
-I_e4mIh0yE$_$1,-I_e4mIh0yE,Negative,Neutral,False,0.41318029165267944,0.43767350912094116,0.1491462141275406,-0.6666666865348816,-0.19255349040031433,0.47411319613456726
-I_e4mIh0yE$_$3,-I_e4mIh0yE,Positive,Positive,True,0.04817190766334534,0.18116293847560883,0.7706651091575623,0.6666666865348816,0.7325231432914734,0.0658564567565918
-I_e4mIh0yE$_$4,-I_e4mIh0yE,Negative,Negative,True,0.6653962135314941,0.17279905080795288,0.16180472075939178,-0.6666666865348816,-0.41838788986206055,0.24827879667282104
-UacrmKiTn4$_$10,-UacrmKiTn4,Negative,Negative,True,0.7619566917419434,0.16126619279384613,0.07677708566188812,-0.6666666865348816,-0.7152202129364014,0.048553526401519775
-UacrmKiTn4$_$4,-UacrmKiTn4,Negative,Negative,True,0.48420748114585876,0.37774658203125,0.13804592192173004,-1.3333333730697632,-0.1948838084936142,1.1384495496749878
-UacrmKiTn4$_$7,-UacrmKiTn4,Positive,Positive,True,0.12162268906831741,0.31078121066093445,0.5675961375236511,0.3333333432674408,0.42822614312171936,0.09489279985427856
-UacrmKiTn4$_$6,-UacrmKiTn4,Neutral,Neutral,True,0.3150443434715271,0.4562053978443146,0.2287503331899643,0.0,-0.0048096925020217896,0.0048096925020217896
-hnBHBN8p5A$_$9,-hnBHBN8p5A,Positive,Neutral,False,0.142522931098938,0.6001100540161133,0.25736701488494873,0.3333333432674408,0.17219552397727966,0.16113781929016113
-hnBHBN8p5A$_$8,-hnBHBN8p5A,Neutral,Neutral,True,0.11052947491407394,0.5256792306900024,0.3637913167476654,0.0,0.3776756525039673,0.3776756525039673
-hnBHBN8p5A$_$3,-hnBHBN8p5A,Positive,Positive,True,0.11381617933511734,0.07287480682134628,0.8133090138435364,2.3333332538604736,0.9669517874717712,1.3663814067840576
-hnBHBN8p5A$_$7,-hnBHBN8p5A,Positive,Neutral,False,0.12736427783966064,0.4790496230125427,0.39358609914779663,0.6666666865348816,0.27626219391822815,0.39040449261665344
-hnBHBN8p5A$_$6,-hnBHBN8p5A,Positive,Positive,True,0.016533268615603447,0.1357998549938202,0.84766685962677,1.0,0.843358039855957,0.15664196014404297
-qDkUB0GgYY$_$8,-qDkUB0GgYY,Positive,Positive,True,0.01275512482970953,0.07951892912387848,0.907725989818573,1.6666666269302368,1.0949606895446777,0.5717059373855591
-qDkUB0GgYY$_$5,-qDkUB0GgYY,Positive,Positive,True,0.02239709533751011,0.16215503215789795,0.8154479265213013,2.0,0.872552752494812,1.127447247505188
-qDkUB0GgYY$_$6,-qDkUB0GgYY,Positive,Positive,True,0.010811912827193737,0.03095335327088833,0.9582347273826599,1.3333333730697632,1.57332181930542,0.23998844623565674
-uywlfIYOS8$_$4,-uywlfIYOS8,Positive,Positive,True,0.022583888843655586,0.16278323531150818,0.8146328926086426,0.3333333432674408,0.7541542649269104,0.4208209216594696
-uywlfIYOS8$_$7,-uywlfIYOS8,Positive,Positive,True,0.01945684291422367,0.03838072717189789,0.9421623945236206,2.6666667461395264,1.4634196758270264,1.2032470703125
06st0Ez_E_I$_$0,06st0Ez_E_I,Neutral,Positive,False,0.29139313101768494,0.28959161043167114,0.4190152883529663,0.0,0.19825728237628937,0.19825728237628937
06st0Ez_E_I$_$4,06st0Ez_E_I,Neutral,Neutral,True,0.057881854474544525,0.4797076880931854,0.46241042017936707,0.0,0.3302406072616577,0.3302406072616577
0utROiKxejc$_$1,0utROiKxejc,Neutral,Positive,False,0.03524332121014595,0.13173045217990875,0.8330262899398804,0.0,0.8769853711128235,0.8769853711128235
0utROiKxejc$_$2,0utROiKxejc,Neutral,Positive,False,0.034944213926792145,0.1194053441286087,0.8456504344940186,0.0,0.8396249413490295,0.8396249413490295
0utROiKxejc$_$4,0utROiKxejc,Neutral,Negative,False,0.9610162377357483,0.021800674498081207,0.017183098942041397,0.0,-1.6498515605926514,1.6498515605926514
0y022OlZ3W0$_$11,0y022OlZ3W0,Neutral,Negative,False,0.7852213382720947,0.09646590054035187,0.1183127835392952,0.0,-0.6596125364303589,0.6596125364303589
0y022OlZ3W0$_$1,0y022OlZ3W0,Positive,Neutral,False,0.0575588159263134,0.5909771919250488,0.35146403312683105,0.6666666865348816,0.26984626054763794,0.39682042598724365
0y022OlZ3W0$_$0,0y022OlZ3W0,Neutral,Positive,False,0.057436585426330566,0.4171341359615326,0.5254292488098145,0.0,0.4410263001918793,0.4410263001918793
0y022OlZ3W0$_$3,0y022OlZ3W0,Positive,Positive,True,0.09530024230480194,0.08401091396808624,0.8206888437271118,1.3333333730697632,1.1552246809005737,0.17810869216918945
0y022OlZ3W0$_$2,0y022OlZ3W0,Positive,Negative,False,0.4149676263332367,0.3764975368976593,0.208534836769104,1.0,-0.17465513944625854,1.1746551990509033
0y022OlZ3W0$_$5,0y022OlZ3W0,Negative,Negative,True,0.7435963153839111,0.1600044220685959,0.09639927744865417,-1.3333333730697632,-0.5838832855224609,0.7494500875473022
0y022OlZ3W0$_$4,0y022OlZ3W0,Negative,Positive,False,0.17481683194637299,0.36227941513061523,0.462903767824173,-0.3333333432674408,0.3403286337852478,0.6736619472503662
0y022OlZ3W0$_$9,0y022OlZ3W0,Negative,Negative,True,0.9043669104576111,0.04561512544751167,0.050018005073070526,-1.0,-1.354762315750122,0.35476231575012207
0y022OlZ3W0$_$8,0y022OlZ3W0,Negative,Neutral,False,0.10479534417390823,0.5459827780723572,0.3492218852043152,-0.3333333432674408,0.20171114802360535,0.5350444912910461
101787$_$11,101787,Neutral,Neutral,True,0.3045758008956909,0.5066797137260437,0.18874450027942657,0.0,-0.022367246448993683,0.022367246448993683
101787$_$10,101787,Negative,Neutral,False,0.21647882461547852,0.39937201142311096,0.3841492235660553,-0.3333333432674408,0.2681529223918915,0.6014862656593323
101787$_$13,101787,Negative,Positive,False,0.2664322555065155,0.09430771321058273,0.6392600536346436,-1.6666666269302368,0.7262037396430969,2.3928704261779785
101787$_$12,101787,Neutral,Neutral,True,0.13187561929225922,0.7878943085670471,0.08023010194301605,0.0,-0.03820809721946716,0.03820809721946716
101787$_$15,101787,Negative,Negative,True,0.8974515795707703,0.023345721885561943,0.07920273393392563,-1.0,-1.4645178318023682,0.46451783180236816
101787$_$14,101787,Negative,Negative,True,0.7229081988334656,0.16208608448505402,0.11500570923089981,-1.3333333730697632,-0.9037463665008545,0.4295870065689087
101787$_$1,101787,Negative,Neutral,False,0.11114997416734695,0.646999180316925,0.241850808262825,-0.6666666865348816,0.18920689821243286,0.8558735847473145
101787$_$0,101787,Neutral,Neutral,True,0.06374609470367432,0.7700098156929016,0.16624405980110168,0.0,0.15098389983177185,0.15098389983177185
101787$_$3,101787,Neutral,Neutral,True,0.07824411243200302,0.7575385570526123,0.16421732306480408,0.0,0.11620877683162689,0.11620877683162689
101787$_$2,101787,Negative,Negative,True,0.7726778984069824,0.15219658613204956,0.07512547075748444,-1.0,-0.7038700580596924,0.2961299419403076
101787$_$5,101787,Negative,Negative,True,0.9513409733772278,0.026130732148885727,0.022528264671564102,-1.6666666269302368,-1.6013754606246948,0.06529116630554199
101787$_$4,101787,Neutral,Neutral,True,0.09454859793186188,0.6334558129310608,0.2719956040382385,0.0,0.1644875556230545,0.1644875556230545
101787$_$7,101787,Positive,Positive,True,0.03668239712715149,0.059219419956207275,0.9040981531143188,1.0,1.4675188064575195,0.46751880645751953
101787$_$6,101787,Neutral,Positive,False,0.03730228915810585,0.12417848408222198,0.8385192155838013,0.0,1.0514476299285889,1.0514476299285889
101787$_$9,101787,Negative,Neutral,False,0.16871637105941772,0.7204492092132568,0.11083438247442245,-0.3333333432674408,-0.02976509928703308,0.3035682439804077
101787$_$8,101787,Positive,Positive,True,0.046936970204114914,0.10131824761629105,0.8517448306083679,1.6666666269302368,1.2474284172058105,0.41923820972442627
102408$_$1,102408,Neutral,Neutral,True,0.1875310242176056,0.6922447681427002,0.12022428959608078,0.0,-0.11421026289463043,0.11421026289463043
102408$_$0,102408,Neutral,Neutral,True,0.09494362771511078,0.4981693625450134,0.40688708424568176,0.0,0.41001665592193604,0.41001665592193604
102408$_$3,102408,Positive,Positive,True,0.2433464527130127,0.2811223864555359,0.47553113102912903,0.3333333432674408,0.34527507424354553,0.011941730976104736
102408$_$2,102408,Negative,Negative,True,0.562490701675415,0.38425469398498535,0.053254641592502594,-0.3333333432674408,-0.3939845561981201,0.06065121293067932
102408$_$5,102408,Negative,Negative,True,0.8085694313049316,0.06917457282543182,0.12225593626499176,-2.0,-0.9295870661735535,1.0704128742218018
102408$_$4,102408,Positive,Negative,False,0.6016051769256592,0.17855238914489746,0.21984246373176575,0.3333333432674408,-0.4219512939453125,0.7552846670150757
102408$_$7,102408,Negative,Negative,True,0.9644309878349304,0.020747246220707893,0.014821797609329224,-1.3333333730697632,-1.6612343788146973,0.3279010057449341
102408$_$6,102408,Negative,Negative,True,0.3916705846786499,0.38154369592666626,0.22678570449352264,-2.0,-0.1538098007440567,1.8461902141571045
102408$_$9,102408,Negative,Negative,True,0.8401273488998413,0.11385409533977509,0.04601860046386719,-1.6666666269302368,-0.8715957403182983,0.7950708866119385
102408$_$8,102408,Negative,Negative,True,0.976059079170227,0.014398444443941116,0.009542582556605339,-1.3333333730697632,-1.8204176425933838,0.4870842695236206
102858$_$24,102858,Positive,Negative,False,0.7839382290840149,0.08064796030521393,0.13541379570960999,3.0,-0.6295311450958252,3.629531145095825
102858$_$25,102858,Positive,Positive,True,0.05051608383655548,0.34973275661468506,0.5997511744499207,2.0,0.46894606947898865,1.531053900718689
102858$_$20,102858,Positive,Positive,True,0.2570773959159851,0.31525906920433044,0.42766353487968445,2.0,0.33546748757362366,1.6645325422286987
102858$_$21,102858,Positive,Negative,False,0.9108178615570068,0.04791564866900444,0.041266489773988724,1.0,-1.6063930988311768,2.6063930988311768
102858$_$23,102858,Positive,Positive,True,0.14313089847564697,0.30020439624786377,0.5566647052764893,3.0,0.35389912128448486,2.6461009979248047
