word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,It,0,2,0.1204,0.1605,wav2vec2_ctc_forced_alignment,-0.03611,1,5,1,1,True,254,78,118,118,0.0
1,just,3,7,1.0631,1.3239,wav2vec2_ctc_forced_alignment,-0.03611,1,27,2,2,True,273,81,116,116,1.0
2,needs,8,13,1.4443,1.6449,wav2vec2_ctc_forced_alignment,-0.03611,1,21,1,1,True,257,81,117,117,1.5
3,to,14,16,1.7251,1.7853,wav2vec2_ctc_forced_alignment,-0.03611,1,7,2,2,True,257,80,116,116,2.0
4,be,17,19,1.8454,1.9257,wav2vec2_ctc_forced_alignment,-0.03611,1,9,1,1,True,257,80,116,116,2.0
5,a,20,21,2.026,2.046,wav2vec2_ctc_forced_alignment,-0.03611,1,3,1,1,True,257,80,116,116,2.0
6,simple,22,28,2.2266,2.5676,wav2vec2_ctc_forced_alignment,-0.03611,1,35,2,2,True,260,77,121,121,2.5
7,statement,29,38,2.6679,3.2095,wav2vec2_ctc_forced_alignment,-0.03611,1,55,2,2,True,261,82,117,117,3.0
8,and,40,43,3.5906,3.6508,wav2vec2_ctc_forced_alignment,-0.03611,1,7,1,1,True,259,82,122,122,3.5
9,then,44,48,3.6909,3.7912,wav2vec2_ctc_forced_alignment,-0.03611,1,11,2,2,True,259,82,122,122,3.5
10,you,49,52,3.8313,3.9115,wav2vec2_ctc_forced_alignment,-0.03611,1,9,1,1,True,269,93,111,111,4.0
11,present,53,60,3.9918,4.3528,wav2vec2_ctc_forced_alignment,-0.03611,1,37,2,2,True,269,93,111,111,4.0
12,the,61,64,4.413,4.4933,wav2vec2_ctc_forced_alignment,-0.03611,1,9,1,1,True,254,91,117,117,4.5
13,gift,65,69,4.5334,4.8343,wav2vec2_ctc_forced_alignment,-0.03611,1,31,2,2,True,254,91,117,117,4.5
