word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Many,0,4,0.5207,0.701,wav2vec2_ctc_forced_alignment,-0.06378,1,18,2,2,True,155,36,106,120,-0.05393,2,True,False,True,0.6
1,people,5,11,0.7811,0.9814,wav2vec2_ctc_forced_alignment,-0.06378,1,20,2,2,True,160,35,109,119,-0.00231,2,True,False,True,0.9
2,are,12,15,1.0615,1.1416,wav2vec2_ctc_forced_alignment,-0.06378,1,8,1,1,True,160,35,109,119,-0.04725,1,True,False,True,1.1
3,not,16,19,1.2418,1.5021,wav2vec2_ctc_forced_alignment,-0.06378,1,26,3,3,True,158,34,111,123,-0.02543,3,True,False,True,1.4
4,until,20,25,1.5822,1.8226,wav2vec2_ctc_forced_alignment,-0.06378,1,24,3,3,True,160,35,109,117,-0.04449,3,True,False,True,1.7
5,they,26,30,1.8626,1.9628,wav2vec2_ctc_forced_alignment,-0.06378,1,10,1,1,True,160,35,108,118,-0.00578,1,True,False,True,1.9
6,get,31,34,2.0229,2.1631,wav2vec2_ctc_forced_alignment,-0.06378,1,14,1,1,True,159,34,109,120,-0.00032,1,True,False,True,2.1
7,to,35,37,2.2632,2.3433,wav2vec2_ctc_forced_alignment,-0.06378,1,8,1,1,True,159,35,109,117,-0.20698,1,True,False,True,2.3
8,be,38,40,2.4034,2.5035,wav2vec2_ctc_forced_alignment,-0.06378,1,10,1,1,True,157,34,107,121,-0.00126,1,True,False,True,2.5
9,a,41,42,2.6638,2.6838,wav2vec2_ctc_forced_alignment,-0.06378,1,2,0,0,True,155,33,107,121,-0.00811,0,True,True,True,2.7
10,older,43,48,3.3047,3.545,wav2vec2_ctc_forced_alignment,-0.06378,1,24,2,2,True,157,37,106,118,-0.01207,2,True,False,True,3.4
11,age,49,52,3.7653,3.9255,wav2vec2_ctc_forced_alignment,-0.06378,1,16,2,2,True,156,35,107,122,-0.00084,2,True,False,True,3.8
12,and,53,56,4.0257,4.0858,wav2vec2_ctc_forced_alignment,-0.06378,1,6,0,0,True,156,36,106,119,-0.06153,0,True,True,True,4.1
13,they,57,61,4.1258,4.226,wav2vec2_ctc_forced_alignment,-0.06378,1,10,1,1,True,156,35,106,119,-0.00857,1,True,False,True,4.2
14,realize,62,69,4.3261,4.7267,wav2vec2_ctc_forced_alignment,-0.06378,1,40,4,4,True,156,35,106,121,-0.1463,4,True,False,True,4.5
15,that,70,74,4.8268,4.947,wav2vec2_ctc_forced_alignment,-0.06378,1,12,1,1,True,156,36,106,118,-0.10296,1,True,False,True,4.9
16,gosh,75,79,5.0672,5.3476,wav2vec2_ctc_forced_alignment,-0.06378,2,28,3,3,True,157,35,107,120,-0.37613,3,True,False,True,5.2
17,they,80,84,5.7481,5.8483,wav2vec2_ctc_forced_alignment,-0.06378,1,10,1,1,True,158,36,106,119,-0.00978,1,True,False,True,5.8
18,wasted,85,91,6.0085,6.3289,wav2vec2_ctc_forced_alignment,-0.06378,1,32,3,3,True,152,32,107,121,-0.17314,3,True,False,True,6.2
19,a,92,93,6.369,6.389,wav2vec2_ctc_forced_alignment,-0.06378,1,2,0,0,True,150,34,106,120,-0.00139,0,True,True,True,6.4
20,lot,94,97,6.4491,6.5693,wav2vec2_ctc_forced_alignment,-0.06378,1,12,1,1,True,150,34,106,121,-0.00295,1,True,False,True,6.5
21,of,98,100,6.6294,6.6694,wav2vec2_ctc_forced_alignment,-0.06378,1,4,0,0,True,150,34,106,120,-0.00048,0,True,True,True,6.6
22,time,101,105,6.7495,7.07,wav2vec2_ctc_forced_alignment,-0.06378,1,32,3,3,True,150,34,107,124,-0.00024,3,True,False,True,6.9
23,and,106,109,7.1501,7.2102,wav2vec2_ctc_forced_alignment,-0.06378,1,6,1,1,True,151,34,108,122,-0.07236,1,True,False,True,7.2
24,money,110,115,7.3304,7.5707,wav2vec2_ctc_forced_alignment,-0.06378,1,24,2,2,True,155,40,107,119,-0.10182,2,True,False,True,7.5
25,in,116,118,8.9727,9.0328,wav2vec2_ctc_forced_alignment,-0.06378,1,6,1,1,True,158,34,107,121,-0.01066,1,True,False,True,9.0
26,placing,119,126,9.3132,9.6336,wav2vec2_ctc_forced_alignment,-0.06378,1,32,3,3,True,159,35,106,116,-0.00012,3,True,False,True,9.5
27,bets,127,131,9.7137,9.9541,wav2vec2_ctc_forced_alignment,-0.06378,1,24,2,2,True,164,37,101,117,-0.2574,2,True,False,True,9.8
28,on,132,134,10.0342,10.0742,wav2vec2_ctc_forced_alignment,-0.06378,1,4,0,0,True,159,34,104,115,-0.00199,0,True,True,True,10.1
29,stock,135,140,10.1744,10.4347,wav2vec2_ctc_forced_alignment,-0.06378,1,26,3,3,True,160,35,102,118,-0.00179,3,True,False,True,10.3
30,that's,141,147,10.5349,10.7552,wav2vec2_ctc_forced_alignment,-0.06378,3,22,2,2,True,160,34,104,118,-0.14385,2,True,False,True,10.6
31,ultimately,148,158,10.8754,11.3761,wav2vec2_ctc_forced_alignment,-0.06378,1,50,5,5,True,154,33,103,120,-0.00448,5,True,False,True,11.1
32,lost,159,163,11.4562,11.7166,wav2vec2_ctc_forced_alignment,-0.06378,1,26,3,3,True,156,34,103,118,-0.02354,3,True,False,True,11.6
33,value,164,169,11.8568,12.2173,wav2vec2_ctc_forced_alignment,-0.06378,1,36,4,4,True,156,33,103,121,-0.04174,4,True,False,True,12.0
