样本编号,预测极性,预测强度,预测最大概率,负向概率,中性概率,正向概率,真实极性,真实强度,分类是否错误,绝对误差,文本不可用比例,语音不可用比例,视觉不可用比例,文本
-AUZQgSxyPQ$_$2,Positive,1.2217893600463867,0.8757600784301758,0.03997593745589256,0.08426398783922195,0.8757600784301758,Positive,0.6666666865348816,False,0.5551226735115051,0.0,0.0,0.0,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells."
-HeZS2-Prhc$_$2,Negative,-0.009999999776482582,0.5327176451683044,0.5327176451683044,0.1286935955286026,0.33858874440193176,Positive,0.6666666865348816,True,0.6766666769981384,0.0,0.0,0.0,The August jobs report is out and it was seen overall as solid but not great.
-MeTTeMJBNc$_$0,Neutral,0.0,0.5382536053657532,0.08228186517953873,0.5382536053657532,0.3794645369052887,Positive,0.3333333432674408,True,0.3333333432674408,0.0,0.0,0.0,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift."
-RfYyzHpjk4$_$2,Negative,-0.009999999776482582,0.41717538237571716,0.41717538237571716,0.3427112400531769,0.24011342227458954,Positive,0.3333333432674408,True,0.34333333373069763,0.0,0.0,0.0,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do."
-s9qJ7ATP7w$_$2,Positive,1.098510980606079,0.8170104622840881,0.10440278053283691,0.07858671993017197,0.8170104622840881,Positive,1.3333333730697632,False,0.23482239246368408,0.0,0.0,0.6956521739130435,"Winning's easy, you win, you're happy, you get a high five, your friends are happy"
-s9qJ7ATP7w$_$5,Negative,-1.316379189491272,0.9046792387962341,0.9046792387962341,0.04591323807835579,0.049407538026571274,Negative,-2.0,False,0.683620810508728,0.0,0.0,0.44999999999999996,"I have been beat up and put down and everything that can go wrong, has gone wrong for me"
-s9qJ7ATP7w$_$6,Neutral,0.0,0.4338337182998657,0.41379520297050476,0.4338337182998657,0.15237101912498474,Neutral,0.0,False,0.0,0.0,0.0,1.0,But I just kept going
-yRb-Jum7EQ$_$1,Negative,-0.5376588702201843,0.730525016784668,0.730525016784668,0.12973327934741974,0.1397416591644287,Neutral,0.0,True,0.5376588702201843,0.0,0.0,0.0,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas."
0K7dCp80n9c$_$6,Neutral,0.0,0.4381629526615143,0.38509809970855713,0.4381629526615143,0.1767389327287674,Neutral,0.0,False,0.0,0.0,0.0,0.0,"But what happens is, the softener resin does not want to fully let go of all of the iron that it captures, and the resin becomes fouled."
0YiAKqU36KE$_$1,Negative,-0.6977713704109192,0.7533068656921387,0.7533068656921387,0.08479732275009155,0.1618957668542862,Positive,1.3333333730697632,True,2.031104803085327,0.0,0.0,0.0,"So every nook and corner, every commons--and the Ganga is the ultimate commons-- becomes a place to throw your garbage into"
