sample_id,silent,reference,hypothesis,reference_words,word_edits,reference_chars,char_edits,ctc_alignment,sample_WER,sample_CER
-HwX2H8Z4hY__2,False,"” [President Ronald Reagan:] ""Look at the record",MEDIOCRITY LOOK AT THE RECORD,7,3,42,19,proportional_fallback_low_ctc_confidence,0.42857142857142855,0.4523809523809524
-HwX2H8Z4hY__9,False,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,IT IS A WORD WITH WHICH THE ADMINISTRATOR YOU IN WHICH THE ADMINISTRATOR YOUSES WHEN HE TURNS ROUND ANYTHING WHICH YOU DOULDN'T LIKE TO TEACH YOU HIS DOIN HE SAYS YOU WI,22,19,119,71,wav2vec2_ctc_forced_alignment,0.8636363636363636,0.5966386554621849
-NFrJFQijFE__1,False,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,,16,16,93,93,proportional_fallback_low_ctc_confidence,1.0,1.0
-NFrJFQijFE__2,False,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,HAWK'S SENSE OF HERING IS EXCELLENT AND THEIR EYES S,18,18,100,76,proportional_fallback_low_ctc_confidence,1.0,0.76
-aqamKhZ1Ec__0,False,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",TWO THOUSAND AND OF EIHT THERE WERE VERY SERIOUS TRIBAL WARFARE IN ANYON AND AND EVEN AS THE TF FOLLOWING AT DISPUTED ELECTION AND EVEN,14,15,85,57,wav2vec2_ctc_forced_alignment,1.0714285714285714,0.6705882352941176
-iRBcNs9oI8__3,False,"Well, it is the secret of power pose",IS GOING TO HELP YOU ON YOUR TESTS SUCH AS TOFUL IALTS OR UNIVERSIT,8,14,35,51,proportional_fallback_low_ctc_confidence,1.75,1.457142857142857
-iRBcNs9oI8__7,False,"Well, for starters, let's look at the word ""power""",TERVIEW AND THE SECRET WILL ALSO HELP YOU IF YOU E,9,11,46,37,proportional_fallback_low_ctc_confidence,1.2222222222222223,0.8043478260869565
-iRBcNs9oI8__6,False,What is a power pose,HELP YOU IF YOU HAVE AN ENGLISH JOB INTERVIEW,5,9,20,36,proportional_fallback_low_ctc_confidence,1.8,1.8
-iRBcNs9oI8__9,False,Power is similar to strength,OF POWER EPOSE,5,5,28,22,proportional_fallback_low_ctc_confidence,1.0,0.7857142857142857
-iRBcNs9oI8__8,False,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",EVER DECIDE TO ASK OUT THAT SPECIAL SOME ONE SO WHAT IS THE SECRET I'M TELLING YOU ABOUT WELL IT IS THE SECRE,21,23,93,79,proportional_fallback_low_ctc_confidence,1.0952380952380953,0.8494623655913979
-mJ2ud6oKI8__1,True,There are a dozen or more hands on techniques that we can do,,13,13,60,60,proportional_fallback_silent_audio,1.0,1.0
-mJ2ud6oKI8__2,True,So physical therapists and chiropractors will do joint manipulations and mobilizations,,11,11,86,86,proportional_fallback_silent_audio,1.0,1.0
-mJ2ud6oKI8__6,False,They are all very safe,THAT WE ALL WANT A PROACH REALLY ANY,5,7,22,25,proportional_fallback_low_ctc_confidence,1.4,1.1363636363636365
-mJ2ud6oKI8__9,False,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",WATION TO FIND OUT BECAUSE YOU MIGHT HAVE HIPPOTER A THRITUS BUT THAT YOU COULD ALSO HAVE OTHER A YOU KNOW DISFUNCTIONS ROUND YOUR,22,23,111,93,proportional_fallback_low_ctc_confidence,1.0454545454545454,0.8378378378378378
-mJ2ud6oKI8__8,False,Sometimes we have to stretch that joint that is already irritated,WE WANT O TYUATE THEM AND IL GIV EM A FULL THOROUGH A VALUATION TO FI,11,16,65,56,proportional_fallback_low_ctc_confidence,1.4545454545454546,0.8615384615384616
-hnBHBN8p5A__7,False,"Picture this, before we actually start hacking, we’re in a room formal setting",THE MAJORITY OF AN ENTIRE NATION TO BELIEVE IN TRUST HIS OR HER WORDS ISN'T TAT,13,15,76,65,proportional_fallback_low_ctc_confidence,1.1538461538461537,0.8552631578947368
-hnBHBN8p5A__6,False,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",TO FOLLOW JUST ONE RISION YU NEVER WONDERED HOW A SINGLE B,13,12,83,61,proportional_fallback_low_ctc_confidence,0.9230769230769231,0.7349397590361446
-ri04Z7vwnc__0,False,going to get married or are already married,AA,8,8,43,41,proportional_fallback_low_ctc_confidence,1.0,0.9534883720930233
