sample_id,modality,window_units,unit_start,feature_indices,text,char_start,char_end_exclusive,text_mapping_status,start_seconds,end_seconds,time_mapping_status,target_class,contrast_class,class_margin_effect,intensity_effect,after_target_probability,selected,direction
101787$_$9,text,5,2,"[3, 4, 5, 6, 7]",umm) Harrison Ford plays,5,29,verified,,,unresolved,Neutral,Negative,0.4839237891350989,0.03588131070137024,0.40801499557434845,True,support
101787$_$9,text,5,13,"[15, 16, 17, 18, 19]",", a gruff cargo pilot",60,81,verified,,,unresolved,Neutral,Negative,0.3316437104481055,0.031222686171531677,0.4448614120493998,True,support
101787$_$9,text,1,17,[19],pilot,76,81,verified,,,unresolved,Neutral,Negative,0.1863787980240308,0.016024522483348846,0.4770460088296005,True,support
101787$_$9,text,3,7,"[8, 9, 10, 11]",his (stutter,30,42,verified,,,unresolved,Neutral,Negative,-0.4280781850441615,-0.04721362888813019,0.5687578913308947,True,oppose
101787$_$9,text,3,5,"[6, 7, 8]",Ford plays his,19,33,verified,,,unresolved,Neutral,Negative,-0.4238250208108718,-0.05599190294742584,0.5653374426071424,True,oppose
101787$_$9,text,1,8,[9],(,34,35,verified,,,unresolved,Neutral,Negative,-0.3753921439712642,-0.043142154812812805,0.5657461672479456,True,oppose
101787$_$9,audio,5,13,"[14, 15, 16, 17, 18]",,,,not_applicable,,,unresolved,Neutral,Negative,0.14983294268203184,0.03061535954475403,0.4926994314591754,True,support
101787$_$9,audio,5,9,"[10, 11, 12, 13, 14]",,,,not_applicable,,,unresolved,Neutral,Negative,0.1128426770591413,0.01402352750301361,0.4951999356385036,True,support
101787$_$9,audio,5,6,"[7, 8, 9, 10, 11]",,,,not_applicable,,,unresolved,Neutral,Negative,0.10456095768555929,0.012270361185073853,0.4974335166218617,True,support
101787$_$9,vision,5,12,"[13, 14, 15, 16, 17]",,,,not_applicable,,,unresolved,Neutral,Negative,-0.1712924607544266,-0.01172606647014618,0.5450443234178497,True,oppose
101787$_$9,vision,5,9,"[10, 11, 12, 13, 14]",,,,not_applicable,,,unresolved,Neutral,Negative,-0.15559989618281334,-0.01243908703327179,0.5427370632070097,True,oppose
101787$_$9,vision,5,6,"[7, 8, 9, 10, 11]",,,,not_applicable,,,unresolved,Neutral,Negative,-0.13364387645480558,-0.008750870823860168,0.5392009600759495,True,oppose
128763$_$12,text,3,10,"[11, 12, 13]",stuff then I,35,47,verified,,,unresolved,Negative,Positive,1.2813326749557452,-0.45374584197998047,0.33601933730752853,True,support
128763$_$12,text,5,12,"[13, 14, 15, 16, 17]",I mean I would suggest,46,68,verified,,,unresolved,Negative,Positive,1.1772530588734078,-0.31034186482429504,0.26013976940780525,True,support
128763$_$12,text,1,13,[14],mean,48,52,verified,,,unresolved,Negative,Positive,0.6524859468097111,-0.2361484169960022,0.4743643977437038,True,support
128763$_$12,text,5,2,"[3, 4, 5, 6, 7]",if you're into,7,21,verified,,,unresolved,Negative,Positive,-1.0973056623718151,0.6379956305027008,0.8404294269220969,True,oppose
128763$_$12,text,1,15,[16],would,55,60,verified,,,unresolved,Negative,Positive,-1.027129198492085,0.5374184548854828,0.8193595619313131,True,oppose
128763$_$12,text,5,5,"[6, 7, 8, 9, 10]",re into that kind of,14,34,verified,,,unresolved,Negative,Positive,-0.744178275652986,0.4111553728580475,0.7876956788502801,True,oppose
128763$_$12,audio,5,12,"[13, 14, 15, 16, 17]",,,,not_applicable,,,unresolved,Negative,Positive,0.09976563282047046,-0.021459579467773438,0.6283099853649015,True,support
128763$_$12,audio,3,5,"[6, 7, 8]",,,,not_applicable,,,unresolved,Negative,Positive,0.03575083493527176,-0.0126381516456604,0.6294313805729138,True,support
128763$_$12,audio,1,15,[16],,,,not_applicable,,,unresolved,Negative,Positive,0.03301209944338224,-0.005289345979690552,0.6295326024447623,True,support
128763$_$12,audio,3,8,"[9, 10, 11]",,,,not_applicable,,,unresolved,Negative,Positive,-0.045757472280250955,0.02428741753101349,0.6437010158623501,True,oppose
128763$_$12,audio,5,0,"[1, 2, 3, 4, 5]",,,,not_applicable,,,unresolved,Negative,Positive,-0.03071438071307986,0.018946155905723572,0.6505840451648037,True,oppose
128763$_$12,audio,1,4,[5],,,,not_applicable,,,unresolved,Negative,Positive,-0.03026922788021058,0.011092007160186768,0.641408772842363,True,oppose
128763$_$12,vision,5,11,"[12, 13, 14, 15, 16]",,,,not_applicable,,,unresolved,Negative,Positive,0.4438660561244583,-0.18423420935869217,0.5057255391102815,True,support
128763$_$12,vision,5,8,"[9, 10, 11, 12, 13]",,,,not_applicable,,,unresolved,Negative,Positive,0.2228723479620317,-0.09275399148464203,0.5689572019398765,True,support
128763$_$12,vision,5,4,"[5, 6, 7, 8, 9]",,,,not_applicable,,,unresolved,Negative,Positive,0.17837311119346977,-0.0777597725391388,0.5774432692709726,True,support
