word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,It,0,2,0.5612,0.6013,wav2vec2_ctc_forced_alignment,-0.57527,1,5,1,1,True,568,174,129,129,0.5
1,is,3,5,0.6815,0.7215,wav2vec2_ctc_forced_alignment,-0.57527,1,5,1,1,True,568,174,129,129,0.5
2,a,6,7,0.8418,0.8618,wav2vec2_ctc_forced_alignment,-0.57527,1,3,1,1,False,280,0,720,720,1.0
3,word,8,12,0.922,1.1625,wav2vec2_ctc_forced_alignment,-0.57527,1,25,1,1,False,280,0,720,720,1.0
4,which,13,18,1.4431,1.6034,wav2vec2_ctc_forced_alignment,-0.57527,1,17,1,1,False,280,0,720,720,1.5
5,the,19,22,1.6636,1.7437,wav2vec2_ctc_forced_alignment,-0.57527,1,9,1,1,False,280,0,720,720,1.5
6,administrator,23,36,1.8039,3.9284,wav2vec2_ctc_forced_alignment,-0.57527,1,214,5,5,True,554,169,148,148,3.0
7,uses,37,41,4.0086,4.2691,wav2vec2_ctc_forced_alignment,-0.57527,1,27,2,2,True,533,138,167,167,4.0
8,when,42,46,4.3092,4.4094,wav2vec2_ctc_forced_alignment,-0.57527,1,11,1,1,False,280,0,720,720,4.5
9,he,47,49,4.4695,4.5096,wav2vec2_ctc_forced_alignment,-0.57527,1,5,1,1,False,280,0,720,720,4.5
10,turns,50,55,4.5698,4.8103,wav2vec2_ctc_forced_alignment,-0.57527,1,25,2,2,False,280,0,720,720,4.5
11,around,56,62,4.8904,5.1109,wav2vec2_ctc_forced_alignment,-0.57527,1,23,1,1,False,280,0,720,720,5.0
12,anything,63,71,5.1911,5.4917,wav2vec2_ctc_forced_alignment,-0.57527,1,31,2,2,False,280,0,720,720,5.5
13,which,72,77,5.5118,5.6521,wav2vec2_ctc_forced_alignment,-0.57527,1,15,1,1,False,280,0,720,720,5.5
14,he,78,80,5.6922,5.7322,wav2vec2_ctc_forced_alignment,-0.57527,1,5,1,1,False,280,0,720,720,5.5
15,doesn't,81,88,5.7924,6.0128,wav2vec2_ctc_forced_alignment,-0.57527,3,23,1,1,False,280,0,720,720,6.0
16,like,89,93,6.073,6.2133,wav2vec2_ctc_forced_alignment,-0.57527,1,15,1,1,False,280,0,720,720,6.0
17,that,94,98,6.2934,6.3736,wav2vec2_ctc_forced_alignment,-0.57527,1,9,1,1,False,280,0,720,720,6.5
18,the,99,102,6.3937,6.4538,wav2vec2_ctc_forced_alignment,-0.57527,1,7,1,1,False,280,0,720,720,6.5
19,teacher,103,110,6.4738,6.7544,wav2vec2_ctc_forced_alignment,-0.57527,1,29,2,2,False,280,0,720,720,6.5
20,is,111,113,6.8146,6.8546,wav2vec2_ctc_forced_alignment,-0.57527,1,5,1,1,True,480,118,204,204,7.0
21,doing,114,119,6.8947,7.1152,wav2vec2_ctc_forced_alignment,-0.57527,1,24,1,1,True,480,118,204,204,7.0
