word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,Noncompliance,0,13,0.5606,1.5417,wav2vec2_ctc_forced_alignment,-0.16944,4,99,3,3,True,160,39,86,86,1.0
1,can,14,17,1.6818,1.862,wav2vec2_ctc_forced_alignment,-0.16944,1,19,2,2,True,160,41,86,86,2.0
2,result,18,24,1.9822,2.4627,wav2vec2_ctc_forced_alignment,-0.16944,1,49,2,2,True,160,41,86,86,2.0
3,in,25,27,2.6829,2.723,wav2vec2_ctc_forced_alignment,-0.16944,1,5,1,1,True,161,41,86,86,2.5
4,legal,28,33,2.8431,3.0834,wav2vec2_ctc_forced_alignment,-0.16944,1,25,1,1,True,161,40,86,86,3.0
5,liability,34,43,3.1435,3.8042,wav2vec2_ctc_forced_alignment,-0.16944,1,67,3,3,True,162,40,86,86,3.5
6,to,44,46,3.9844,4.1446,wav2vec2_ctc_forced_alignment,-0.16944,1,17,1,1,True,163,42,85,85,4.0
7,you,47,50,4.2647,4.4649,wav2vec2_ctc_forced_alignment,-0.16944,1,21,1,1,True,163,41,85,85,4.5
8,and,51,54,5.0455,5.1457,wav2vec2_ctc_forced_alignment,-0.16944,1,11,1,1,True,162,40,85,85,5.0
9,to,55,57,5.2257,5.3259,wav2vec2_ctc_forced_alignment,-0.16944,1,11,2,2,True,160,39,87,87,5.5
10,the,58,61,5.4059,5.486,wav2vec2_ctc_forced_alignment,-0.16944,1,9,1,1,True,160,39,87,87,5.5
11,school,62,68,5.5461,5.7663,wav2vec2_ctc_forced_alignment,-0.16944,1,23,2,2,True,160,39,87,87,5.5
12,district,69,77,5.8264,6.1468,wav2vec2_ctc_forced_alignment,-0.16944,1,33,1,1,True,162,40,86,86,6.0
13,in,78,80,6.1868,6.2268,wav2vec2_ctc_forced_alignment,-0.16944,1,5,1,1,True,162,40,86,86,6.0
14,which,81,86,6.2869,6.4271,wav2vec2_ctc_forced_alignment,-0.16944,1,15,1,1,True,161,41,86,86,6.5
15,you,87,90,6.4871,6.5872,wav2vec2_ctc_forced_alignment,-0.16944,1,11,1,1,True,161,41,86,86,6.5
16,are,91,94,6.6473,6.7474,wav2vec2_ctc_forced_alignment,-0.16944,1,11,1,1,True,161,41,86,86,6.5
17,employed,95,103,6.8275,7.248,wav2vec2_ctc_forced_alignment,-0.16944,1,43,1,1,True,161,41,85,85,7.0
