词序号,词语,转写字符起止,语音起止秒,CTC词置信度,10毫秒声学帧数,区间视频抽样帧数,代表视频帧秒,人脸检测,52维面部动作有效,视觉最近帧回退
0,They've,0–7,1.4451–1.6057,-0.03358,16,2,1.5,True,True,False
1,been,8–12,1.6258–1.7462,-0.03696,12,1,1.7,True,True,False
2,able,13–17,1.7663–1.9068,-0.00168,14,2,1.8,True,True,False
3,to,18–20,1.967–2.0272,-0.07666,6,1,2.0,True,True,False
4,find,21–25,2.1877–2.3885,-0.0029,20,2,2.3,True,True,False
5,solutions,26–35,2.4487–2.9304,-0.03332,49,5,2.7,True,True,False
6,or,36–38,3.0307–3.0709,-0.17044,4,0,3.1,True,True,True
7,at,39–41,3.1712–3.2515,-0.59473,8,1,3.2,True,True,False
8,least,42–47,3.2716–3.4121,-3.38038,14,2,3.3,True,True,False
9,bring,48–53,3.4723–3.7332,-0.22446,26,3,3.6,True,True,False
10,some,54–58,3.8135–3.9741,-0.01742,16,1,3.9,True,True,False
11,answers,59–66,4.0744–4.3554,-0.64396,28,3,4.2,True,True,False
12,to,67–69,4.3956–4.4357,-0.00863,4,1,4.4,True,True,False
13,the,70–73,4.4759–4.5762,-0.07972,10,1,4.5,True,True,False
14,table,74–79,4.6164–4.8773,-0.00535,26,2,4.7,True,True,False
