word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,You,0,3,0.5011,0.5813,wav2vec2_ctc_forced_alignment,-0.78793,1,9,1,1,True,668,49,212,212,0.5
1,can,4,7,0.6214,0.7015,wav2vec2_ctc_forced_alignment,-0.78793,1,9,1,1,True,668,49,212,212,0.5
2,make,8,12,0.7617,0.902,wav2vec2_ctc_forced_alignment,-0.78793,1,15,1,1,True,669,36,212,212,1.0
3,a,13,14,0.9421,0.9621,wav2vec2_ctc_forced_alignment,-0.78793,1,3,1,1,True,669,36,212,212,1.0
4,conference,15,25,1.0022,1.3429,wav2vec2_ctc_forced_alignment,-0.78793,1,35,2,2,True,669,36,212,212,1.0
5,call,26,30,1.383,1.5233,wav2vec2_ctc_forced_alignment,-0.78793,1,15,1,1,True,644,28,212,212,1.5
6,but,31,34,1.5835,1.6436,wav2vec2_ctc_forced_alignment,-0.78793,1,7,1,1,True,644,28,212,212,1.5
7,it,35,37,1.6837,1.7238,wav2vec2_ctc_forced_alignment,-0.78793,1,5,1,1,True,644,28,212,212,1.5
8,takes,38,43,1.7639,1.9843,wav2vec2_ctc_forced_alignment,-0.78793,1,23,1,1,True,643,34,206,206,2.0
9,quite,44,49,2.0445,2.2048,wav2vec2_ctc_forced_alignment,-0.78793,1,17,1,1,True,643,34,206,206,2.0
10,a,50,51,2.285,2.3051,wav2vec2_ctc_forced_alignment,-0.78793,1,3,1,1,True,654,33,205,205,2.5
11,bit,52,55,2.3251,2.4253,wav2vec2_ctc_forced_alignment,-0.78793,1,11,1,1,True,654,33,205,205,2.5
12,of,56,58,2.4854,2.5255,wav2vec2_ctc_forced_alignment,-0.78793,1,5,1,1,True,654,33,205,205,2.5
13,planning,59,67,2.5857,2.8462,wav2vec2_ctc_forced_alignment,-0.78793,1,27,2,2,True,654,33,205,205,2.5
14,well,69,73,2.8663,2.9665,wav2vec2_ctc_forced_alignment,-0.78793,1,11,1,1,False,280,0,720,720,3.0
15,not,74,77,2.9865,3.0667,wav2vec2_ctc_forced_alignment,-0.78793,1,9,1,1,False,280,0,720,720,3.0
16,a,78,79,3.1269,3.1469,wav2vec2_ctc_forced_alignment,-0.78793,1,3,1,1,False,280,0,720,720,3.0
17,lot,80,83,3.187,3.3273,wav2vec2_ctc_forced_alignment,-0.78793,1,15,2,2,True,635,46,198,198,3.5
18,of,84,86,3.3674,3.4275,wav2vec2_ctc_forced_alignment,-0.78793,1,7,1,1,True,635,46,198,198,3.5
19,planning,87,95,3.4676,3.7883,wav2vec2_ctc_forced_alignment,-0.78793,1,33,2,2,True,635,46,198,198,3.5
20,it's,96,100,3.8284,3.9286,wav2vec2_ctc_forced_alignment,-0.78793,3,11,1,1,True,653,29,214,214,4.0
21,pretty,101,107,3.9887,4.2092,wav2vec2_ctc_forced_alignment,-0.78793,1,23,1,1,True,653,29,214,214,4.0
22,easy,108,112,4.2894,4.4698,wav2vec2_ctc_forced_alignment,-0.78793,1,19,1,1,True,691,50,198,198,4.5
23,to,113,115,4.6502,4.7705,wav2vec2_ctc_forced_alignment,-0.78793,1,13,2,2,True,691,50,198,198,4.5
24,do,116,118,5.2715,5.3718,wav2vec2_ctc_forced_alignment,-0.78793,1,11,1,1,False,0,0,0,0,5.5
