word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,How,0,3,0.1601,0.3403,wav2vec2_ctc_forced_alignment,-0.03064,1,18,2,2,True,243,50,382,442,-0.00427,2,True,False,True,0.3
1,at,5,7,0.8808,0.9208,wav2vec2_ctc_forced_alignment,-0.03064,1,4,1,1,True,243,51,388,446,-0.00077,1,True,False,True,0.9
2,a,8,9,0.9808,1.0009,wav2vec2_ctc_forced_alignment,-0.03064,1,2,1,1,True,244,51,381,441,-0.00767,1,True,False,True,1.0
3,particular,10,20,1.0609,1.5613,wav2vec2_ctc_forced_alignment,-0.03064,1,50,5,5,True,245,48,382,450,-0.00638,5,True,False,True,1.3
4,moment,21,27,1.6614,2.0017,wav2vec2_ctc_forced_alignment,-0.03064,1,34,4,4,True,249,49,379,443,-0.06414,4,True,False,True,1.8
5,in,28,30,2.0818,2.1418,wav2vec2_ctc_forced_alignment,-0.03064,1,6,1,1,True,248,51,385,447,-0.1684,1,True,False,True,2.1
6,time,31,35,2.2419,2.5222,wav2vec2_ctc_forced_alignment,-0.03064,1,28,3,3,True,248,45,386,443,-4e-05,3,True,False,True,2.4
7,our,36,39,2.8024,2.9425,wav2vec2_ctc_forced_alignment,-0.03064,1,14,1,1,True,252,55,378,449,-0.0025,1,True,False,True,2.9
8,moment,40,46,3.0626,3.4029,wav2vec2_ctc_forced_alignment,-0.03064,1,34,4,4,True,250,50,388,451,-0.01533,4,True,False,True,3.2
9,in,47,49,3.523,3.5631,wav2vec2_ctc_forced_alignment,-0.03064,1,4,0,0,True,251,59,383,445,-0.00038,0,True,True,True,3.5
10,time,50,54,3.6832,3.9634,wav2vec2_ctc_forced_alignment,-0.03064,1,28,3,3,True,250,54,386,450,-4e-05,3,True,False,True,3.8
11,are,55,58,4.5439,4.624,wav2vec2_ctc_forced_alignment,-0.03064,1,8,1,1,True,248,50,389,446,-0.00044,1,True,False,True,4.6
12,they,59,63,4.7041,4.8842,wav2vec2_ctc_forced_alignment,-0.03064,1,18,1,1,True,247,49,389,459,-0.00161,1,True,False,True,4.8
13,limited,64,71,5.4247,5.845,wav2vec2_ctc_forced_alignment,-0.03064,1,42,4,4,True,250,57,376,452,-0.0894,4,True,False,True,5.6
