sample_id,polarity,intensity,p_negative,p_neutral,p_positive,target_class,contrast_class,main_modality,intensity_main_modality,class_baseline,class_margin,intensity_baseline,completeness_error,raw_text,text_mapping,sign_agreement,text_shapley_class,text_share,text_shapley_intensity,text_observed_rows,audio_shapley_class,audio_share,audio_shapley_intensity,audio_observed_rows,vision_shapley_class,vision_share,vision_shapley_intensity,vision_observed_rows,zero_feature_main_modality,baseline_sensitive,text_zero_feature_shapley,audio_zero_feature_shapley,vision_zero_feature_shapley
01,Neutral,0.2799021601676941,0.1658608509396758,0.4540177260027141,0.38012142305761004,Neutral,Positive,audio,text,-1.089895473409628,0.17764550529565892,0.16583210229873657,0.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,True,False,0.29541397809883263,0.23306069236560648,0.11039107541243234,22,0.5519886080565549,0.43547989164056566,-0.004706566532452902,22,0.4201383925498993,0.3314594159938278,0.008385548988978066,22,audio,False,-0.1081295797618024,0.13387180987857727,0.09546560821073992
02,Positive,0.3357832431793213,0.30136816833859,0.2595294823261897,0.43910234933522035,Positive,Negative,text,text,0.2463803078319281,0.37639985995935044,0.16583210229873657,3.3306690738754696e-16,We want to live by each other’s happiness - not by each other’s misery.,True,True,1.2032201436065544,0.528557891369437,0.6018706262111663,19,-0.09233394386312893,0.040561018637731476,-0.08138456195592879,19,-0.9808666476160034,0.4308810899928315,-0.35053492337465286,19,text,False,1.1983713043493593,-0.2559569673314669,-0.39544227663758547
03,Negative,-0.5780235528945923,0.8127595965732458,0.0813713094661218,0.10586909396063234,Negative,Positive,text,text,-0.2463803078319281,2.0382319983665327,0.16583210229873657,0.0,"There's one lender at the moment which I think is just Bankwest who don't take rental income into account, they take rental yield into account.",True,True,2.9461646187496955,0.7907957091354226,-1.2054488013188043,33,-0.7204787512161577,0.1933875321694612,0.3837352742751439,33,0.05892643866492307,0.01581675869511616,0.0778578718503316,33,text,False,2.115259247075333,-0.09575176979378688,-0.022646520849002795
04,Negative,0.3528187572956085,0.5145858908271831,0.09062551725945031,0.39478859191336657,Negative,Positive,text,text,-0.2463803078319281,0.26501207044532804,0.16583210229873657,4.440892098500626e-16,"If I blow it at the team exercise, should I kiss my chances of cheering ""GO BLUE"" goodbye?] Absolutely not.",True,False,2.451968357212345,0.558211407687894,-1.1027677034338315,26,-1.129793072164854,0.2572069820371491,0.6978515038887659,26,-0.8107829067702345,0.18458161027495681,0.5919028545419375,26,text,False,1.5385330809472095,-0.5088373794213938,-0.9468191723819197
05,Positive,0.5376254320144653,0.10101431324021354,0.2755434086743506,0.6234422780854358,Positive,Neutral,audio,vision,1.089895473409628,0.8165110041583873,0.16583210229873657,1.1102230246251565e-16,"Hi, my name is Chloe, video marketer for Red Wagon Marketing.",True,True,0.10236515804888421,0.08956520452759022,0.23618551592032114,15,-0.7081482960995324,0.6195999516332548,-0.17966194947560626,15,0.33239866879940755,0.290834843839155,0.3152697632710138,15,text,True,0.6204891591164704,-0.0682126693865677,0.3666397956355363
06,Positive,0.5459246635437012,0.1334395536427166,0.2746875306482968,0.5918729157089866,Positive,Neutral,text,text,1.089895473409628,0.7676577429741022,0.16583210229873657,1.1102230246251565e-16,"If you're a fan of dancing in that sense, just like to watch people dance, see impressive dance moves then you might want to check out this movie solely for that",True,True,0.9261380342399913,0.4259057977474701,0.6845068782567978,35,-0.5620531690974647,0.2584730294090461,0.0314846932888031,35,-0.6863225955780523,0.31562117284348384,-0.3358990103006363,35,text,False,1.3475060231189016,-0.18977352374340828,-0.38454560891928025
07,Positive,0.589529275894165,0.10053500790306386,0.22259965902297782,0.6768653330739582,Positive,Neutral,text,text,1.089895473409628,1.1120974289050283,0.16583210229873657,1.3877787807814457e-17,"As Linn’s associate editor Michael Baadke reports in our November 28 issue, attendees “enthusiastically discussed the topics of growing the hobby, the future of stamp shows, and dealers and philatelic partnerships, along with ways the leading organizations involved in the stamp hobby can work together to make it succeed and grow",True,True,0.6042741908026061,0.5046293116810469,0.4651446441809336,48,-0.5876297903775374,0.49072957467806455,-0.0862066348393758,48,0.005557555070331496,0.004641113640888598,0.04475916425387065,48,text,False,1.1172639125108437,-0.15661194516783872,-0.01494717930372609
08,Positive,0.5811564922332764,0.11192454098419348,0.26781715546823703,0.6202583035475695,Positive,Neutral,text,text,1.089895473409628,0.8398315179498255,0.16583210229873657,2.220446049250313e-16,"That brings us to tonight, the Universal Design Grand Challenge",True,True,1.267913702995243,0.4551195787962055,0.770745351910591,11,-0.8032931386390187,0.2883433107818094,-0.13317370414733887,11,-0.7146845198160265,0.2565371104219849,-0.22224725782871246,11,text,False,1.5326588107508703,-0.24343309292034593,-0.3059543504320504
09,Negative,-1.7650426626205444,0.9279511892474119,0.02857644561703701,0.04347236513555098,Negative,Positive,text,text,-0.2463803078319281,3.0608536816332577,0.16583210229873657,4.440892098500626e-16,"(uhh) I did not like this movie at all, I would not recommend it",True,True,3.469027420898634,0.756917082938772,-2.1573243166009584,18,-0.6379334928254002,0.13919254589612348,0.39628951003154117,18,0.4761400613919521,0.10389037116510448,-0.16983995834986368,18,text,False,2.826844020877642,-0.13005171919127434,0.1183632991488203
10,Negative,-1.3617502450942993,0.9182501369267354,0.02848365740594605,0.05326620566731864,Negative,Positive,text,text,-0.2463803078319281,2.847167743746177,0.16583210229873657,4.440892098500626e-16,(umm) And you know I really do like to see fluffy chick flicks sometimes so I'm not against that but this one was pretty terrible,True,True,3.8379136637453177,0.8375555990050437,-2.1952208876609802,30,-0.5303306513987021,0.11573512207919501,0.3942080736160278,30,-0.21403496076851075,0.04670927891576122,0.2734304666519165,30,text,False,2.9011767809286515,-0.045447590186184696,-0.10014357815226264
