word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,And,2,5,0.524,0.6046,wav2vec2_ctc_forced_alignment,-0.22024,1,9,1,1,True,766,50,441,441,0.5
1,I,6,7,0.6651,0.6852,wav2vec2_ctc_forced_alignment,-0.22024,1,3,1,1,True,766,50,441,441,0.5
2,said,8,12,0.786,0.9069,wav2vec2_ctc_forced_alignment,-0.22024,1,13,1,1,True,783,61,419,419,1.0
3,Oh,15,17,0.9875,1.0681,wav2vec2_ctc_forced_alignment,-0.22024,1,9,1,1,True,783,61,419,419,1.0
4,make,19,23,1.1891,1.2898,wav2vec2_ctc_forced_alignment,-0.22024,1,11,2,2,True,783,61,419,419,1.0
5,a,24,25,1.3503,1.3704,wav2vec2_ctc_forced_alignment,-0.22024,1,3,1,1,True,704,72,428,428,1.5
6,profit,26,32,1.4309,1.8743,wav2vec2_ctc_forced_alignment,-0.22024,1,45,2,2,True,704,72,428,428,1.5
7,and,34,37,1.9146,1.975,wav2vec2_ctc_forced_alignment,-0.22024,1,8,1,1,True,748,68,413,413,2.0
8,all,38,41,1.9952,2.0758,wav2vec2_ctc_forced_alignment,-0.22024,1,9,1,1,True,748,68,413,413,2.0
9,these,42,47,2.096,2.1967,wav2vec2_ctc_forced_alignment,-0.22024,1,11,1,1,True,748,68,413,413,2.0
10,other,48,53,2.2572,2.4184,wav2vec2_ctc_forced_alignment,-0.22024,1,17,1,1,True,745,77,426,426,2.5
11,things,54,60,2.4789,2.6603,wav2vec2_ctc_forced_alignment,-0.22024,1,19,1,1,True,745,77,426,426,2.5
