word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,We're,0,5,0.5218,0.7024,wav2vec2_ctc_forced_alignment,-0.12808,3,19,1,1,True,294,53,162,162,0.5
1,updating,6,14,0.7827,1.164,wav2vec2_ctc_forced_alignment,-0.12808,2,39,1,1,True,298,52,164,164,1.0
2,it,15,17,1.2443,1.2845,wav2vec2_ctc_forced_alignment,-0.12808,1,5,2,2,True,302,57,156,156,1.5
3,all,18,21,1.4049,1.5454,wav2vec2_ctc_forced_alignment,-0.12808,1,16,1,1,True,302,57,156,156,1.5
4,the,22,25,1.6056,1.6859,wav2vec2_ctc_forced_alignment,-0.12808,1,9,1,1,True,302,57,156,156,1.5
5,time,26,30,1.7461,2.007,wav2vec2_ctc_forced_alignment,-0.12808,1,27,2,2,True,306,55,159,159,2.0
6,and,31,34,2.4886,2.5689,wav2vec2_ctc_forced_alignment,-0.12808,1,9,1,1,True,319,54,161,161,2.5
7,looking,35,42,2.6291,2.9101,wav2vec2_ctc_forced_alignment,-0.12808,1,29,2,2,True,319,49,164,164,3.0
8,forward,43,50,3.0105,3.3115,wav2vec2_ctc_forced_alignment,-0.12808,1,31,2,2,True,319,49,164,164,3.0
9,to,51,53,3.3918,3.4721,wav2vec2_ctc_forced_alignment,-0.12808,1,9,1,1,True,317,52,161,161,3.5
10,your,54,58,3.5323,3.7129,wav2vec2_ctc_forced_alignment,-0.12808,1,19,1,1,True,317,52,161,161,3.5
11,comments,59,67,3.7932,4.2748,wav2vec2_ctc_forced_alignment,-0.12808,1,49,2,2,True,317,59,160,160,4.0
12,on,68,70,4.4755,4.5157,wav2vec2_ctc_forced_alignment,-0.12808,1,5,1,1,True,298,63,162,162,4.5
13,our,71,74,4.616,4.6963,wav2vec2_ctc_forced_alignment,-0.12808,1,9,1,1,True,298,63,162,162,4.5
14,videos,75,81,4.7365,5.2181,wav2vec2_ctc_forced_alignment,-0.12808,1,49,2,2,True,301,64,159,159,5.0
