word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,An,0,2,0.0,0.1751,wav2vec2_ctc_forced_alignment,-0.09559,1,18,2,2,True,114,30,103,122,-9e-05,2,True,False,True,0.1
1,estimated,3,12,0.1751,0.963,wav2vec2_ctc_forced_alignment,-0.09559,1,79,8,8,True,110,26,102,120,-0.07746,8,True,False,True,0.6
2,20,13,15,0.963,1.0505,wav2vec2_ctc_forced_alignment,-0.09559,1,9,1,1,True,108,27,104,118,,1,True,False,True,1.0
3,000,16,19,1.0505,1.1381,wav2vec2_ctc_forced_alignment,-0.09559,1,8,1,1,True,109,27,103,118,,1,True,False,True,1.1
4,biotech,20,27,1.1381,1.7509,wav2vec2_ctc_forced_alignment,-0.09559,2,62,6,6,True,112,26,102,121,-0.73376,6,True,False,True,1.4
5,scientists,28,38,1.7509,2.6263,wav2vec2_ctc_forced_alignment,-0.09559,1,87,9,9,True,116,29,99,123,-0.09015,9,True,False,True,2.2
6,executives,40,50,2.6263,3.5017,wav2vec2_ctc_forced_alignment,-0.09559,1,88,9,9,True,108,29,102,121,-0.03754,9,True,False,True,3.1
7,and,51,54,3.5017,3.7644,wav2vec2_ctc_forced_alignment,-0.09559,1,26,2,2,True,109,30,101,116,-0.08556,2,True,False,True,3.6
8,industry,55,63,3.7644,4.4647,wav2vec2_ctc_forced_alignment,-0.09559,1,70,7,7,True,114,31,105,121,-0.03739,7,True,False,True,4.1
9,experts,64,71,4.4647,5.0775,wav2vec2_ctc_forced_alignment,-0.09559,1,61,6,6,True,116,31,102,124,-0.00739,6,True,False,True,4.8
10,from,72,76,5.0775,5.4277,wav2vec2_ctc_forced_alignment,-0.09559,1,35,4,4,True,114,32,101,122,-0.01575,4,True,False,True,5.3
11,more,77,81,5.4277,5.7778,wav2vec2_ctc_forced_alignment,-0.09559,1,35,3,3,True,112,31,102,119,-0.00068,3,True,False,True,5.6
12,than,82,86,5.7778,6.128,wav2vec2_ctc_forced_alignment,-0.09559,1,35,4,4,True,112,31,101,118,-0.11736,4,True,False,True,6.0
13,50,87,89,6.128,6.2156,wav2vec2_ctc_forced_alignment,-0.09559,1,9,1,1,True,110,29,103,117,,1,True,False,True,6.2
14,nations,90,97,6.2156,6.8284,wav2vec2_ctc_forced_alignment,-0.09559,1,61,6,6,True,109,20,102,119,-0.07228,6,True,False,True,6.5
15,were,98,102,6.8284,7.1785,wav2vec2_ctc_forced_alignment,-0.09559,1,35,3,3,True,110,25,99,112,-0.02143,3,True,False,True,7.0
16,at,103,105,7.1785,7.3536,wav2vec2_ctc_forced_alignment,-0.09559,1,18,2,2,True,108,28,101,121,-0.05915,2,True,False,True,7.3
17,the,106,109,7.3536,7.6162,wav2vec2_ctc_forced_alignment,-0.09559,1,26,3,3,True,109,29,99,118,-0.00688,3,True,False,True,7.5
18,BIO,110,113,7.6162,7.8789,wav2vec2_ctc_forced_alignment,-0.09559,1,26,2,2,True,108,30,100,118,-2.80539,2,True,False,True,7.7
19,conference,114,124,7.8789,8.7543,wav2vec2_ctc_forced_alignment,-0.09559,1,88,9,9,True,121,31,101,119,-0.00737,9,True,False,True,8.3
20,to,125,127,8.7543,8.9294,wav2vec2_ctc_forced_alignment,-0.09559,1,17,2,2,True,119,29,102,121,-2e-05,2,True,False,True,8.8
21,learn,128,133,8.9294,9.3671,wav2vec2_ctc_forced_alignment,-0.09559,1,44,4,4,True,117,28,105,118,-0.1141,4,True,False,True,9.1
22,about,134,139,9.3671,9.8048,wav2vec2_ctc_forced_alignment,-0.09559,1,44,5,5,True,119,28,102,122,-0.09685,5,True,False,True,9.6
23,the,140,143,9.8048,10.0675,wav2vec2_ctc_forced_alignment,-0.09559,1,26,2,2,True,121,29,100,119,-0.00018,2,True,False,True,9.9
24,latest,144,150,10.0675,10.5927,wav2vec2_ctc_forced_alignment,-0.09559,1,53,5,5,True,119,29,101,120,-0.00041,5,True,False,True,10.3
25,scientific,151,161,10.5927,11.4681,wav2vec2_ctc_forced_alignment,-0.09559,1,87,9,9,True,115,28,104,122,-0.07079,9,True,False,True,11.0
26,advances,162,170,11.4681,12.1685,wav2vec2_ctc_forced_alignment,-0.09559,1,70,7,7,True,108,33,102,122,-0.02474,7,True,False,True,11.8
27,and,172,175,12.1685,12.4311,wav2vec2_ctc_forced_alignment,-0.09559,1,27,3,3,True,109,32,101,124,-0.00843,3,True,False,True,12.3
28,to,176,178,12.4311,12.6062,wav2vec2_ctc_forced_alignment,-0.09559,1,17,2,2,True,112,31,104,123,-9e-05,2,True,False,True,12.5
29,exchange,179,187,12.6062,13.3066,wav2vec2_ctc_forced_alignment,-0.09559,1,70,7,7,True,109,29,106,126,-0.02521,7,True,False,True,13.0
30,ideas,188,193,13.3066,13.7443,wav2vec2_ctc_forced_alignment,-0.09559,1,44,4,4,True,105,26,103,123,-0.09085,4,True,False,True,13.5
31,and,194,197,13.7443,14.0069,wav2vec2_ctc_forced_alignment,-0.09559,1,26,3,3,True,105,28,103,118,-0.00011,3,True,False,True,13.9
32,establish,198,207,14.0069,14.7948,wav2vec2_ctc_forced_alignment,-0.09559,1,79,7,7,True,110,24,100,117,-0.00432,7,True,False,True,14.4
33,business,208,216,14.7948,15.4951,wav2vec2_ctc_forced_alignment,-0.09559,1,70,7,7,True,112,32,99,119,-0.00294,7,True,False,True,15.1
34,relationships,217,230,15.4951,16.6332,wav2vec2_ctc_forced_alignment,-0.09559,1,114,12,12,True,114,33,104,122,-0.05215,12,True,False,True,16.1
