word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,I,0,1,1.4423,1.4623,wav2vec2_ctc_forced_alignment,-0.07814,1,2,0,0,True,233,53,141,174,-2.09115,0,True,True,True,1.5
1,mentioned,2,11,1.6426,2.0032,wav2vec2_ctc_forced_alignment,-0.07814,1,36,4,4,True,235,54,139,168,-0.01425,4,True,False,True,1.8
2,a,12,13,2.0633,2.0833,wav2vec2_ctc_forced_alignment,-0.07814,1,2,0,0,True,235,51,137,169,-0.09464,0,True,True,True,2.1
3,word,14,18,2.1234,2.4439,wav2vec2_ctc_forced_alignment,-0.07814,1,32,3,3,True,229,55,142,176,-0.014,3,True,False,True,2.3
4,in,19,21,2.6843,2.7243,wav2vec2_ctc_forced_alignment,-0.07814,1,4,1,1,True,237,54,141,171,-0.4841,1,True,False,True,2.7
5,the,22,25,2.8044,2.8645,wav2vec2_ctc_forced_alignment,-0.07814,1,6,0,0,True,241,55,140,169,-0.02148,0,True,True,True,2.8
6,last,26,30,2.9246,3.2051,wav2vec2_ctc_forced_alignment,-0.07814,1,28,3,3,True,242,57,141,170,-0.02399,3,True,False,True,3.1
7,clip,31,35,3.3653,3.6257,wav2vec2_ctc_forced_alignment,-0.07814,1,26,3,3,True,235,56,142,174,-0.04015,3,True,False,True,3.5
8,called,36,42,3.766,4.0063,wav2vec2_ctc_forced_alignment,-0.07814,1,24,3,3,True,232,56,144,170,-0.00095,3,True,False,True,3.9
9,monotone,44,52,4.1866,4.9679,wav2vec2_ctc_forced_alignment,-0.07814,2,78,8,8,True,225,67,144,193,-0.09996,8,True,False,True,4.6
10,and,55,58,5.4687,5.5488,wav2vec2_ctc_forced_alignment,-0.07814,1,8,1,1,True,224,63,142,189,-0.15161,1,True,False,True,5.5
11,I,59,60,5.5889,5.6089,wav2vec2_ctc_forced_alignment,-0.07814,1,2,1,1,True,224,62,142,185,-0.01036,1,True,False,True,5.6
12,want,61,65,5.669,5.7892,wav2vec2_ctc_forced_alignment,-0.07814,1,12,1,1,True,224,61,142,185,-0.02561,1,True,False,True,5.7
13,to,66,68,5.8092,5.8693,wav2vec2_ctc_forced_alignment,-0.07814,1,6,0,0,True,223,60,142,182,-0.28694,0,True,True,True,5.8
14,talk,69,73,5.9294,6.1097,wav2vec2_ctc_forced_alignment,-0.07814,1,18,2,2,True,221,59,143,187,-0.00909,2,True,False,True,6.0
15,about,74,79,6.2098,6.4302,wav2vec2_ctc_forced_alignment,-0.07814,1,23,2,2,True,222,57,145,189,-0.0426,2,True,False,True,6.3
16,that,80,84,6.4903,6.6505,wav2vec2_ctc_forced_alignment,-0.07814,1,16,2,2,True,226,57,142,176,-0.02491,2,True,False,True,6.6
17,briefly,85,92,6.7507,7.1914,wav2vec2_ctc_forced_alignment,-0.07814,1,44,4,4,True,226,58,142,170,-0.02127,4,True,False,True,7.0
