word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,I,0,1,0.5817,0.6018,wav2vec2_ctc_forced_alignment,-0.38251,1,3,1,1,True,395,109,396,396,0.5
1,ended,2,7,0.662,0.8024,wav2vec2_ctc_forced_alignment,-0.38251,1,15,2,2,True,395,109,396,396,0.5
2,up,8,10,0.8425,0.8826,wav2vec2_ctc_forced_alignment,-0.38251,1,5,1,1,True,400,116,398,398,1.0
3,going,11,16,0.9428,1.1234,wav2vec2_ctc_forced_alignment,-0.38251,1,19,1,1,True,400,116,398,398,1.0
4,to,17,19,1.1635,1.2237,wav2vec2_ctc_forced_alignment,-0.38251,1,7,1,1,True,400,116,398,398,1.0
5,work,20,24,1.2638,1.4243,wav2vec2_ctc_forced_alignment,-0.38251,1,17,1,1,True,267,106,405,405,1.5
6,for,25,28,1.5647,1.7653,wav2vec2_ctc_forced_alignment,-0.38251,1,22,2,2,True,267,106,405,405,1.5
7,the,29,32,1.8455,1.9258,wav2vec2_ctc_forced_alignment,-0.38251,1,9,1,1,True,393,113,386,386,2.0
8,US,33,35,2.006,2.1866,wav2vec2_ctc_forced_alignment,-0.38251,1,19,1,1,True,393,113,386,386,2.0
9,government,36,46,2.2668,2.6881,wav2vec2_ctc_forced_alignment,-0.38251,1,43,1,1,True,380,101,390,390,2.5
10,as,47,49,2.8485,2.9087,wav2vec2_ctc_forced_alignment,-0.38251,1,7,1,1,True,365,108,394,394,3.0
11,an,50,52,2.989,3.0291,wav2vec2_ctc_forced_alignment,-0.38251,1,5,1,1,True,365,108,394,394,3.0
12,intelligence,53,65,3.0692,3.5105,wav2vec2_ctc_forced_alignment,-0.38251,1,45,2,2,True,391,97,424,424,3.5
13,analyst,66,73,3.5506,3.992,wav2vec2_ctc_forced_alignment,-0.38251,1,45,2,2,True,396,113,394,394,4.0
14,specializing,75,87,5.0351,5.6369,wav2vec2_ctc_forced_alignment,-0.38251,1,61,2,2,True,405,128,394,394,5.5
15,in,88,90,5.7974,5.8375,wav2vec2_ctc_forced_alignment,-0.38251,1,5,1,1,True,396,115,426,426,6.0
16,war,91,94,5.9378,6.0582,wav2vec2_ctc_forced_alignment,-0.38251,1,13,1,1,True,396,115,426,426,6.0
17,crimes,95,101,6.1384,6.3992,wav2vec2_ctc_forced_alignment,-0.38251,1,27,2,2,True,394,120,395,395,6.5
18,and,102,105,6.4393,6.4995,wav2vec2_ctc_forced_alignment,-0.38251,1,7,1,1,True,394,120,395,395,6.5
19,human,106,111,6.5195,6.7201,wav2vec2_ctc_forced_alignment,-0.38251,1,21,1,1,True,394,120,395,395,6.5
20,rights,112,118,6.7402,6.9207,wav2vec2_ctc_forced_alignment,-0.38251,1,19,2,2,True,401,134,393,393,7.0
21,issues,119,125,6.9809,7.3219,wav2vec2_ctc_forced_alignment,-0.38251,1,35,2,2,True,401,134,393,393,7.0
