word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Maybe,0,5,0.5411,0.8618,wav2vec2_ctc_forced_alignment,-0.07776,1,32,3,3,True,126,89,103,133,-0.10581,3,True,False,True,0.7
1,they,6,10,1.5833,1.7035,wav2vec2_ctc_forced_alignment,-0.07776,1,12,2,2,True,126,94,104,128,-0.12537,2,True,False,True,1.6
2,have,11,15,1.7837,1.9039,wav2vec2_ctc_forced_alignment,-0.07776,1,12,2,2,True,127,92,103,125,-0.03441,2,True,False,True,1.8
3,no,16,18,1.9641,2.0643,wav2vec2_ctc_forced_alignment,-0.07776,1,10,1,1,True,128,92,104,127,-0.01385,1,True,False,True,2.0
4,political,19,28,2.1845,2.6054,wav2vec2_ctc_forced_alignment,-0.07776,1,42,5,5,True,130,95,103,128,-0.01507,5,True,False,True,2.4
5,party,29,34,2.7056,2.9862,wav2vec2_ctc_forced_alignment,-0.07776,1,28,2,2,True,126,96,105,135,-0.00248,2,True,False,True,2.8
6,affiliation,35,46,3.0664,3.8079,wav2vec2_ctc_forced_alignment,-0.07776,1,74,8,8,True,128,100,102,132,-0.1194,8,True,False,True,3.4
7,they're,48,55,4.2688,4.4893,wav2vec2_ctc_forced_alignment,-0.07776,3,22,2,2,True,133,92,104,128,-0.2777,2,True,False,True,4.4
8,not,56,59,4.5093,4.6296,wav2vec2_ctc_forced_alignment,-0.07776,1,12,1,1,True,131,97,103,127,-0.00093,1,True,False,True,4.6
9,interested,60,70,4.7899,5.1707,wav2vec2_ctc_forced_alignment,-0.07776,1,39,4,4,True,124,102,107,134,-0.09393,4,True,False,True,5.0
10,in,71,73,5.2509,5.291,wav2vec2_ctc_forced_alignment,-0.07776,1,4,0,0,True,127,103,104,134,-0.00028,0,True,True,True,5.3
11,politics,74,82,5.3511,5.9323,wav2vec2_ctc_forced_alignment,-0.07776,1,58,6,6,True,131,101,104,126,-0.09789,6,True,False,True,5.6
12,they,84,88,6.0125,6.1327,wav2vec2_ctc_forced_alignment,-0.07776,1,12,1,1,True,126,89,104,128,-0.01438,1,True,False,True,6.1
13,could,89,94,6.1728,6.3131,wav2vec2_ctc_forced_alignment,-0.07776,1,14,2,2,True,126,90,103,128,-0.06433,2,True,False,True,6.2
14,care,95,99,6.3532,6.5335,wav2vec2_ctc_forced_alignment,-0.07776,1,18,2,2,True,122,92,104,127,-0.00346,2,True,False,True,6.4
15,less,100,104,6.6137,6.8542,wav2vec2_ctc_forced_alignment,-0.07776,1,24,2,2,True,117,102,106,135,-0.11237,2,True,False,True,6.7
16,about,105,110,6.9143,7.1348,wav2vec2_ctc_forced_alignment,-0.07776,1,22,2,2,True,115,110,106,135,-0.01445,2,True,False,True,7.0
17,politics,111,119,7.2149,7.8763,wav2vec2_ctc_forced_alignment,-0.07776,1,66,6,6,True,117,101,107,143,-0.04797,6,True,False,True,7.5
