word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,Just,0,4,0.5224,0.7033,wav2vec2_ctc_forced_alignment,-0.02929,1,19,1,1,True,94,53,189,189,0.5
1,given,5,10,0.7636,0.9645,wav2vec2_ctc_forced_alignment,-0.02929,1,21,1,1,True,99,57,194,194,1.0
2,to,11,13,1.0248,1.0851,wav2vec2_ctc_forced_alignment,-0.02929,1,8,1,1,True,99,57,194,194,1.0
3,their,14,19,1.1454,1.3061,wav2vec2_ctc_forced_alignment,-0.02929,1,17,2,2,True,99,57,194,194,1.0
4,own,20,23,1.3865,1.487,wav2vec2_ctc_forced_alignment,-0.02929,1,11,1,1,True,101,51,191,191,1.5
5,devices,24,31,1.5472,2.1099,wav2vec2_ctc_forced_alignment,-0.02929,1,57,2,2,True,101,54,193,193,2.0
6,they,32,36,2.1903,2.3108,wav2vec2_ctc_forced_alignment,-0.02929,1,13,2,2,True,113,54,193,193,2.5
7,are,37,40,2.3711,2.4515,wav2vec2_ctc_forced_alignment,-0.02929,1,9,1,1,True,113,54,193,193,2.5
8,not,41,44,2.5319,2.6926,wav2vec2_ctc_forced_alignment,-0.02929,1,17,1,1,True,113,54,193,193,2.5
9,going,45,50,2.773,3.0141,wav2vec2_ctc_forced_alignment,-0.02929,1,25,1,1,True,101,55,200,200,3.0
10,to,51,53,3.0945,3.1548,wav2vec2_ctc_forced_alignment,-0.02929,1,7,1,1,True,101,55,200,200,3.0
11,read,54,58,3.2352,3.3959,wav2vec2_ctc_forced_alignment,-0.02929,1,17,2,2,True,103,57,198,198,3.5
12,the,59,62,3.4562,3.5165,wav2vec2_ctc_forced_alignment,-0.02929,1,7,1,1,True,103,57,198,198,3.5
13,textbook,63,71,3.5768,4.0992,wav2vec2_ctc_forced_alignment,-0.02929,1,53,2,2,True,111,55,193,193,4.0
