word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,We,0,2,0.1003,0.2207,wav2vec2_ctc_forced_alignment,-1.06414,1,13,1,1,True,62,29,245,245,0.0
1,always,3,9,0.642,0.8627,wav2vec2_ctc_forced_alignment,-1.06414,1,23,2,2,True,63,27,250,250,1.0
2,love,10,14,0.9831,1.1436,wav2vec2_ctc_forced_alignment,-1.06414,1,17,1,1,True,63,27,250,250,1.0
3,to,15,17,1.2038,1.244,wav2vec2_ctc_forced_alignment,-1.06414,1,5,1,1,True,63,27,250,250,1.0
4,hear,18,22,1.2841,1.4045,wav2vec2_ctc_forced_alignment,-1.06414,1,13,1,1,True,63,27,254,254,1.5
5,what,23,27,1.4446,1.5449,wav2vec2_ctc_forced_alignment,-1.06414,1,11,1,1,True,63,27,254,254,1.5
6,you,28,31,1.565,1.6452,wav2vec2_ctc_forced_alignment,-1.06414,1,10,1,1,True,63,27,254,254,1.5
7,say,32,35,1.9061,2.1268,wav2vec2_ctc_forced_alignment,-1.06414,1,23,1,1,True,66,28,246,246,2.0
8,and,37,40,2.5882,2.6685,wav2vec2_ctc_forced_alignment,-1.06414,1,9,1,1,True,60,23,245,245,2.5
9,like,41,45,2.7487,2.9093,wav2vec2_ctc_forced_alignment,-1.06414,1,17,2,2,True,60,36,243,243,3.0
10,and,46,49,2.9494,3.0096,wav2vec2_ctc_forced_alignment,-1.06414,1,7,1,1,True,60,36,243,243,3.0
11,share,50,55,3.0296,3.2704,wav2vec2_ctc_forced_alignment,-1.06414,1,25,2,2,True,60,36,243,243,3.0
12,this,56,60,3.3306,3.4109,wav2vec2_ctc_forced_alignment,-1.06414,1,9,1,1,True,61,32,245,245,3.5
13,video,61,66,3.451,3.5714,wav2vec2_ctc_forced_alignment,-1.06414,1,13,1,1,True,61,32,245,245,3.5
14,as,67,69,3.6115,3.6918,wav2vec2_ctc_forced_alignment,-1.06414,1,9,1,1,True,61,32,245,245,3.5
15,well,70,74,3.7921,4.0128,wav2vec2_ctc_forced_alignment,-1.06414,1,23,1,1,True,62,28,243,243,4.0
