样本编号,预测极性,预测强度,预测最大概率,负向概率,中性概率,正向概率,文本不可用比例,语音不可用比例,视觉不可用比例,文本,模型,文本融合权重
附件3_01,Negative,-1.5645978450775146,0.9380260705947876,0.9380260705947876,0.023745644837617874,0.03822823613882065,0.0,0.0,0.0,,固定文本-三模态融合,0.5
附件3_02,Neutral,0.0,0.5737987756729126,0.2010091245174408,0.5737987756729126,0.2251920998096466,0.1785714285714286,0.1785714285714286,0.1785714285714286,,固定文本-三模态融合,0.5
附件3_03,Neutral,0.0,0.7113794088363647,0.14357033371925354,0.7113794088363647,0.1450502574443817,0.15625,0.15625,0.28125,,固定文本-三模态融合,0.5
附件3_04,Positive,0.5911314487457275,0.6846606731414795,0.1073119044303894,0.2080274522304535,0.6846606731414795,0.06451612903225812,0.06451612903225812,0.06451612903225812,,固定文本-三模态融合,0.5
附件3_05,Negative,-0.6955000162124634,0.7378458976745605,0.7378458976745605,0.14872302114963531,0.11343109607696533,0.0,0.0,0.0,,固定文本-三模态融合,0.5
附件3_06,Positive,0.7448199987411499,0.6927086114883423,0.024658430367708206,0.2826329469680786,0.6927086114883423,0.12,0.12,0.12,,固定文本-三模态融合,0.5
附件3_07,Positive,0.726007342338562,0.6571745872497559,0.10307130217552185,0.2397541105747223,0.6571745872497559,0.1428571428571429,0.1428571428571429,0.1428571428571429,,固定文本-三模态融合,0.5
附件3_08,Negative,-0.13780167698860168,0.4283766746520996,0.4283766746520996,0.2704249322414398,0.3011983633041382,0.1333333333333333,0.1333333333333333,0.1333333333333333,,固定文本-三模态融合,0.5
附件3_09,Positive,1.3483049869537354,0.9262427091598511,0.011522246524691582,0.06223500892519951,0.9262427091598511,0.1428571428571429,0.1428571428571429,0.1428571428571429,,固定文本-三模态融合,0.5
附件3_10,Neutral,0.0,0.7584363222122192,0.15707279741764069,0.7584363222122192,0.08449084311723709,0.0,0.0,0.0,,固定文本-三模态融合,0.5
附件3_11,Positive,0.651513934135437,0.7048256993293762,0.06683333963155746,0.2283409833908081,0.7048256993293762,0.2857142857142857,0.2857142857142857,0.2857142857142857,,固定文本-三模态融合,0.5
附件3_12,Positive,1.038480281829834,0.7655125260353088,0.07312183082103729,0.16136561334133148,0.7655125260353088,0.15384615384615385,0.15384615384615385,0.15384615384615385,,固定文本-三模态融合,0.5
