样本编号,视频编号,验证折号
-3g5yACwYnA$_$4,-3g5yACwYnA,4
-HwX2H8Z4hY$_$3,-HwX2H8Z4hY,1
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,1
-NFrJFQijFE$_$0,-NFrJFQijFE,4
-THoVjtIkeU$_$2,-THoVjtIkeU,0
-UuX1xuaiiE$_$9,-UuX1xuaiiE,0
-WXXTNIJcVM$_$0,-WXXTNIJcVM,3
-a55Q6RWvTA$_$3,-a55Q6RWvTA,1
-aNfi7CP8vM$_$10,-aNfi7CP8vM,3
-aqamKhZ1Ec$_$1,-aqamKhZ1Ec,3
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,3
-dxfTGcXJoc$_$0,-dxfTGcXJoc,4
-dxfTGcXJoc$_$6,-dxfTGcXJoc,4
-egA8-b7-3M$_$3,-egA8-b7-3M,0
-lqc32Zpr7M$_$18,-lqc32Zpr7M,4
-lzEya4AM_4$_$6,-lzEya4AM_4,0
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,1
-mqbVkbCndg$_$1,-mqbVkbCndg,4
-mqbVkbCndg$_$4,-mqbVkbCndg,4
-tPCytz4rww$_$16,-tPCytz4rww,4
-vxjVxOeScU$_$2,-vxjVxOeScU,3
-wny0OAz3g8$_$0,-wny0OAz3g8,0
-wny0OAz3g8$_$5,-wny0OAz3g8,0
03X1FwF6udc$_$22,03X1FwF6udc,2
07Z16yRBFUQ$_$5,07Z16yRBFUQ,4
0BVed2nBq1g$_$0,0BVed2nBq1g,1
0BVed2nBq1g$_$3,0BVed2nBq1g,1
0BVed2nBq1g$_$2,0BVed2nBq1g,1
0DBfvvIVmqY$_$13,0DBfvvIVmqY,3
0DBfvvIVmqY$_$14,0DBfvvIVmqY,3
0DBfvvIVmqY$_$4,0DBfvvIVmqY,3
0DBfvvIVmqY$_$8,0DBfvvIVmqY,3
0EphpADwdPg$_$6,0EphpADwdPg,1
0FA32bEZ6xI$_$24,0FA32bEZ6xI,1
0FA32bEZ6xI$_$25,0FA32bEZ6xI,1
0FA32bEZ6xI$_$28,0FA32bEZ6xI,1
0FA32bEZ6xI$_$3,0FA32bEZ6xI,1
0FA32bEZ6xI$_$6,0FA32bEZ6xI,1
0FA32bEZ6xI$_$15,0FA32bEZ6xI,1
0FA32bEZ6xI$_$14,0FA32bEZ6xI,1
0FA32bEZ6xI$_$18,0FA32bEZ6xI,1
0JuRmhhgMw8$_$0,0JuRmhhgMw8,2
0OC3wf9x3zQ$_$7,0OC3wf9x3zQ,4
0OC3wf9x3zQ$_$6,0OC3wf9x3zQ,4
0OXeN3MhFeA$_$19,0OXeN3MhFeA,0
0OXeN3MhFeA$_$18,0OXeN3MhFeA,0
0OXeN3MhFeA$_$15,0OXeN3MhFeA,0
0Svu5BldR5A$_$0,0Svu5BldR5A,3
0YdYFtVdlWE$_$7,0YdYFtVdlWE,0
0YdYFtVdlWE$_$6,0YdYFtVdlWE,0
0YdYFtVdlWE$_$8,0YdYFtVdlWE,0
0YdYFtVdlWE$_$10,0YdYFtVdlWE,0
0YdYFtVdlWE$_$15,0YdYFtVdlWE,0
0YdYFtVdlWE$_$14,0YdYFtVdlWE,0
0bsTzavb-AE$_$3,0bsTzavb-AE,1
0hCOCt6fWas$_$15,0hCOCt6fWas,2
0hCOCt6fWas$_$2,0hCOCt6fWas,2
0hCihQ5Kep0$_$3,0hCihQ5Kep0,4
0hCihQ5Kep0$_$4,0hCihQ5Kep0,4
0jtdrsmVzYQ$_$5,0jtdrsmVzYQ,1
0mXv97u2OCM$_$7,0mXv97u2OCM,0
0p9XKC_J3hU$_$2,0p9XKC_J3hU,0
0rE8jEvQW_I$_$3,0rE8jEvQW_I,1
0rE8jEvQW_I$_$4,0rE8jEvQW_I,1
0rE8jEvQW_I$_$9,0rE8jEvQW_I,1
0tkWa2skSmA$_$8,0tkWa2skSmA,3
0tkWa2skSmA$_$6,0tkWa2skSmA,3
100499$_$5,100499,0
100499$_$4,100499,0
101851$_$13,101851,1
101851$_$14,101851,1
101851$_$16,101851,1
101851$_$0,101851,1
102184$_$12,102184,0
102184$_$1,102184,0
102184$_$3,102184,0
102184$_$7,102184,0
10223$_$1,10223,4
10223$_$9,10223,4
106077$_$1,106077,2
106077$_$2,106077,2
106077$_$7,106077,2
106514$_$10,106514,4
106514$_$2,106514,4
106514$_$9,106514,4
106941$_$10,106941,1
106941$_$12,106941,1
106941$_$3,106941,1
106941$_$2,106941,1
106941$_$7,106941,1
106941$_$9,106941,1
106941$_$8,106941,1
107551$_$1,107551,0
107551$_$3,107551,0
107551$_$5,107551,0
107551$_$6,107551,0
108793$_$10,108793,4
108793$_$17,108793,4
108793$_$1,108793,4
108793$_$0,108793,4
108793$_$8,108793,4
110203$_$2,110203,1
110203$_$7,110203,1
110754$_$3,110754,1
110754$_$2,110754,1
110766$_$8,110766,1
110788$_$0,110788,4
110788$_$5,110788,4
112148$_$12,112148,1
112148$_$5,112148,1
112148$_$4,112148,1
112148$_$7,112148,1
112169$_$7,112169,2
112604$_$1,112604,1
112631$_$1,112631,1
112631$_$6,112631,1
112903$_$0,112903,3
112903$_$3,112903,3
112903$_$6,112903,3
113265$_$3,113265,3
113265$_$4,113265,3
114624$_$11,114624,2
114624$_$6,114624,2
114624$_$8,114624,2
11650$_$0,11650,0
11650$_$3,11650,0
11650$_$4,11650,0
11650$_$13,11650,0
11650$_$18,11650,0
119348$_$11,119348,4
119348$_$3,119348,4
119348$_$2,119348,4
120vnZnmhq4$_$2,120vnZnmhq4,0
121358$_$1,121358,1
121358$_$4,121358,1
121358$_$10,121358,1
121358$_$13,121358,1
121358$_$15,121358,1
121358$_$14,121358,1
122439$_$4,122439,4
122602$_$12,122602,4
122602$_$15,122602,4
122602$_$0,122602,4
122602$_$4,122602,4
122842$_$1,122842,1
122842$_$6,122842,1
125730$_$12,125730,1
125730$_$1,125730,1
125730$_$0,125730,1
125730$_$2,125730,1
125730$_$8,125730,1
125845$_$1,125845,1
125845$_$3,125845,1
125845$_$5,125845,1
126542$_$11,126542,1
126542$_$12,126542,1
126542$_$17,126542,1
126542$_$16,126542,1
126542$_$3,126542,1
126831$_$10,126831,3
126831$_$3,126831,3
127470$_$5,127470,0
127470$_$6,127470,0
127539$_$5,127539,1
127539$_$7,127539,1
127539$_$6,127539,1
127539$_$9,127539,1
127539$_$8,127539,1
12812$_$3,12812,3
12812$_$6,12812,3
128258$_$13,128258,1
128258$_$1,128258,1
128752$_$15,128752,2
128752$_$16,128752,2
128752$_$3,128752,2
128752$_$7,128752,2
128752$_$9,128752,2
128949$_$2,128949,4
129733$_$7,129733,3
130149$_$3,130149,2
130149$_$6,130149,2
130426$_$0,130426,4
130426$_$6,130426,4
130633$_$5,130633,1
130633$_$7,130633,1
131650$_$1,131650,0
131650$_$0,131650,0
131650$_$3,131650,0
131650$_$9,131650,0
131871$_$1,131871,0
131936$_$2,131936,4
131936$_$4,131936,4
134252$_$1,134252,3
134252$_$0,134252,3
136205$_$12,136205,3
136205$_$0,136205,3
136205$_$6,136205,3
136211$_$3,136211,2
136211$_$2,136211,2
137827$_$1,137827,4
137827$_$2,137827,4
137827$_$4,137827,4
139006$_$12,139006,3
139006$_$3,139006,3
139032$_$16,139032,0
139032$_$3,139032,0
13JpsLvddoY$_$8,13JpsLvddoY,2
13JpsLvddoY$_$7,13JpsLvddoY,2
140293$_$0,140293,4
140317$_$5,140317,2
140317$_$7,140317,2
154449$_$2,154449,2
154449$_$4,154449,2
154449$_$6,154449,2
154449$_$8,154449,2
15837$_$1,15837,4
15837$_$9,15837,4
15Wu4U2VPLw$_$2,15Wu4U2VPLw,0
15Wu4U2VPLw$_$4,15Wu4U2VPLw,0
15Wu4U2VPLw$_$6,15Wu4U2VPLw,0
15ktF-6wutk$_$4,15ktF-6wutk,1
180923$_$14,180923,2
180923$_$5,180923,2
180923$_$4,180923,2
180923$_$6,180923,2
184784$_$6,184784,1
186631$_$10,186631,4
186631$_$6,186631,4
188122$_$12,188122,3
188122$_$16,188122,3
188122$_$9,188122,3
189966$_$21,189966,2
189966$_$22,189966,2
189966$_$2,189966,2
189966$_$4,189966,2
189966$_$6,189966,2
189966$_$12,189966,2
189966$_$14,189966,2
189966$_$16,189966,2
189966$_$19,189966,2
18JTkk8JbeU$_$6,18JTkk8JbeU,0
18QjfdhJEM4$_$14,18QjfdhJEM4,3
18QjfdhJEM4$_$17,18QjfdhJEM4,3
18QjfdhJEM4$_$23,18QjfdhJEM4,3
18QjfdhJEM4$_$4,18QjfdhJEM4,3
190740$_$2,190740,4
190740$_$4,190740,4
190740$_$7,190740,4
190740$_$6,190740,4
192799$_$10,192799,2
192799$_$17,192799,2
192799$_$7,192799,2
192799$_$8,192799,2
194625$_$16,194625,1
194625$_$18,194625,1
194625$_$5,194625,1
194625$_$7,194625,1
197778$_$11,197778,0
197778$_$2,197778,0
197778$_$4,197778,0
197778$_$9,197778,0
19k6sEC7814$_$10,19k6sEC7814,2
19k6sEC7814$_$4,19k6sEC7814,2
1A-aRhYx-GQ$_$15,1A-aRhYx-GQ,4
1A-aRhYx-GQ$_$31,1A-aRhYx-GQ,4
1A-aRhYx-GQ$_$7,1A-aRhYx-GQ,4
1A7dqFxx8wU$_$0,1A7dqFxx8wU,1
1CjUHNYzW1E$_$11,1CjUHNYzW1E,0
1ESU5ONMMxs$_$14,1ESU5ONMMxs,1
1ESU5ONMMxs$_$0,1ESU5ONMMxs,1
1ESU5ONMMxs$_$6,1ESU5ONMMxs,1
1ESU5ONMMxs$_$8,1ESU5ONMMxs,1
1F0qH0EEBfo$_$21,1F0qH0EEBfo,1
1F0qH0EEBfo$_$1,1F0qH0EEBfo,1
1F0qH0EEBfo$_$0,1F0qH0EEBfo,1
1F0qH0EEBfo$_$5,1F0qH0EEBfo,1
1F0qH0EEBfo$_$9,1F0qH0EEBfo,1
1F0qH0EEBfo$_$15,1F0qH0EEBfo,1
