sample_id,silent,reference,hypothesis,reference_words,word_edits,reference_chars,char_edits,ctc_alignment,sample_WER,sample_CER
-3g5yACwYnA__13,False,They've been able to find solutions or at least bring some answers to the table.,THAT WE DO O THEY'VE BEEN ABLE TO FIND SOLUTIONS OR EARTLY SOPRING SOME MANCERS TO THE TABLE,15,8,79,24,wav2vec2_ctc_forced_alignment,0.5333333333333333,0.3037974683544304
-3g5yACwYnA__3,False,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",OM WE'RE A HUGE A USERVE AT HE SAYS FOR OUR OPERATION CALL FLOCKING AND WE DON'T HAVE THE TECHNICAL AND INSIDE INFOM COMPOUNDING OR THE TECHNICAL EXPRATIS TO DO THESE TYPES OF THINGS SO A KEYBRINGS,29,13,170,44,wav2vec2_ctc_forced_alignment,0.4482758620689655,0.25882352941176473
-3g5yACwYnA__2,False,Key Polymer brings a technical aspect to our operation that we don't have internally.,ERATIONS AM KEE BRINGS THE KEEP ALFROM BRINGS A TECHNICAL ASPECT TO AR OUR OPERATION THAT WE DON'T HAVE INTERNALLY AM WE,14,10,84,42,wav2vec2_ctc_forced_alignment,0.7142857142857143,0.5
-3g5yACwYnA__9,False,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",WE HAVE MANY A NEW OPPORTUNITYE THROUGH THE WAY THINGS HAVE CHANGED TO THE YEARS ON LOOKING FOR NEW NICH HIGH AND VALUE AT A PRODUCTS AND,23,9,136,22,wav2vec2_ctc_forced_alignment,0.391304347826087,0.16176470588235295
-3nNcZdcdvU__5,False,Noncompliance can result in legal liability to you and to the school district in which you are employed.,NON COMPLIANCE CAN RESOLVE IN LEGAL LIABILITY TO YOU AND TO THE SCHOOL DISTRICT IN WHICH YOU ARE EMPLOYED,18,3,103,4,wav2vec2_ctc_forced_alignment,0.16666666666666666,0.038834951456310676
-HwX2H8Z4hY__2,False,"” [President Ronald Reagan:] ""Look at the record",MEDIOCRITY LOOK AT THE RECORD,7,3,42,19,proportional_fallback_low_ctc_confidence,0.42857142857142855,0.4523809523809524
-HwX2H8Z4hY__5,False,""" President Ronald Reagan blamed the professional bureaucracy of education",PRESIDENT RONALD REGEN BLAMED THE PROFESSIONAL BURACRACY OF EDUCATION,9,2,72,4,wav2vec2_ctc_forced_alignment,0.2222222222222222,0.05555555555555555
-HwX2H8Z4hY__6,False,"And in part, Al Shanker did too",AND IN PART ALSHENKAR DID TOO,7,2,30,3,wav2vec2_ctc_forced_alignment,0.2857142857142857,0.1
-HwX2H8Z4hY__9,False,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,IT IS A WORD WITH WHICH THE ADMINISTRATOR YOU IN WHICH THE ADMINISTRATOR YOUSES WHEN HE TURNS ROUND ANYTHING WHICH YOU DOULDN'T LIKE TO TEACH YOU HIS DOIN HE SAYS YOU WI,22,19,119,71,wav2vec2_ctc_forced_alignment,0.8636363636363636,0.5966386554621849
-NFrJFQijFE__1,False,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,,16,16,93,93,proportional_fallback_low_ctc_confidence,1.0,1.0
