样本编号,真实类别,预测类别,最高类别概率,真实强度,预测强度,强度绝对误差
x2lOwQaAn4g$_$4,Neutral,Positive,0.963522732257843,0.0,1.5820040702819824,1.5820040702819824
0utROiKxejc$_$4,Neutral,Negative,0.9610162377357483,0.0,-1.6498515605926514,1.6498515605926514
272624$_$16,Neutral,Negative,0.9607000350952148,0.0,-1.6871811151504517,1.6871811151504517
236021$_$3,Neutral,Negative,0.9596832990646362,0.0,-1.8911237716674805,1.8911237716674805
237009$_$9,Neutral,Negative,0.9383739233016968,0.0,-1.4486215114593506,1.4486215114593506
b1LEcg6z66g$_$13,Negative,Positive,0.9342125058174133,-0.3333333432674408,1.2948812246322632,1.6282145977020264
31474$_$14,Neutral,Negative,0.9332351088523865,0.0,-1.423616647720337,1.423616647720337
VwvptdTkwEE$_$2,Positive,Negative,0.9312763810157776,0.3333333432674408,-1.464739203453064,1.7980725765228271
HmXXW45eZL4$_$6,Neutral,Negative,0.9289057850837708,0.0,-1.5115827322006226,1.5115827322006226
MMpo2bDk-DU$_$14,Neutral,Negative,0.9257687330245972,0.0,-1.283515453338623,1.283515453338623
rf0yDSeVEUA$_$4,Neutral,Positive,0.9216645956039429,0.0,1.159079909324646,1.159079909324646
RArhIHk4Qs4$_$21,Neutral,Positive,0.9207571744918823,0.0,1.1416198015213013,1.1416198015213013
6_ZT8beQXq8$_$11,Neutral,Positive,0.9116698503494263,0.0,1.3431352376937866,1.3431352376937866
102858$_$21,Positive,Negative,0.9108178615570068,1.0,-1.6063930988311768,2.6063930988311768
236021$_$9,Negative,Positive,0.9050052762031555,-0.3333333432674408,1.2515512704849243,1.5848846435546875
BSKAHXFYF_I$_$4,Neutral,Positive,0.9001943469047546,0.0,1.088681697845459,1.088681697845459
vU0a4F36Ksw$_$16,Neutral,Positive,0.898931622505188,0.0,1.0042182207107544,1.0042182207107544
5i6AgQSjXO4$_$4,Neutral,Positive,0.8972379565238953,0.0,1.0618199110031128,1.0618199110031128
Uc_6d-fkZEc$_$3,Neutral,Positive,0.8964393734931946,0.0,1.0372388362884521,1.0372388362884521
TH32jop4FiI$_$0,Positive,Negative,0.8955199122428894,0.3333333432674408,-1.231031060218811,1.5643644332885742
117tQqLjza4$_$8,Neutral,Positive,0.8952887654304504,0.0,1.0741918087005615,1.0741918087005615
R7IkQVUuLew$_$2,Neutral,Positive,0.8952703475952148,0.0,1.1468405723571777,1.1468405723571777
HmXXW45eZL4$_$4,Neutral,Negative,0.8944564461708069,0.0,-1.3962795734405518,1.3962795734405518
ET1cU5_A2YM$_$10,Neutral,Positive,0.8889544606208801,0.0,1.2353802919387817,1.2353802919387817
v2Rr-EsJda8$_$7,Neutral,Negative,0.888503909111023,0.0,-1.3023884296417236,1.3023884296417236
sPremsknoLM$_$8,Neutral,Negative,0.8863168358802795,0.0,-1.0789765119552612,1.0789765119552612
uooIiW6dEyg$_$2,Neutral,Positive,0.8857758045196533,0.0,0.9552029967308044,0.9552029967308044
icbUzboLcDQ$_$0,Negative,Positive,0.8845250010490417,-0.6666666865348816,1.3940246105194092,2.0606913566589355
Arh2TKRi_mg$_$10,Neutral,Positive,0.8820829391479492,0.0,0.8871367573738098,0.8871367573738098
125676$_$1,Positive,Neutral,0.8779283761978149,0.6666666865348816,0.12213445454835892,0.5445322394371033
rojyUp4FPSg$_$9,Positive,Negative,0.8760720491409302,2.0,-0.9686152935028076,2.9686152935028076
236021$_$1,Positive,Neutral,0.874882698059082,0.3333333432674408,0.149504616856575,0.18382872641086578
MjaaudUc5-4$_$6,Positive,Negative,0.864543080329895,0.6666666865348816,-0.9475889801979065,1.614255666732788
JAnRCQ9A0vI$_$5,Neutral,Positive,0.864197850227356,0.0,0.8297545909881592,0.8297545909881592
bj9e8w4vNxo$_$14,Positive,Negative,0.8627434968948364,0.3333333432674408,-1.092164397239685,1.4254977703094482
SuIcJvERiFk$_$3,Neutral,Positive,0.8611520528793335,0.0,0.7958639860153198,0.7958639860153198
130456$_$3,Positive,Negative,0.8535759449005127,2.3333332538604736,-1.0222203731536865,3.35555362701416
KkKWFZZmmCM$_$1,Neutral,Positive,0.8534897565841675,0.0,1.0467901229858398,1.0467901229858398
bj9e8w4vNxo$_$0,Neutral,Positive,0.8497931957244873,0.0,0.9594842195510864,0.9594842195510864
gR4gM_WXesQ$_$0,Positive,Neutral,0.8463549613952637,0.6666666865348816,0.10250361263751984,0.564163088798523
0utROiKxejc$_$2,Neutral,Positive,0.8456504344940186,0.0,0.8396249413490295,0.8396249413490295
257247$_$9,Neutral,Positive,0.8456003069877625,0.0,1.0178368091583252,1.0178368091583252
247318$_$11,Positive,Negative,0.8452461957931519,0.3333333432674408,-0.8568651676177979,1.190198540687561
uooIiW6dEyg$_$0,Positive,Negative,0.8393048644065857,0.3333333432674408,-1.0658607482910156,1.3991941213607788
ly3QDQDJzzQ$_$1,Neutral,Positive,0.83917635679245,0.0,0.8485420942306519,0.8485420942306519
101787$_$6,Neutral,Positive,0.8385192155838013,0.0,1.0514476299285889,1.0514476299285889
TH32jop4FiI$_$5,Neutral,Negative,0.8370875120162964,0.0,-1.0137004852294922,1.0137004852294922
Uc_6d-fkZEc$_$7,Neutral,Positive,0.8360212445259094,0.0,0.9405229091644287,0.9405229091644287
wF8980oGklk$_$6,Neutral,Positive,0.8347952365875244,0.0,0.8913190364837646,0.8913190364837646
5O1W39o56gg$_$10,Neutral,Positive,0.8347475528717041,0.0,0.910781741142273,0.910781741142273
gR4gM_WXesQ$_$26,Neutral,Negative,0.8346454501152039,0.0,-0.9771949052810669,0.9771949052810669
wF8980oGklk$_$21,Neutral,Positive,0.8345037698745728,0.0,0.8592393398284912,0.8592393398284912
0utROiKxejc$_$1,Neutral,Positive,0.8330262899398804,0.0,0.8769853711128235,0.8769853711128235
v9gjg7TDlTA$_$1,Neutral,Positive,0.8328492641448975,0.0,0.7457244992256165,0.7457244992256165
erNDEjQeox8$_$10,Neutral,Positive,0.8315896391868591,0.0,1.0062410831451416,1.0062410831451416
zjYEBwXGD8I$_$13,Negative,Positive,0.8298936486244202,-0.3333333432674408,0.7692224979400635,1.1025558710098267
3V2qm0rw920$_$9,Neutral,Positive,0.8297918438911438,0.0,0.8505333662033081,0.8505333662033081
bWunvAd96zI$_$0,Neutral,Negative,0.8294451236724854,0.0,-0.7700439691543579,0.7700439691543579
dBWvtPeHpWM$_$2,Neutral,Negative,0.8265639543533325,0.0,-0.9149308800697327,0.9149308800697327
MjaaudUc5-4$_$5,Neutral,Negative,0.8217868804931641,0.0,-0.8658086061477661,0.8658086061477661
