word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Noncompliance,0,13,0.5606,1.5417,wav2vec2_ctc_forced_alignment,-0.16944,4,98,10,10,True,164,45,77,84,-0.00933,10,True,False,True,1.1
1,can,14,17,1.6818,1.862,wav2vec2_ctc_forced_alignment,-0.16944,1,18,2,2,True,163,46,79,87,-0.09015,2,True,False,True,1.8
2,result,18,24,1.9822,2.4627,wav2vec2_ctc_forced_alignment,-0.16944,1,48,5,5,True,164,46,77,85,-2.28227,5,True,False,True,2.2
3,in,25,27,2.6829,2.723,wav2vec2_ctc_forced_alignment,-0.16944,1,4,1,1,True,165,48,76,83,-0.00326,1,True,False,True,2.7
4,legal,28,33,2.8431,3.0834,wav2vec2_ctc_forced_alignment,-0.16944,1,24,2,2,True,164,47,76,83,-0.00082,2,True,False,True,3.0
5,liability,34,43,3.1435,3.8042,wav2vec2_ctc_forced_alignment,-0.16944,1,66,7,7,True,165,47,78,84,-0.01126,7,True,False,True,3.5
6,to,44,46,3.9844,4.1446,wav2vec2_ctc_forced_alignment,-0.16944,1,16,2,2,True,165,47,77,84,-0.00167,2,True,False,True,4.1
7,you,47,50,4.2647,4.4649,wav2vec2_ctc_forced_alignment,-0.16944,1,20,2,2,True,164,47,78,84,-0.06379,2,True,False,True,4.4
8,and,51,54,5.0455,5.1457,wav2vec2_ctc_forced_alignment,-0.16944,1,10,1,1,True,164,44,78,86,-0.0006,1,True,False,True,5.1
9,to,55,57,5.2257,5.3259,wav2vec2_ctc_forced_alignment,-0.16944,1,10,1,1,True,164,45,78,84,-0.23003,1,True,False,True,5.3
10,the,58,61,5.4059,5.486,wav2vec2_ctc_forced_alignment,-0.16944,1,8,0,0,True,164,45,77,84,-0.00177,0,True,True,True,5.4
11,school,62,68,5.5461,5.7663,wav2vec2_ctc_forced_alignment,-0.16944,1,22,2,2,True,164,46,76,83,-0.0007,2,True,False,True,5.7
12,district,69,77,5.8264,6.1468,wav2vec2_ctc_forced_alignment,-0.16944,1,32,3,3,True,165,45,77,84,-0.02474,3,True,False,True,6.0
13,in,78,80,6.1868,6.2268,wav2vec2_ctc_forced_alignment,-0.16944,1,4,1,1,True,166,45,76,85,-0.00556,1,True,False,True,6.2
14,which,81,86,6.2869,6.4271,wav2vec2_ctc_forced_alignment,-0.16944,1,14,2,2,True,165,45,77,85,-0.00011,2,True,False,True,6.4
15,you,87,90,6.4871,6.5872,wav2vec2_ctc_forced_alignment,-0.16944,1,10,1,1,True,165,47,76,83,-0.00496,1,True,False,True,6.5
16,are,91,94,6.6473,6.7474,wav2vec2_ctc_forced_alignment,-0.16944,1,10,1,1,True,164,46,77,85,-0.00199,1,True,False,True,6.7
17,employed,95,103,6.8275,7.248,wav2vec2_ctc_forced_alignment,-0.16944,1,42,4,4,True,164,46,76,84,-0.05446,4,True,False,True,7.0
