样本编号,模态类型,原始视频有效时长_秒,原始音频有效时长_秒,文本特征维度,语音特征维度,视觉特征维度,对齐粒度,对齐方法,CTC置信度,人脸有效率,Blendshape有效率,特征文件,逐词时间表
-3g5yACwYnA__13,文本+语音+视觉,5.3991,5.3991,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.35395,1.0,1.0,features/-3g5yACwYnA__13.npz,word_alignment/-3g5yACwYnA__13.csv
-3g5yACwYnA__3,文本+语音+视觉,14.3279,14.3279,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.14878,1.0,1.0,features/-3g5yACwYnA__3.npz,word_alignment/-3g5yACwYnA__3.csv
-3g5yACwYnA__2,文本+语音+视觉,9.2313,9.2313,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.25695,1.0,1.0,features/-3g5yACwYnA__2.npz,word_alignment/-3g5yACwYnA__2.csv
-3g5yACwYnA__9,文本+语音+视觉,8.6961,8.6961,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.579,1.0,1.0,features/-3g5yACwYnA__9.npz,word_alignment/-3g5yACwYnA__9.csv
-3nNcZdcdvU__5,文本+语音+视觉,7.7886,7.7886,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.16944,1.0,1.0,features/-3nNcZdcdvU__5.npz,word_alignment/-3nNcZdcdvU__5.csv
-HwX2H8Z4hY__2,文本+语音+视觉,3.9158,3.9158,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-5.14973,0.4286,0.1429,features/-HwX2H8Z4hY__2.npz,word_alignment/-HwX2H8Z4hY__2.csv
-HwX2H8Z4hY__5,文本+语音+视觉,5.5441,5.5441,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.76514,0.5556,0.1111,features/-HwX2H8Z4hY__5.npz,word_alignment/-HwX2H8Z4hY__5.csv
-HwX2H8Z4hY__6,文本+语音+视觉,3.256,3.256,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.83843,0.7143,0.7143,features/-HwX2H8Z4hY__6.npz,word_alignment/-HwX2H8Z4hY__6.csv
-HwX2H8Z4hY__9,文本+语音+视觉,7.6363,7.6363,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.57527,0.2273,0.0,features/-HwX2H8Z4hY__9.npz,word_alignment/-HwX2H8Z4hY__9.csv
-NFrJFQijFE__1,文本+语音+视觉,5.6589,5.6589,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-5.18616,0.0,0.0,features/-NFrJFQijFE__1.npz,word_alignment/-NFrJFQijFE__1.csv
-NFrJFQijFE__2,文本+语音+视觉,6.6983,6.6983,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-7.04431,0.5,0.0,features/-NFrJFQijFE__2.npz,word_alignment/-NFrJFQijFE__2.csv
-THoVjtIkeU__12,文本+语音+视觉,14.8056,14.8056,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.18577,1.0,1.0,features/-THoVjtIkeU__12.npz,word_alignment/-THoVjtIkeU__12.csv
-THoVjtIkeU__2,文本+语音+视觉,4.2309,4.2309,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.57619,1.0,1.0,features/-THoVjtIkeU__2.npz,word_alignment/-THoVjtIkeU__2.csv
-THoVjtIkeU__6,文本+语音+视觉,7.9829,7.9829,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.58656,1.0,1.0,features/-THoVjtIkeU__6.npz,word_alignment/-THoVjtIkeU__6.csv
-UuX1xuaiiE__1,文本+语音+视觉,10.2675,10.2675,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.09346,1.0,0.037,features/-UuX1xuaiiE__1.npz,word_alignment/-UuX1xuaiiE__1.csv
-UuX1xuaiiE__0,文本+语音+视觉,3.5759,3.5759,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.83271,1.0,0.5556,features/-UuX1xuaiiE__0.npz,word_alignment/-UuX1xuaiiE__0.csv
-UuX1xuaiiE__3,文本+语音+视觉,4.0384,4.0384,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.88666,1.0,1.0,features/-UuX1xuaiiE__3.npz,word_alignment/-UuX1xuaiiE__3.csv
-UuX1xuaiiE__6,文本+语音+视觉,7.9438,7.9438,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.38055,1.0,1.0,features/-UuX1xuaiiE__6.npz,word_alignment/-UuX1xuaiiE__6.csv
-a55Q6RWvTA__3,文本+语音+视觉,22.0833,22.0833,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.13113,1.0,0.8462,features/-a55Q6RWvTA__3.npz,word_alignment/-a55Q6RWvTA__3.csv
-aNfi7CP8vM__7,文本+语音+视觉,8.5377,8.5377,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.07776,1.0,1.0,features/-aNfi7CP8vM__7.npz,word_alignment/-aNfi7CP8vM__7.csv
-aqamKhZ1Ec__0,文本+语音+视觉,10.8902,10.8902,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.25469,1.0,1.0,features/-aqamKhZ1Ec__0.npz,word_alignment/-aqamKhZ1Ec__0.csv
-dxfTGcXJoc__1,文本+语音+视觉,16.0181,16.0181,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.14752,1.0,1.0,features/-dxfTGcXJoc__1.npz,word_alignment/-dxfTGcXJoc__1.csv
-dxfTGcXJoc__0,文本+语音+视觉,20.4104,20.4104,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.15424,0.8095,0.8095,features/-dxfTGcXJoc__0.npz,word_alignment/-dxfTGcXJoc__0.csv
-dxfTGcXJoc__2,文本+语音+视觉,16.6332,16.6332,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.09559,1.0,1.0,features/-dxfTGcXJoc__2.npz,word_alignment/-dxfTGcXJoc__2.csv
-dxfTGcXJoc__6,文本+语音+视觉,12.6284,12.6284,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.08329,1.0,1.0,features/-dxfTGcXJoc__6.npz,word_alignment/-dxfTGcXJoc__6.csv
-egA8-b7-3M__26,文本+语音+视觉,5.9206,5.9206,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.12808,1.0,1.0,features/-egA8-b7-3M__26.npz,word_alignment/-egA8-b7-3M__26.csv
-egA8-b7-3M__17,文本+语音+视觉,7.0953,7.0953,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.05367,1.0,1.0,features/-egA8-b7-3M__17.npz,word_alignment/-egA8-b7-3M__17.csv
-egA8-b7-3M__18,文本+语音+视觉,8.2657,8.2657,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.06831,1.0,1.0,features/-egA8-b7-3M__18.npz,word_alignment/-egA8-b7-3M__18.csv
-egA8-b7-3M__16,文本+语音+视觉,5.483,5.483,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.03067,1.0,1.0,features/-egA8-b7-3M__16.npz,word_alignment/-egA8-b7-3M__16.csv
-egA8-b7-3M__13,文本+语音+视觉,4.0239,4.0239,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.79622,1.0,1.0,features/-egA8-b7-3M__13.npz,word_alignment/-egA8-b7-3M__13.csv
-egA8-b7-3M__1,文本+语音+视觉,10.1562,10.1562,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.19001,1.0,1.0,features/-egA8-b7-3M__1.npz,word_alignment/-egA8-b7-3M__1.csv
-egA8-b7-3M__6,文本+语音+视觉,6.1831,6.1831,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.2046,1.0,1.0,features/-egA8-b7-3M__6.npz,word_alignment/-egA8-b7-3M__6.csv
-egA8-b7-3M__9,文本+语音+视觉,4.9361,4.9361,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.02686,1.0,1.0,features/-egA8-b7-3M__9.npz,word_alignment/-egA8-b7-3M__9.csv
-egA8-b7-3M__20,文本+语音+视觉,6.4744,6.4744,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.02479,1.0,1.0,features/-egA8-b7-3M__20.npz,word_alignment/-egA8-b7-3M__20.csv
-iRBcNs9oI8__3,文本+语音+视觉,5.5382,5.5382,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-6.13285,1.0,0.0,features/-iRBcNs9oI8__3.npz,word_alignment/-iRBcNs9oI8__3.csv
-iRBcNs9oI8__7,文本+语音+视觉,4.0057,4.0057,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-8.89044,1.0,0.0,features/-iRBcNs9oI8__7.npz,word_alignment/-iRBcNs9oI8__7.csv
-iRBcNs9oI8__6,文本+语音+视觉,2.8204,2.8204,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-6.3646,1.0,0.0,features/-iRBcNs9oI8__6.npz,word_alignment/-iRBcNs9oI8__6.csv
-iRBcNs9oI8__9,文本+语音+视觉,3.3741,3.3741,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-8.44266,0.4,0.0,features/-iRBcNs9oI8__9.npz,word_alignment/-iRBcNs9oI8__9.csv
-iRBcNs9oI8__8,文本+语音+视觉,8.0261,8.0261,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-9.42319,1.0,0.0,features/-iRBcNs9oI8__8.npz,word_alignment/-iRBcNs9oI8__8.csv
-lzEya4AM_4__5,文本+语音+视觉,7.5697,7.5697,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.29886,1.0,1.0,features/-lzEya4AM_4__5.npz,word_alignment/-lzEya4AM_4__5.csv
-lzEya4AM_4__6,文本+语音+视觉,14.7404,14.7404,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.11331,1.0,1.0,features/-lzEya4AM_4__6.npz,word_alignment/-lzEya4AM_4__6.csv
-mJ2ud6oKI8__1,文本+语音+视觉,6.0545,6.0545,768,74+768,52+512+49,词级,proportional_fallback_silent_audio,,0.0,0.0,features/-mJ2ud6oKI8__1.npz,word_alignment/-mJ2ud6oKI8__1.csv
-mJ2ud6oKI8__2,文本+语音+视觉,5.7017,5.7017,768,74+768,52+512+49,词级,proportional_fallback_silent_audio,,0.2727,0.0,features/-mJ2ud6oKI8__2.npz,word_alignment/-mJ2ud6oKI8__2.csv
-mJ2ud6oKI8__6,文本+语音+视觉,2.2281,2.2281,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-5.46146,1.0,1.0,features/-mJ2ud6oKI8__6.npz,word_alignment/-mJ2ud6oKI8__6.csv
-mJ2ud6oKI8__9,文本+语音+视觉,6.9088,6.9088,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-6.6334,1.0,1.0,features/-mJ2ud6oKI8__9.npz,word_alignment/-mJ2ud6oKI8__9.csv
-mJ2ud6oKI8__8,文本+语音+视觉,4.1714,4.1714,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-6.56435,1.0,1.0,features/-mJ2ud6oKI8__8.npz,word_alignment/-mJ2ud6oKI8__8.csv
-mqbVkbCndg__0,文本+语音+视觉,6.3855,6.3855,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.03064,1.0,1.0,features/-mqbVkbCndg__0.npz,word_alignment/-mqbVkbCndg__0.csv
-t217m2on-s__2,文本+语音+视觉,5.6302,5.6302,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.69541,1.0,1.0,features/-t217m2on-s__2.npz,word_alignment/-t217m2on-s__2.csv
-t217m2on-s__7,文本+语音+视觉,17.0264,17.0264,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.04643,1.0,1.0,features/-t217m2on-s__7.npz,word_alignment/-t217m2on-s__7.csv
-tANM6ETl_M__3,文本+语音+视觉,6.6036,6.6036,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.31126,1.0,1.0,features/-tANM6ETl_M__3.npz,word_alignment/-tANM6ETl_M__3.csv
-tPCytz4rww__11,文本+语音+视觉,5.3786,5.3786,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.14715,1.0,1.0,features/-tPCytz4rww__11.npz,word_alignment/-tPCytz4rww__11.csv
-tPCytz4rww__10,文本+语音+视觉,4.6788,4.6788,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.05276,1.0,1.0,features/-tPCytz4rww__10.npz,word_alignment/-tPCytz4rww__10.csv
-tPCytz4rww__12,文本+语音+视觉,11.7362,11.7362,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.32485,1.0,1.0,features/-tPCytz4rww__12.npz,word_alignment/-tPCytz4rww__12.csv
-tPCytz4rww__16,文本+语音+视觉,7.1392,7.1392,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.61349,1.0,1.0,features/-tPCytz4rww__16.npz,word_alignment/-tPCytz4rww__16.csv
-tPCytz4rww__18,文本+语音+视觉,6.5688,6.5688,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.36209,1.0,1.0,features/-tPCytz4rww__18.npz,word_alignment/-tPCytz4rww__18.csv
-vxjVxOeScU__4,文本+语音+视觉,9.0371,9.0371,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.63771,1.0,1.0,features/-vxjVxOeScU__4.npz,word_alignment/-vxjVxOeScU__4.csv
-wMB_hJL-3o__7,文本+语音+视觉,5.9756,5.9756,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.25483,1.0,1.0,features/-wMB_hJL-3o__7.npz,word_alignment/-wMB_hJL-3o__7.csv
-wny0OAz3g8__1,文本+语音+视觉,6.7766,6.7766,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.04668,1.0,0.0455,features/-wny0OAz3g8__1.npz,word_alignment/-wny0OAz3g8__1.csv
-wny0OAz3g8__0,文本+语音+视觉,3.274,3.274,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.03953,1.0,1.0,features/-wny0OAz3g8__0.npz,word_alignment/-wny0OAz3g8__0.csv
-wny0OAz3g8__3,文本+语音+视觉,6.0999,6.0999,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.03448,1.0,0.0,features/-wny0OAz3g8__3.npz,word_alignment/-wny0OAz3g8__3.csv
-wny0OAz3g8__2,文本+语音+视觉,6.5227,6.5227,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.05365,1.0,1.0,features/-wny0OAz3g8__2.npz,word_alignment/-wny0OAz3g8__2.csv
-wny0OAz3g8__5,文本+语音+视觉,6.7414,6.7414,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.10471,1.0,0.05,features/-wny0OAz3g8__5.npz,word_alignment/-wny0OAz3g8__5.csv
-wny0OAz3g8__7,文本+语音+视觉,7.9105,7.9105,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.0729,1.0,0.1379,features/-wny0OAz3g8__7.npz,word_alignment/-wny0OAz3g8__7.csv
-wny0OAz3g8__9,文本+语音+视觉,6.0435,6.0435,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.31448,1.0,0.95,features/-wny0OAz3g8__9.npz,word_alignment/-wny0OAz3g8__9.csv
-571d8cVauQ__0,文本+语音+视觉,4.9923,4.9923,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.52835,1.0,1.0,features/-571d8cVauQ__0.npz,word_alignment/-571d8cVauQ__0.csv
-571d8cVauQ__5,文本+语音+视觉,15.1152,15.1152,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.22335,1.0,1.0,features/-571d8cVauQ__5.npz,word_alignment/-571d8cVauQ__5.csv
-I_e4mIh0yE__1,文本+语音+视觉,7.4443,7.4443,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.028,1.0,1.0,features/-I_e4mIh0yE__1.npz,word_alignment/-I_e4mIh0yE__1.csv
-I_e4mIh0yE__3,文本+语音+视觉,8.9944,8.9944,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.15882,1.0,1.0,features/-I_e4mIh0yE__3.npz,word_alignment/-I_e4mIh0yE__3.csv
-UacrmKiTn4__10,文本+语音+视觉,7.2421,7.2421,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.09369,1.0,1.0,features/-UacrmKiTn4__10.npz,word_alignment/-UacrmKiTn4__10.csv
-UacrmKiTn4__4,文本+语音+视觉,4.6819,4.6819,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.02929,1.0,1.0,features/-UacrmKiTn4__4.npz,word_alignment/-UacrmKiTn4__4.csv
-hnBHBN8p5A__7,文本+语音+视觉,7.3086,7.3086,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-8.34433,0.9231,0.0,features/-hnBHBN8p5A__7.npz,word_alignment/-hnBHBN8p5A__7.csv
-hnBHBN8p5A__6,文本+语音+视觉,6.3328,6.3328,768,74+768,52+512+49,词级,proportional_fallback_low_ctc_confidence,-7.62268,0.4615,0.0,features/-hnBHBN8p5A__6.npz,word_alignment/-hnBHBN8p5A__6.csv
-qDkUB0GgYY__6,文本+语音+视觉,4.6147,4.6147,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-1.06414,1.0,1.0,features/-qDkUB0GgYY__6.npz,word_alignment/-qDkUB0GgYY__6.csv
-uywlfIYOS8__4,文本+语音+视觉,5.8811,5.8811,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.24749,1.0,1.0,features/-uywlfIYOS8__4.npz,word_alignment/-uywlfIYOS8__4.csv
-6rXp3zJ3kc__8,文本+语音+视觉,12.738,12.738,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.06378,1.0,1.0,features/-6rXp3zJ3kc__8.npz,word_alignment/-6rXp3zJ3kc__8.csv
-9y-fZ3swSY__0,文本+语音+视觉,6.757,6.757,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.75637,1.0,1.0,features/-9y-fZ3swSY__0.npz,word_alignment/-9y-fZ3swSY__0.csv
-9y-fZ3swSY__4,文本+语音+视觉,2.6648,2.6648,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-1.40226,1.0,0.8889,features/-9y-fZ3swSY__4.npz,word_alignment/-9y-fZ3swSY__4.csv
-9y-fZ3swSY__8,文本+语音+视觉,4.917,4.917,768,74+768,52+512+49,词级,wav2vec2_ctc_forced_alignment,-0.48108,0.75,0.25,features/-9y-fZ3swSY__8.npz,word_alignment/-9y-fZ3swSY__8.csv
