word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,So,0,2,0.6016,0.8221,wav2vec2_ctc_forced_alignment,-0.25483,1,22,2,2,True,214,74,100,125,-5e-05,2,True,False,True,0.7
1,if,3,5,1.1029,1.143,wav2vec2_ctc_forced_alignment,-0.25483,1,4,0,0,True,213,71,101,125,-6e-05,0,True,True,True,1.1
2,you,6,9,1.2031,1.2833,wav2vec2_ctc_forced_alignment,-0.25483,1,8,0,0,True,213,74,101,123,-3e-05,0,True,True,True,1.2
3,have,10,14,1.3435,1.4638,wav2vec2_ctc_forced_alignment,-0.25483,1,12,1,1,True,213,73,101,124,-0.06352,1,True,False,True,1.4
4,a,15,16,1.524,1.544,wav2vec2_ctc_forced_alignment,-0.25483,1,2,0,0,True,213,73,101,124,-0.0361,0,True,True,True,1.5
5,loved,17,22,1.6042,1.7846,wav2vec2_ctc_forced_alignment,-0.25483,1,18,1,1,True,214,74,100,123,-0.00081,1,True,False,True,1.7
6,one,23,26,1.905,1.9852,wav2vec2_ctc_forced_alignment,-0.25483,1,8,0,0,True,213,74,101,124,-0.00285,0,True,True,True,1.9
7,who,27,30,2.0253,2.1055,wav2vec2_ctc_forced_alignment,-0.25483,1,8,1,1,True,212,69,103,125,-0.01533,1,True,False,True,2.1
8,is,31,33,2.2057,2.2659,wav2vec2_ctc_forced_alignment,-0.25483,1,6,0,0,True,213,69,102,125,-0.01852,0,True,True,True,2.2
9,depressed,34,43,2.3261,2.9076,wav2vec2_ctc_forced_alignment,-0.25483,1,58,6,6,True,214,71,99,133,-0.0384,6,True,False,True,2.6
10,those,44,49,3.2685,3.449,wav2vec2_ctc_forced_alignment,-0.25483,1,18,2,2,True,215,72,100,121,-0.00588,2,True,False,True,3.4
11,are,50,53,3.4891,3.5693,wav2vec2_ctc_forced_alignment,-0.25483,1,8,1,1,True,215,71,100,122,-0.00731,1,True,False,True,3.5
12,some,54,58,3.6094,3.7297,wav2vec2_ctc_forced_alignment,-0.25483,1,12,1,1,True,215,74,100,122,-0.08694,1,True,False,True,3.7
13,of,59,61,3.7698,3.8099,wav2vec2_ctc_forced_alignment,-0.25483,1,4,1,1,True,217,76,98,120,-0.0008,1,True,False,True,3.8
14,the,62,65,3.8701,3.9503,wav2vec2_ctc_forced_alignment,-0.25483,1,8,1,1,True,217,75,98,121,-0.00317,1,True,False,True,3.9
15,things,66,72,4.0104,4.211,wav2vec2_ctc_forced_alignment,-0.25483,1,20,2,2,True,216,76,100,121,-0.00014,2,True,False,True,4.1
16,that,73,77,4.2511,4.3513,wav2vec2_ctc_forced_alignment,-0.25483,1,10,1,1,True,217,75,101,121,-0.07529,1,True,False,True,4.3
17,you,78,81,4.3914,4.4716,wav2vec2_ctc_forced_alignment,-0.25483,1,8,1,1,True,217,76,101,121,-0.00015,1,True,False,True,4.4
18,should,82,88,4.5318,4.7123,wav2vec2_ctc_forced_alignment,-0.25483,1,18,2,2,True,217,72,101,125,-0.06066,2,True,False,True,4.6
19,think,89,94,4.7323,4.8526,wav2vec2_ctc_forced_alignment,-0.25483,1,12,1,1,True,217,74,101,125,-0.00015,1,True,False,True,4.8
20,about,95,100,4.9328,5.1334,wav2vec2_ctc_forced_alignment,-0.25483,1,20,2,2,True,217,73,100,124,-0.00147,2,True,False,True,5.0
21,doing,101,106,5.1935,5.5144,wav2vec2_ctc_forced_alignment,-0.25483,1,32,4,4,True,218,73,99,127,-2.71405,4,True,False,True,5.4
