word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,And,0,3,0.1405,0.7828,wav2vec2_ctc_forced_alignment,-0.24749,1,64,6,6,True,61,45,108,128,-2.17297,6,True,False,True,0.5
1,then,4,8,1.1843,1.2846,wav2vec2_ctc_forced_alignment,-0.24749,1,10,1,1,True,71,45,107,126,-0.00553,1,True,False,True,1.2
2,from,9,13,1.3649,1.4853,wav2vec2_ctc_forced_alignment,-0.24749,1,12,1,1,True,72,49,109,126,-0.0387,1,True,False,True,1.4
3,a,14,15,1.5456,1.5656,wav2vec2_ctc_forced_alignment,-0.24749,1,2,0,0,True,76,55,106,127,-0.0094,0,True,True,True,1.6
4,brand,16,21,1.6861,2.0273,wav2vec2_ctc_forced_alignment,-0.24749,1,34,4,4,True,71,55,112,130,-0.0316,4,True,False,True,1.9
5,point,22,27,2.1076,2.3083,wav2vec2_ctc_forced_alignment,-0.24749,1,20,2,2,True,65,51,108,130,-0.01785,2,True,False,True,2.2
6,of,28,30,2.3886,2.4287,wav2vec2_ctc_forced_alignment,-0.24749,1,4,1,1,True,64,45,108,127,-0.01563,1,True,False,True,2.4
7,view,31,35,2.4689,2.5692,wav2vec2_ctc_forced_alignment,-0.24749,1,10,1,1,True,66,42,108,128,-0.00014,1,True,False,True,2.5
8,we,37,39,2.6495,2.7298,wav2vec2_ctc_forced_alignment,-0.24749,1,8,1,1,True,69,42,111,127,-0.00015,1,True,False,True,2.7
9,need,40,44,2.8302,3.0108,wav2vec2_ctc_forced_alignment,-0.24749,1,18,2,2,True,75,48,111,127,-0.01617,2,True,False,True,2.9
10,to,45,47,3.0911,3.1513,wav2vec2_ctc_forced_alignment,-0.24749,1,6,1,1,True,77,51,114,124,-0.00917,1,True,False,True,3.1
11,make,48,52,3.2115,3.352,wav2vec2_ctc_forced_alignment,-0.24749,1,14,1,1,True,82,51,113,124,-0.08862,1,True,False,True,3.3
12,sure,53,57,3.3922,3.5126,wav2vec2_ctc_forced_alignment,-0.24749,1,12,2,2,True,81,50,114,124,-0.0003,2,True,False,True,3.5
13,we're,58,63,3.6933,3.8739,wav2vec2_ctc_forced_alignment,-0.24749,3,18,2,2,True,84,51,113,124,-0.10902,2,True,False,True,3.8
14,driving,64,71,3.9141,4.2151,wav2vec2_ctc_forced_alignment,-0.24749,1,30,3,3,True,84,53,110,124,-0.05562,3,True,False,True,4.1
15,the,72,75,4.2553,4.3155,wav2vec2_ctc_forced_alignment,-0.24749,1,6,1,1,True,81,48,111,125,-0.00613,1,True,False,True,4.3
16,relevant,76,84,4.3757,4.7169,wav2vec2_ctc_forced_alignment,-0.24749,1,34,4,4,True,82,52,110,120,-1.37536,4,True,False,True,4.5
17,insight,85,92,4.8775,5.279,wav2vec2_ctc_forced_alignment,-0.24749,1,40,4,4,True,83,57,111,126,-0.00195,4,True,False,True,5.1
