word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,This,0,4,0.5819,0.7022,wav2vec2_ctc_forced_alignment,-0.10471,1,13,1,1,True,262,215,371,371,0.5
1,is,5,7,0.7825,0.8226,wav2vec2_ctc_forced_alignment,-0.10471,1,5,1,1,True,534,156,213,213,1.0
2,what’s,8,14,0.8828,1.0433,wav2vec2_ctc_forced_alignment,-0.10471,3,17,1,1,True,534,156,213,213,1.0
3,now,15,18,1.1035,1.2239,wav2vec2_ctc_forced_alignment,-0.10471,1,13,1,1,True,534,156,213,213,1.0
4,known,19,24,1.3041,1.5048,wav2vec2_ctc_forced_alignment,-0.10471,1,21,1,1,True,238,197,396,396,1.5
5,as,25,27,1.565,1.6252,wav2vec2_ctc_forced_alignment,-0.10471,1,8,1,1,True,238,197,396,396,1.5
6,racial,28,34,1.7255,1.9863,wav2vec2_ctc_forced_alignment,-0.10471,1,27,2,2,True,530,160,231,231,2.0
7,formation,35,44,2.0465,2.4478,wav2vec2_ctc_forced_alignment,-0.10471,1,41,2,2,True,530,160,231,231,2.0
8,theory,45,51,2.5481,2.7889,wav2vec2_ctc_forced_alignment,-0.10471,1,25,2,2,True,528,151,239,239,2.5
9,a,53,54,3.1099,3.13,wav2vec2_ctc_forced_alignment,-0.10471,1,3,1,1,True,524,136,247,247,3.0
10,theory,55,61,3.1901,3.3707,wav2vec2_ctc_forced_alignment,-0.10471,1,19,2,2,True,517,156,230,230,3.5
11,formalized,62,72,3.4309,3.8924,wav2vec2_ctc_forced_alignment,-0.10471,2,47,2,2,True,517,156,230,230,3.5
12,by,73,75,3.9526,4.0128,wav2vec2_ctc_forced_alignment,-0.10471,1,7,1,1,True,521,154,243,243,4.0
13,modern,76,82,4.093,4.3538,wav2vec2_ctc_forced_alignment,-0.10471,1,27,2,2,True,521,154,243,243,4.0
14,sociologists,83,95,4.394,4.9558,wav2vec2_ctc_forced_alignment,-0.10471,2,58,2,2,True,533,134,253,253,4.5
15,Michael,96,103,4.9758,5.1965,wav2vec2_ctc_forced_alignment,-0.10471,1,23,1,1,True,558,132,260,260,5.0
16,Omi,104,107,5.2968,5.4574,wav2vec2_ctc_forced_alignment,-0.10471,2,17,1,1,True,575,150,212,212,5.5
17,and,108,111,5.5777,5.6379,wav2vec2_ctc_forced_alignment,-0.10471,1,7,1,1,True,575,150,212,212,5.5
18,Howard,112,118,5.6781,5.8988,wav2vec2_ctc_forced_alignment,-0.10471,1,23,2,2,True,534,145,232,232,6.0
19,Winant,119,125,5.9389,6.4004,wav2vec2_ctc_forced_alignment,-0.10471,2,47,2,2,True,534,145,232,232,6.0
