word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,I,0,1,0.5817,0.6018,wav2vec2_ctc_forced_alignment,-0.38055,1,2,1,1,True,357,127,362,427,-0.09104,1,True,False,True,0.6
1,ended,2,7,0.662,0.8024,wav2vec2_ctc_forced_alignment,-0.38055,1,14,2,2,True,357,130,363,420,-0.55954,2,True,False,True,0.7
2,up,8,10,0.8425,0.8826,wav2vec2_ctc_forced_alignment,-0.38055,1,4,0,0,True,358,132,364,421,-0.08305,0,True,True,True,0.9
3,going,11,16,0.9428,1.1234,wav2vec2_ctc_forced_alignment,-0.38055,1,18,2,2,True,358,134,364,420,-0.04118,2,True,False,True,1.0
4,to,17,19,1.1635,1.2237,wav2vec2_ctc_forced_alignment,-0.38055,1,6,1,1,True,359,143,363,417,-0.00043,1,True,False,True,1.2
5,work,20,24,1.2638,1.4243,wav2vec2_ctc_forced_alignment,-0.38055,1,16,2,2,True,357,142,365,419,-0.01172,2,True,False,True,1.3
6,for,25,28,1.5647,1.7653,wav2vec2_ctc_forced_alignment,-0.38055,1,20,2,2,True,359,145,362,410,-0.03357,2,True,False,True,1.7
7,the,29,32,1.8455,1.9258,wav2vec2_ctc_forced_alignment,-0.38055,1,8,1,1,True,357,139,359,413,-0.01998,1,True,False,True,1.9
8,US,33,35,2.006,2.1866,wav2vec2_ctc_forced_alignment,-0.38055,1,18,1,1,True,350,129,355,409,-0.06328,1,True,False,True,2.1
9,government,36,46,2.2668,2.6881,wav2vec2_ctc_forced_alignment,-0.38055,1,42,4,4,True,349,122,354,417,-0.04831,4,True,False,True,2.5
10,as,47,49,2.8485,2.9087,wav2vec2_ctc_forced_alignment,-0.38055,1,6,1,1,True,351,129,353,415,-0.00156,1,True,False,True,2.9
11,an,50,52,2.989,3.0291,wav2vec2_ctc_forced_alignment,-0.38055,1,4,1,1,True,353,129,353,413,-0.03327,1,True,False,True,3.0
12,intelligence,53,65,3.0692,3.4905,wav2vec2_ctc_forced_alignment,-0.38055,1,43,4,4,True,362,128,364,420,-0.03375,4,True,False,True,3.3
13,analyst,66,73,3.5506,3.992,wav2vec2_ctc_forced_alignment,-0.38055,1,44,4,4,True,362,132,358,415,-0.95086,4,True,False,True,3.8
14,specializing,75,87,5.0351,5.6369,wav2vec2_ctc_forced_alignment,-0.38055,1,60,6,6,True,362,149,364,435,-0.01699,6,True,False,True,5.3
15,in,88,90,5.7974,5.8375,wav2vec2_ctc_forced_alignment,-0.38055,1,4,1,1,True,357,140,360,413,-0.02351,1,True,False,True,5.8
16,war,91,94,5.9378,6.0582,wav2vec2_ctc_forced_alignment,-0.38055,1,12,1,1,True,360,146,369,416,-0.25841,1,True,False,True,6.0
17,crimes,95,101,6.1384,6.3992,wav2vec2_ctc_forced_alignment,-0.38055,1,26,2,2,True,363,140,359,416,-0.01294,2,True,False,True,6.3
18,and,102,105,6.4393,6.4995,wav2vec2_ctc_forced_alignment,-0.38055,1,6,0,0,True,362,145,356,408,-4.4014,0,True,True,True,6.5
19,human,106,111,6.5195,6.7201,wav2vec2_ctc_forced_alignment,-0.38055,1,21,2,2,True,363,147,355,415,-0.1116,2,True,False,True,6.6
20,rights,112,118,6.7402,6.9207,wav2vec2_ctc_forced_alignment,-0.38055,1,18,2,2,True,363,151,360,419,-0.39647,2,True,False,True,6.8
21,issues,119,125,6.9809,7.3219,wav2vec2_ctc_forced_alignment,-0.38055,1,34,4,4,True,366,151,360,417,-2.45083,4,True,False,True,7.2
