word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,It's,0,4,0.4813,0.5816,wav2vec2_ctc_forced_alignment,-0.05059,3,10,1,1,True,715,84,235,260,-0.22991,1,True,False,True,0.5
1,pretty,5,11,0.7019,0.9626,wav2vec2_ctc_forced_alignment,-0.05059,1,26,2,2,True,699,87,243,274,-0.00304,2,True,False,True,0.8
2,pretty,13,19,1.0228,1.2634,wav2vec2_ctc_forced_alignment,-0.05059,1,24,2,2,True,692,77,249,281,-0.00047,2,True,False,True,1.1
3,easy,20,24,1.3437,1.5242,wav2vec2_ctc_forced_alignment,-0.05059,1,18,2,2,True,675,89,259,286,-0.00598,2,True,False,True,1.4
4,to,25,27,1.6044,1.6445,wav2vec2_ctc_forced_alignment,-0.05059,1,4,0,0,True,661,94,264,289,-0.00072,0,True,True,True,1.6
5,do,28,30,1.7047,1.8049,wav2vec2_ctc_forced_alignment,-0.05059,1,10,1,1,True,659,105,269,293,-0.00015,1,True,False,True,1.8
6,but,31,34,1.9253,2.0055,wav2vec2_ctc_forced_alignment,-0.05059,1,8,1,1,True,665,106,274,297,-0.0195,1,True,False,True,2.0
7,you,35,38,2.0255,2.0857,wav2vec2_ctc_forced_alignment,-0.05059,1,6,0,0,True,670,101,278,302,-5e-05,0,True,True,True,2.1
8,got,39,42,2.206,2.3264,wav2vec2_ctc_forced_alignment,-0.05059,1,12,1,1,True,687,114,274,297,-0.13402,1,True,False,True,2.3
9,to,43,45,2.3464,2.4066,wav2vec2_ctc_forced_alignment,-0.05059,1,6,1,1,True,689,130,274,295,-0.48892,1,True,False,True,2.4
10,set,46,49,2.4667,2.6071,wav2vec2_ctc_forced_alignment,-0.05059,1,14,2,2,True,689,118,280,315,-0.0038,2,True,False,True,2.5
11,up,50,52,2.6873,2.7676,wav2vec2_ctc_forced_alignment,-0.05059,1,8,1,1,True,683,122,282,305,-0.10891,1,True,False,True,2.7
12,those,53,58,2.8277,2.9882,wav2vec2_ctc_forced_alignment,-0.05059,1,16,1,1,True,685,107,280,294,-0.00168,1,True,False,True,2.9
13,numbers,59,66,3.0483,3.309,wav2vec2_ctc_forced_alignment,-0.05059,1,26,3,3,True,680,116,277,291,-0.06185,3,True,False,True,3.2
14,ahead,67,72,3.3692,3.5497,wav2vec2_ctc_forced_alignment,-0.05059,1,18,2,2,True,634,120,297,324,-0.01379,2,True,False,True,3.5
15,of,73,75,3.6099,3.65,wav2vec2_ctc_forced_alignment,-0.05059,1,4,0,0,True,644,119,293,317,-0.00138,0,True,True,True,3.6
16,time,76,80,3.7302,3.9508,wav2vec2_ctc_forced_alignment,-0.05059,1,22,2,2,True,653,118,295,323,-0.00085,2,True,False,True,3.8
