sample_id,modality,window_units,unit_start,feature_indices,text,char_start,char_end_exclusive,text_mapping_status,start_seconds,end_seconds,time_mapping_status,target_class,contrast_class,class_margin_effect,intensity_effect,after_target_probability,selected,direction
101787$_$9,text,1,0,[1],But,0,3,verified,,,unresolved,Neutral,Negative,-0.22961893178818593,-0.02529345452785492,0.5471865482185978,False,oppose
101787$_$9,text,1,1,[2],(,4,5,verified,,,unresolved,Neutral,Negative,-0.21155760693120873,-0.0212620347738266,0.546805730063847,False,oppose
101787$_$9,text,1,2,[3],umm,5,8,verified,,,unresolved,Neutral,Negative,0.05379574545065435,-0.018096312880516052,0.4937639538703458,False,support
101787$_$9,text,1,3,[4],),8,9,verified,,,unresolved,Neutral,Negative,-0.002835809773927611,0.0011288970708847046,0.5136454987213519,False,oppose
101787$_$9,text,1,4,[5],Harrison,10,18,verified,,,unresolved,Neutral,Negative,-0.07147084401257886,-0.020057424902915955,0.5184770595633847,False,oppose
101787$_$9,text,1,5,[6],Ford,19,23,verified,,,unresolved,Neutral,Negative,-0.056743844014027434,-0.021590441465377808,0.514131577069712,False,oppose
101787$_$9,text,1,6,[7],plays,24,29,verified,,,unresolved,Neutral,Negative,-0.04737534795765996,-0.006626933813095093,0.5188838597437057,False,oppose
101787$_$9,text,1,7,[8],his,30,33,verified,,,unresolved,Neutral,Negative,-0.15976661245273505,-0.003411799669265747,0.54447917331089,False,oppose
101787$_$9,text,1,8,[9],(,34,35,verified,,,unresolved,Neutral,Negative,-0.3753921439712642,-0.043142154812812805,0.5657461672479456,True,oppose
101787$_$9,text,1,9,"[10, 11]",stutter,35,42,verified,,,unresolved,Neutral,Negative,-0.15310877273294288,-0.03380069136619568,0.5271186773667765,False,oppose
101787$_$9,text,1,10,[12],),42,43,verified,,,unresolved,Neutral,Negative,-0.19846138895119148,-0.012612506747245789,0.5476428147873261,False,oppose
101787$_$9,text,1,11,[13],normal,44,50,verified,,,unresolved,Neutral,Negative,-0.0582869225390672,-0.0066404789686203,0.522675655454631,False,oppose
101787$_$9,text,1,12,[14],character,51,60,verified,,,unresolved,Neutral,Negative,0.03685237592779589,0.0036602765321731567,0.5055831415029837,False,support
101787$_$9,text,1,13,[15],",",60,61,verified,,,unresolved,Neutral,Negative,-0.033931465718134324,0.004110485315322876,0.521008843038237,False,oppose
101787$_$9,text,1,14,[16],a,62,63,verified,,,unresolved,Neutral,Negative,-0.0013910179227984987,-0.003282502293586731,0.5112536633769399,False,oppose
101787$_$9,text,1,15,[17],gruff,64,69,verified,,,unresolved,Neutral,Negative,-0.22632985520111581,-0.026321038603782654,0.5485128201497925,False,oppose
101787$_$9,text,1,16,[18],cargo,70,75,verified,,,unresolved,Neutral,Negative,0.08195920139805657,0.004648327827453613,0.49592971891584103,False,support
101787$_$9,text,1,17,[19],pilot,76,81,verified,,,unresolved,Neutral,Negative,0.1863787980240308,0.016024522483348846,0.4770460088296005,True,support
101787$_$9,text,3,0,"[1, 2, 3]",But (umm,0,8,verified,,,unresolved,Neutral,Negative,-0.1513435115406243,-0.03415365517139435,0.5236165431850112,False,oppose
101787$_$9,text,3,1,"[2, 3, 4]",(umm),4,9,verified,,,unresolved,Neutral,Negative,0.024084504488199654,-0.025822967290878296,0.4931223494164013,False,support
101787$_$9,text,3,2,"[3, 4, 5]",umm) Harrison,5,18,verified,,,unresolved,Neutral,Negative,0.24151399814399477,0.005574405193328857,0.45649218475239267,False,support
101787$_$9,text,3,3,"[4, 5, 6]",) Harrison Ford,8,23,verified,,,unresolved,Neutral,Negative,-0.06294714745465568,-0.016806289553642273,0.5149968894481742,False,oppose
101787$_$9,text,3,4,"[5, 6, 7]",Harrison Ford plays,10,29,verified,,,unresolved,Neutral,Negative,0.05833570456643644,-0.003080517053604126,0.4930896787928322,False,support
101787$_$9,text,3,5,"[6, 7, 8]",Ford plays his,19,33,verified,,,unresolved,Neutral,Negative,-0.4238250208108718,-0.05599190294742584,0.5653374426071424,True,oppose
101787$_$9,text,3,6,"[7, 8, 9]",plays his (,24,35,verified,,,unresolved,Neutral,Negative,-0.38865514383222244,-0.04785771667957306,0.5632354127406118,False,oppose
101787$_$9,text,3,7,"[8, 9, 10, 11]",his (stutter,30,42,verified,,,unresolved,Neutral,Negative,-0.4280781850441615,-0.04721362888813019,0.5687578913308947,True,oppose
101787$_$9,text,3,8,"[9, 10, 11, 12]",(stutter),34,43,verified,,,unresolved,Neutral,Negative,-0.15132824473131778,-0.032088249921798706,0.5258669274286759,False,oppose
101787$_$9,text,3,9,"[10, 11, 12, 13]",stutter) normal,35,50,verified,,,unresolved,Neutral,Negative,-0.06246024911104109,-0.007061317563056946,0.5180252340879834,False,oppose
101787$_$9,text,3,10,"[12, 13, 14]",) normal character,42,60,verified,,,unresolved,Neutral,Negative,-0.1458060872075697,-0.011777237057685852,0.5346183233928402,False,oppose
101787$_$9,text,3,11,"[13, 14, 15]","normal character,",44,61,verified,,,unresolved,Neutral,Negative,-0.1328596716217969,-0.009786441922187805,0.5358851031604059,False,oppose
101787$_$9,text,3,12,"[14, 15, 16]","character, a",51,63,verified,,,unresolved,Neutral,Negative,-0.07852867317572498,-0.011319756507873535,0.5217177985893158,False,oppose
101787$_$9,text,3,13,"[15, 16, 17]",", a gruff",60,69,verified,,,unresolved,Neutral,Negative,-0.08105085722230576,-0.010828927159309387,0.5233242164275564,False,oppose
101787$_$9,text,3,14,"[16, 17, 18]",a gruff cargo,62,75,verified,,,unresolved,Neutral,Negative,0.01921837975854379,-0.010950595140457153,0.50445691602622,False,support
101787$_$9,text,3,15,"[17, 18, 19]",gruff cargo pilot,64,81,verified,,,unresolved,Neutral,Negative,0.051561309789931786,-0.011977225542068481,0.49429575750521,False,support
101787$_$9,text,5,0,"[1, 2, 3, 4, 5]",But (umm) Harrison,0,18,verified,,,unresolved,Neutral,Negative,-0.13858616680423785,-0.043309614062309265,0.5116734883295669,False,oppose
101787$_$9,text,5,1,"[2, 3, 4, 5, 6]",(umm) Harrison Ford,4,23,verified,,,unresolved,Neutral,Negative,0.14327302166726597,-0.026807263493537903,0.4626563889119255,False,support
101787$_$9,text,5,2,"[3, 4, 5, 6, 7]",umm) Harrison Ford plays,5,29,verified,,,unresolved,Neutral,Negative,0.4839237891350989,0.03588131070137024,0.40801499557434845,True,support
101787$_$9,text,5,3,"[4, 5, 6, 7, 8]",) Harrison Ford plays his,8,33,verified,,,unresolved,Neutral,Negative,-0.17322441806172917,-0.03677099943161011,0.5287748664659717,False,oppose
101787$_$9,text,5,4,"[5, 6, 7, 8, 9]",Harrison Ford plays his (,10,35,verified,,,unresolved,Neutral,Negative,-0.3061166623980983,-0.06762228906154633,0.5351969392938715,False,oppose
101787$_$9,text,5,5,"[6, 7, 8, 9, 10, 11]",Ford plays his (stutter,19,42,verified,,,unresolved,Neutral,Negative,-0.41133914136736915,-0.07016968727111816,0.5483601934338411,False,oppose
101787$_$9,text,5,6,"[7, 8, 9, 10, 11, 12]",plays his (stutter),24,43,verified,,,unresolved,Neutral,Negative,-0.26159406547466724,-0.04054202139377594,0.5372338126200452,False,oppose
101787$_$9,text,5,7,"[8, 9, 10, 11, 12, 13]",his (stutter) normal,30,50,verified,,,unresolved,Neutral,Negative,-0.15520984936945348,-0.028238222002983093,0.5250646506821726,False,oppose
101787$_$9,text,5,8,"[9, 10, 11, 12, 13, 14]",(stutter) normal character,34,60,verified,,,unresolved,Neutral,Negative,-0.1291037061579403,-0.026858970522880554,0.5199212246190266,False,oppose
101787$_$9,text,5,9,"[10, 11, 12, 13, 14, 15]","stutter) normal character,",35,61,verified,,,unresolved,Neutral,Negative,-0.12684934377260504,-0.010595843195915222,0.5275359844739322,False,oppose
101787$_$9,text,5,10,"[12, 13, 14, 15, 16]",") normal character, a",42,63,verified,,,unresolved,Neutral,Negative,-0.25917044377321286,-0.029677003622055054,0.5466491398483218,False,oppose
101787$_$9,text,5,11,"[13, 14, 15, 16, 17]","normal character, a gruff",44,69,verified,,,unresolved,Neutral,Negative,-0.2484350775812979,-0.02722020447254181,0.5489078805870704,False,oppose
101787$_$9,text,5,12,"[14, 15, 16, 17, 18]","character, a gruff cargo",51,75,verified,,,unresolved,Neutral,Negative,-0.03377347544909959,-0.01295587420463562,0.510333018999755,False,oppose
101787$_$9,text,5,13,"[15, 16, 17, 18, 19]",", a gruff cargo pilot",60,81,verified,,,unresolved,Neutral,Negative,0.3316437104481055,0.031222686171531677,0.4448614120493998,True,support
101787$_$9,audio,1,0,[1],,,,not_applicable,,,unresolved,Neutral,Negative,0.006155192456581915,0.0013589262962341309,0.5135405451266012,False,support
101787$_$9,audio,1,1,[2],,,,not_applicable,,,unresolved,Neutral,Negative,0.008649653839496785,0.0015313178300857544,0.513589876010908,False,support
101787$_$9,audio,1,2,[3],,,,not_applicable,,,unresolved,Neutral,Negative,0.026264612601970994,0.0068159401416778564,0.5101989479001218,False,support
101787$_$9,audio,1,3,[4],,,,not_applicable,,,unresolved,Neutral,Negative,0.006326280539010964,-0.0007152259349822998,0.5132495905610764,False,support
101787$_$9,audio,1,4,[5],,,,not_applicable,,,unresolved,Neutral,Negative,0.0027138538978104254,-0.0001604706048965454,0.5136514144438915,False,support
101787$_$9,audio,1,5,[6],,,,not_applicable,,,unresolved,Neutral,Negative,0.0070113042808807036,0.0001122206449508667,0.5131022941552839,False,support
101787$_$9,audio,1,6,[7],,,,not_applicable,,,unresolved,Neutral,Negative,0.01590596974517644,0.001004233956336975,0.5111774026292629,False,support
101787$_$9,audio,1,7,[8],,,,not_applicable,,,unresolved,Neutral,Negative,0.008923940483261616,-0.00025354325771331787,0.5123863311123742,False,support
101787$_$9,audio,1,8,[9],,,,not_applicable,,,unresolved,Neutral,Negative,0.02061234280510904,0.0021433085203170776,0.5102908529477854,False,support
101787$_$9,audio,1,9,[10],,,,not_applicable,,,unresolved,Neutral,Negative,0.02351337414411958,0.0024842023849487305,0.5097000444240404,False,support
101787$_$9,audio,1,10,[11],,,,not_applicable,,,unresolved,Neutral,Negative,0.027937282480186787,0.0037505030632019043,0.508947921794011,False,support
101787$_$9,audio,1,11,[12],,,,not_applicable,,,unresolved,Neutral,Negative,0.0177844627924143,0.00020031630992889404,0.5103630936141719,False,support
101787$_$9,audio,1,12,[13],,,,not_applicable,,,unresolved,Neutral,Negative,0.013245209098597832,0.0006705671548843384,0.5112733137258596,False,support
101787$_$9,audio,1,13,[14],,,,not_applicable,,,unresolved,Neutral,Negative,0.022733116214757154,0.0035063475370407104,0.5099497145906483,False,support
101787$_$9,audio,1,14,[15],,,,not_applicable,,,unresolved,Neutral,Negative,0.02054535798726853,0.002923741936683655,0.5105016854054111,False,support
101787$_$9,audio,1,15,[16],,,,not_applicable,,,unresolved,Neutral,Negative,0.027796525226021607,0.00543038547039032,0.509823419168859,False,support
101787$_$9,audio,1,16,[17],,,,not_applicable,,,unresolved,Neutral,Negative,0.049723451154313314,0.00934087485074997,0.5061755191071495,False,support
101787$_$9,audio,1,17,[18],,,,not_applicable,,,unresolved,Neutral,Negative,0.015544937920999757,0.0041869282722473145,0.5127300818966425,False,support
101787$_$9,audio,1,18,[19],,,,not_applicable,,,unresolved,Neutral,Negative,0.01925435179745738,0.004170358180999756,0.5110988284164405,False,support
101787$_$9,audio,3,0,"[1, 2, 3]",,,,not_applicable,,,unresolved,Neutral,Negative,0.04211903582522958,0.01004791259765625,0.5103668901112605,False,support
101787$_$9,audio,3,1,"[2, 3, 4]",,,,not_applicable,,,unresolved,Neutral,Negative,0.04296182852798691,0.008053988218307495,0.5100279771007978,False,support
101787$_$9,audio,3,2,"[3, 4, 5]",,,,not_applicable,,,unresolved,Neutral,Negative,0.03658303081655223,0.0065315961837768555,0.510218354760641,False,support
101787$_$9,audio,3,3,"[4, 5, 6]",,,,not_applicable,,,unresolved,Neutral,Negative,0.016374723739047248,-0.0002949535846710205,0.5133191413778321,False,support
101787$_$9,audio,3,4,"[5, 6, 7]",,,,not_applicable,,,unresolved,Neutral,Negative,0.025639258829017075,0.001457303762435913,0.5112707802826292,False,support
