word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,If,0,2,0.5207,0.5807,wav2vec2_ctc_forced_alignment,-0.29886,1,6,0,0,True,147,66,82,97,-0.07118,0,True,True,True,0.6
1,it,3,5,0.6608,0.7009,wav2vec2_ctc_forced_alignment,-0.29886,1,4,1,1,True,144,66,83,97,-0.00107,1,True,False,True,0.7
2,falls,6,11,0.761,1.0013,wav2vec2_ctc_forced_alignment,-0.29886,1,24,3,3,True,142,69,83,96,-0.03054,3,True,False,True,0.9
3,into,12,16,1.0814,1.2616,wav2vec2_ctc_forced_alignment,-0.29886,1,18,2,2,True,139,68,86,99,-0.0059,2,True,False,True,1.2
4,oh,17,19,1.3617,1.4418,wav2vec2_ctc_forced_alignment,-0.29886,1,8,1,1,True,141,68,83,98,-3.46472,1,True,False,True,1.4
5,any,20,23,1.6421,1.7422,wav2vec2_ctc_forced_alignment,-0.29886,1,10,1,1,True,141,67,85,98,-0.03483,1,True,False,True,1.7
6,of,24,26,1.8023,1.8424,wav2vec2_ctc_forced_alignment,-0.29886,1,4,0,0,True,142,67,84,96,-0.00248,0,True,True,True,1.8
7,those,27,32,1.9024,2.0626,wav2vec2_ctc_forced_alignment,-0.29886,1,16,1,1,True,144,65,83,99,-0.00179,1,True,False,True,2.0
8,three,33,38,2.1227,2.2829,wav2vec2_ctc_forced_alignment,-0.29886,1,16,1,1,True,144,65,83,100,-0.00594,1,True,False,True,2.2
9,categories,39,49,2.323,2.8837,wav2vec2_ctc_forced_alignment,-0.29886,1,56,5,5,True,146,65,81,98,-0.02058,5,True,False,True,2.6
10,inducing,51,59,3.6447,4.2054,wav2vec2_ctc_forced_alignment,-0.29886,1,56,6,6,True,144,67,82,97,-0.00888,6,True,False,True,3.9
11,nausea,60,66,5.0665,5.3869,wav2vec2_ctc_forced_alignment,-0.29886,1,32,3,3,True,150,68,83,100,-1.83712,3,True,False,True,5.2
12,and,67,70,5.467,5.5471,wav2vec2_ctc_forced_alignment,-0.29886,1,8,1,1,True,155,70,80,99,-0.00171,1,True,False,True,5.5
13,vomiting,71,79,5.6072,6.0077,wav2vec2_ctc_forced_alignment,-0.29886,1,40,4,4,True,156,70,83,99,-0.11598,4,True,False,True,5.8
14,would,80,85,6.248,6.3882,wav2vec2_ctc_forced_alignment,-0.29886,1,14,1,1,True,161,78,85,96,-0.01596,1,True,False,True,6.3
15,be,86,88,6.4082,6.4683,wav2vec2_ctc_forced_alignment,-0.29886,1,6,0,0,True,164,79,81,96,-0.00227,0,True,True,True,6.4
16,your,89,93,6.5083,6.6285,wav2vec2_ctc_forced_alignment,-0.29886,1,12,1,1,True,167,81,80,96,-0.15997,1,True,False,True,6.6
17,next,94,98,6.6485,6.8087,wav2vec2_ctc_forced_alignment,-0.29886,1,16,2,2,True,168,82,80,95,-0.02711,2,True,False,True,6.7
18,step,99,103,6.8287,7.049,wav2vec2_ctc_forced_alignment,-0.29886,1,22,2,2,True,169,82,81,96,-2.1711,2,True,False,True,6.9
