word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,So,0,2,0.5817,0.7221,wav2vec2_ctc_forced_alignment,-0.23199,1,14,2,2,True,658,103,276,311,-0.00076,2,True,False,True,0.7
1,get,3,6,1.3439,1.4643,wav2vec2_ctc_forced_alignment,-0.23199,1,12,1,1,True,713,102,273,298,-0.00056,1,True,False,True,1.4
2,your,7,11,1.5245,1.6248,wav2vec2_ctc_forced_alignment,-0.23199,1,10,1,1,True,699,100,280,303,-0.00212,1,True,False,True,1.6
3,friends,12,19,1.6448,1.8655,wav2vec2_ctc_forced_alignment,-0.23199,1,22,2,2,True,676,106,281,314,-0.16011,2,True,False,True,1.8
4,lined,20,25,1.9256,2.1463,wav2vec2_ctc_forced_alignment,-0.23199,1,22,2,2,True,681,109,280,311,-0.51156,2,True,False,True,2.0
5,up,26,28,2.2466,2.3068,wav2vec2_ctc_forced_alignment,-0.23199,1,6,1,1,True,672,114,274,299,-0.00429,1,True,False,True,2.3
6,get,30,33,2.4071,2.5274,wav2vec2_ctc_forced_alignment,-0.23199,1,12,1,1,True,665,122,277,302,-0.08241,1,True,False,True,2.5
7,your,34,38,2.5876,2.6879,wav2vec2_ctc_forced_alignment,-0.23199,1,10,1,1,True,663,118,278,303,-0.05558,1,True,False,True,2.6
8,business,39,47,2.728,2.9687,wav2vec2_ctc_forced_alignment,-0.23199,1,24,2,2,True,650,111,284,305,-0.04532,2,True,False,True,2.8
9,colleagues,48,58,2.9888,3.3097,wav2vec2_ctc_forced_alignment,-0.23199,1,32,4,4,True,663,95,277,317,-1.07705,4,True,False,True,3.1
10,lined,59,64,3.3498,3.5705,wav2vec2_ctc_forced_alignment,-0.23199,1,23,2,2,True,675,102,274,303,-0.41673,2,True,False,True,3.5
11,up,65,67,3.6708,3.7309,wav2vec2_ctc_forced_alignment,-0.23199,1,6,1,1,True,681,106,273,301,-0.001,1,True,False,True,3.7
12,and,68,71,3.8112,3.8713,wav2vec2_ctc_forced_alignment,-0.23199,1,6,0,0,True,682,99,276,317,-0.01733,0,True,True,True,3.8
13,have,72,76,3.9115,4.0318,wav2vec2_ctc_forced_alignment,-0.23199,1,12,1,1,True,668,90,274,311,-0.09272,1,True,False,True,4.0
14,a,77,78,4.0719,4.1121,wav2vec2_ctc_forced_alignment,-0.23199,1,4,1,1,True,643,95,281,312,-0.17595,1,True,False,True,4.1
15,good,79,83,4.1321,4.2725,wav2vec2_ctc_forced_alignment,-0.23199,1,14,1,1,True,633,99,281,309,-0.01648,1,True,False,True,4.2
16,time,84,88,4.3126,4.5132,wav2vec2_ctc_forced_alignment,-0.23199,1,20,2,2,True,637,103,279,314,-0.00859,2,True,False,True,4.4
