word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,No,0,2,0.5407,0.6209,wav2vec2_ctc_forced_alignment,-0.32485,1,8,1,1,True,223,26,84,103,-0.00075,1,True,False,True,0.6
1,less,3,7,0.701,0.8812,wav2vec2_ctc_forced_alignment,-0.32485,1,18,1,1,True,223,26,85,103,-0.05187,1,True,False,True,0.8
2,than,8,12,0.9413,1.0615,wav2vec2_ctc_forced_alignment,-0.32485,1,12,1,1,True,223,26,85,103,-0.00031,1,True,False,True,1.0
3,eight,13,18,1.3419,1.5021,wav2vec2_ctc_forced_alignment,-0.32485,1,16,2,2,True,225,26,83,104,-0.0921,2,True,False,True,1.4
4,hundred,19,26,1.5421,1.7424,wav2vec2_ctc_forced_alignment,-0.32485,1,20,2,2,True,227,24,84,104,-0.07788,2,True,False,True,1.6
5,squire,27,33,1.7825,2.0028,wav2vec2_ctc_forced_alignment,-0.32485,1,22,3,3,True,229,24,83,105,-0.9842,3,True,False,True,1.9
6,feet,34,38,2.0428,2.2231,wav2vec2_ctc_forced_alignment,-0.32485,1,18,2,2,True,230,24,83,103,-0.01562,2,True,False,True,2.1
7,and,39,42,2.6036,2.6637,wav2vec2_ctc_forced_alignment,-0.32485,1,6,0,0,True,223,28,86,104,-0.75464,0,True,True,True,2.6
8,going,43,48,2.6837,2.8039,wav2vec2_ctc_forced_alignment,-0.32485,1,12,2,2,True,221,29,86,105,-4.54271,2,True,False,True,2.7
9,to,49,51,2.8239,2.884,wav2vec2_ctc_forced_alignment,-0.32485,1,6,0,0,True,220,29,85,104,-6.39946,0,True,True,True,2.9
10,similar,52,59,2.9841,3.3847,wav2vec2_ctc_forced_alignment,-0.32485,1,40,4,4,True,220,28,86,103,-0.01021,4,True,False,True,3.2
11,in,60,62,3.625,3.6651,wav2vec2_ctc_forced_alignment,-0.32485,1,4,0,0,True,225,27,85,103,-0.03741,0,True,True,True,3.6
12,similar,64,71,4.9468,5.3273,wav2vec2_ctc_forced_alignment,-0.32485,1,38,4,4,True,226,26,85,103,-0.03761,4,True,False,True,5.1
13,with,72,76,5.5877,5.7479,wav2vec2_ctc_forced_alignment,-0.32485,1,16,2,2,True,228,26,85,102,-0.00036,2,True,False,True,5.7
14,bedrooms,77,85,5.9282,6.2686,wav2vec2_ctc_forced_alignment,-0.32485,1,34,3,3,True,227,24,84,103,-0.05369,3,True,False,True,6.1
15,and,86,89,6.3087,6.3688,wav2vec2_ctc_forced_alignment,-0.32485,1,6,0,0,True,226,22,85,105,-0.11843,0,True,True,True,6.3
16,bathrooms,90,99,6.4289,6.8895,wav2vec2_ctc_forced_alignment,-0.32485,1,46,4,4,True,226,23,85,104,-0.00357,4,True,False,True,6.7
17,as,100,102,6.9696,7.0097,wav2vec2_ctc_forced_alignment,-0.32485,1,4,1,1,True,227,23,85,104,-0.00191,1,True,False,True,7.0
18,well,103,107,7.0898,7.2901,wav2vec2_ctc_forced_alignment,-0.32485,1,21,2,2,True,227,22,85,106,-0.00198,2,True,False,True,7.2
19,and,108,111,7.8909,8.0311,wav2vec2_ctc_forced_alignment,-0.32485,1,14,2,2,True,228,24,85,103,-0.08018,2,True,False,True,8.0
20,hopefully,112,121,8.4116,8.7721,wav2vec2_ctc_forced_alignment,-0.32485,1,36,3,3,True,227,27,85,102,-0.05406,3,True,False,True,8.6
21,the,122,125,9.1326,9.2327,wav2vec2_ctc_forced_alignment,-0.32485,1,10,1,1,True,225,29,84,104,-0.00782,1,True,False,True,9.2
22,complexes,126,135,9.413,9.8936,wav2vec2_ctc_forced_alignment,-0.32485,1,48,4,4,True,225,31,84,103,-0.08963,4,True,False,True,9.7
23,have,136,140,9.9537,10.0739,wav2vec2_ctc_forced_alignment,-0.32485,1,12,1,1,True,228,29,84,106,-0.00068,1,True,False,True,10.0
24,similar,141,148,10.174,10.5145,wav2vec2_ctc_forced_alignment,-0.32485,1,34,4,4,True,232,29,83,103,-0.06399,4,True,False,True,10.3
25,amenities,149,158,10.6347,11.1354,wav2vec2_ctc_forced_alignment,-0.32485,1,50,5,5,True,242,29,87,99,-0.02218,5,True,False,True,10.9
