词序号,词语,开始_秒,结束_秒,文本显示层,是否锚点
1,Omi,0.160213,0.680904,1,0
2,and,0.740983,0.801063,2,0
3,Winant,0.821090,1.061409,3,0
4,argue,1.141515,1.321754,4,0
5,that,1.361808,1.441914,1,0
6,the,1.461940,1.542047,2,0
7,concept,1.582100,1.902525,3,0
8,of,1.962605,2.002658,4,0
9,race,2.062738,2.242977,1,0
10,came,2.323083,2.463269,2,0
11,about,2.523349,2.683562,3,0
12,as,2.743642,2.783695,4,0
13,a,2.843775,2.863801,1,0
14,tool,2.923881,3.124147,2,0
15,to,3.204253,3.264333,3,0
16,justify,3.324413,3.764997,4,0
17,and,3.885157,3.965263,1,0
18,maintain,4.005316,4.405848,2,0
19,the,4.546034,4.626140,3,0
20,economic,4.706247,5.066725,4,1
21,and,5.146832,5.206911,1,0
22,political,5.246964,5.607443,2,0
23,power,5.667522,5.947895,3,0
24,held,6.048028,6.228267,4,0
25,by,6.288347,6.348426,1,0
26,those,6.388479,6.548692,2,0
27,of,6.608772,6.648825,3,0
28,European,6.708905,7.069383,4,0
29,descent,7.129463,7.770314,1,0
