样本编号,预测类别编码_负0中1正2,预测极性,预测强度
附件3_01,0,Negative,-1.4577293395996094
附件3_02,1,Neutral,0.0
附件3_03,1,Neutral,0.0
附件3_04,2,Positive,0.660542368888855
附件3_05,0,Negative,-0.7218983173370361
附件3_06,2,Positive,1.0311357975006104
附件3_07,2,Positive,0.38864585757255554
附件3_08,1,Neutral,0.0
附件3_09,2,Positive,1.3267040252685547
附件3_10,1,Neutral,0.0
附件3_11,2,Positive,0.5412392616271973
附件3_12,2,Positive,1.0971916913986206
附件3_13,1,Neutral,0.0
附件3_14,0,Negative,-0.8986445069313049
附件3_15,2,Positive,0.533597469329834
附件3_16,2,Positive,1.5512619018554688
附件3_17,0,Negative,-0.2789793908596039
附件3_18,1,Neutral,0.0
附件3_19,0,Negative,-0.6444384455680847
附件3_20,1,Neutral,0.0
附件3_21,2,Positive,0.45329907536506653
附件3_22,2,Positive,0.1740306317806244
附件3_23,1,Neutral,0.0
附件3_24,0,Negative,-0.009999999776482582
附件3_25,1,Neutral,0.0
附件3_26,2,Positive,0.685445249080658
附件3_27,2,Positive,1.03621244430542
附件3_28,2,Positive,0.46088171005249023
附件3_29,2,Positive,1.0573832988739014
附件3_30,2,Positive,0.4515990912914276
