cohort,new_model,reference_model,metric,point_delta_new_minus_reference,bootstrap_CI95_low,bootstrap_CI95_high,bootstrap_fraction_delta_positive,bootstrap_unit,bootstrap_replicates,bootstrap_seed
full_valid_1871,full_clean_teacher,old_distilled_3seed,selection_score,0.007728887253929395,-0.006294556646174315,0.020904491684918206,0.861,video_id,1000,20260923
full_valid_1871,full_clean_teacher,old_distilled_3seed,clean_Macro_F1,0.012945599641827621,-0.005242769971142772,0.030154291005416115,0.918,video_id,1000,20260923
full_valid_1871,full_clean_teacher,old_distilled_3seed,clean_MAE,-0.015954017639160156,-0.029813936352729796,-0.002597050368785859,0.011,video_id,1000,20260923
full_valid_1871,full_clean_teacher,old_distilled_3seed,contiguous_30pct_mean_Macro_F1,0.0016150310430780301,-0.011400316576404276,0.014047727068727619,0.565,video_id,1000,20260923
full_valid_1871,full_clean_teacher,old_distilled_3seed,contiguous_30pct_mean_MAE,-0.007648384571075417,-0.020194715857505843,0.004550221562385552,0.124,video_id,1000,20260923
full_valid_1871,full_clean_teacher,old_distilled_3seed,scattered_TAV_mean_Macro_F1,0.003421845421335501,-0.00859066304787275,0.014791618709624976,0.733,video_id,1000,20260923
full_valid_1871,full_clean_teacher,old_distilled_3seed,scattered_TAV_mean_MAE,-0.005732407172520881,-0.017452565083901053,0.006327859809001288,0.171,video_id,1000,20260923
full_valid_1871,full_robust_student,old_distilled_3seed,selection_score,0.013918126442450163,-0.0028795719975151478,0.029978941947318517,0.945,video_id,1000,20260923
full_valid_1871,full_robust_student,old_distilled_3seed,clean_Macro_F1,0.011602163642816521,-0.008604880260614614,0.03163636753898166,0.87,video_id,1000,20260923
full_valid_1871,full_robust_student,old_distilled_3seed,clean_MAE,-0.027882158756256104,-0.04587936997413635,-0.010374243557453157,0.0,video_id,1000,20260923
full_valid_1871,full_robust_student,old_distilled_3seed,contiguous_30pct_mean_Macro_F1,0.01348689917788648,-0.002516749937654861,0.028396086942105322,0.943,video_id,1000,20260923
full_valid_1871,full_robust_student,old_distilled_3seed,contiguous_30pct_mean_MAE,-0.030466568470001287,-0.04742789328098299,-0.013783148825168632,0.0,video_id,1000,20260923
full_valid_1871,full_robust_student,old_distilled_3seed,scattered_TAV_mean_Macro_F1,0.008217985279531992,-0.007459444768141912,0.02227870060360329,0.841,video_id,1000,20260923
full_valid_1871,full_robust_student,old_distilled_3seed,scattered_TAV_mean_MAE,-0.024550408124923706,-0.040381707002719244,-0.009466226647297472,0.0,video_id,1000,20260923
full_valid_1871,full_robust_student,full_clean_teacher,selection_score,0.006189239188520768,-0.009973355511822513,0.022021433709914256,0.762,video_id,1000,20260923
full_valid_1871,full_robust_student,full_clean_teacher,clean_Macro_F1,-0.0013434359990111,-0.01997669026754145,0.01744021954064743,0.458,video_id,1000,20260923
full_valid_1871,full_robust_student,full_clean_teacher,clean_MAE,-0.011928141117095947,-0.029388768970966338,0.004269194602966298,0.077,video_id,1000,20260923
full_valid_1871,full_robust_student,full_clean_teacher,contiguous_30pct_mean_Macro_F1,0.01187186813480845,-0.003110597970108933,0.026965716256340484,0.931,video_id,1000,20260923
full_valid_1871,full_robust_student,full_clean_teacher,contiguous_30pct_mean_MAE,-0.02281818389892587,-0.037377294003963474,-0.007846883535385091,0.0,video_id,1000,20260923
full_valid_1871,full_robust_student,full_clean_teacher,scattered_TAV_mean_Macro_F1,0.004796139858196491,-0.010130416184204483,0.019611727037971823,0.712,video_id,1000,20260923
full_valid_1871,full_robust_student,full_clean_teacher,scattered_TAV_mean_MAE,-0.018818000952402825,-0.03563267961144444,-0.0017312221229076037,0.013,video_id,1000,20260923
attachment2_valid_728,full_clean_teacher,old_distilled_3seed,selection_score,-0.0027450894865047593,-0.022013869694936225,0.015152227637896204,0.391,video_id,1000,20260923
attachment2_valid_728,full_clean_teacher,old_distilled_3seed,clean_Macro_F1,0.001996124311259617,-0.021346916610927285,0.025354596178806043,0.584,video_id,1000,20260923
attachment2_valid_728,full_clean_teacher,old_distilled_3seed,clean_MAE,-0.02638876438140869,-0.04413677006959915,-0.006894800066947939,0.004,video_id,1000,20260923
attachment2_valid_728,full_clean_teacher,old_distilled_3seed,contiguous_30pct_mean_Macro_F1,-0.010259613188164707,-0.02943345539409823,0.007260462125747895,0.144,video_id,1000,20260923
attachment2_valid_728,full_clean_teacher,old_distilled_3seed,contiguous_30pct_mean_MAE,-0.013528645038604736,-0.02853100448846817,0.0030463042855262967,0.058,video_id,1000,20260923
attachment2_valid_728,full_clean_teacher,old_distilled_3seed,scattered_TAV_mean_Macro_F1,-0.00742721831545734,-0.026056557354554193,0.01066948866139236,0.233,video_id,1000,20260923
attachment2_valid_728,full_clean_teacher,old_distilled_3seed,scattered_TAV_mean_MAE,-0.010036677122116089,-0.026491473118464153,0.006081057091554004,0.123,video_id,1000,20260923
attachment2_valid_728,full_robust_student,old_distilled_3seed,selection_score,0.010912353468248148,-0.015188097370560202,0.038590032980317594,0.778,video_id,1000,20260923
attachment2_valid_728,full_robust_student,old_distilled_3seed,clean_Macro_F1,0.00995371853161231,-0.022021722967507113,0.04211811924661817,0.72,video_id,1000,20260923
attachment2_valid_728,full_robust_student,old_distilled_3seed,clean_MAE,-0.03425222635269165,-0.06124145984649658,-0.007022579014301304,0.004,video_id,1000,20260923
attachment2_valid_728,full_robust_student,old_distilled_3seed,contiguous_30pct_mean_Macro_F1,0.0175498974308701,-0.007560468302778778,0.04431930848134949,0.903,video_id,1000,20260923
attachment2_valid_728,full_robust_student,old_distilled_3seed,contiguous_30pct_mean_MAE,-0.0345989465713501,-0.056680626571178394,-0.010924029350280787,0.002,video_id,1000,20260923
attachment2_valid_728,full_robust_student,old_distilled_3seed,scattered_TAV_mean_Macro_F1,-0.004342928352106035,-0.03004307980861657,0.020767861802937524,0.371,video_id,1000,20260923
attachment2_valid_728,full_robust_student,old_distilled_3seed,scattered_TAV_mean_MAE,-0.018690596024195316,-0.03889262601733204,0.0016631511350472695,0.037,video_id,1000,20260923
attachment2_valid_728,full_robust_student,full_clean_teacher,selection_score,0.013657442954752907,-0.012676205992408601,0.03854567694866263,0.835,video_id,1000,20260923
attachment2_valid_728,full_robust_student,full_clean_teacher,clean_Macro_F1,0.007957594220352693,-0.024856177762602773,0.03748103299835106,0.683,video_id,1000,20260923
attachment2_valid_728,full_robust_student,full_clean_teacher,clean_MAE,-0.007863461971282959,-0.03341280966997147,0.016541141271591186,0.27,video_id,1000,20260923
attachment2_valid_728,full_robust_student,full_clean_teacher,contiguous_30pct_mean_Macro_F1,0.027809510619034805,0.0027141211899382655,0.053321539382154406,0.983,video_id,1000,20260923
attachment2_valid_728,full_robust_student,full_clean_teacher,contiguous_30pct_mean_MAE,-0.02107030153274536,-0.042795437872409775,0.001319850236177442,0.034,video_id,1000,20260923
attachment2_valid_728,full_robust_student,full_clean_teacher,scattered_TAV_mean_Macro_F1,0.0030842899633513055,-0.021953539753348156,0.02679587201944515,0.581,video_id,1000,20260923
attachment2_valid_728,full_robust_student,full_clean_teacher,scattered_TAV_mean_MAE,-0.008653918902079227,-0.03021868715683623,0.012557513515154554,0.219,video_id,1000,20260923
new_full_valid_1143,full_clean_teacher,old_distilled_3seed,selection_score,0.014172731842658881,-0.004040801523689033,0.03165588163695258,0.933,video_id,1000,20260923
new_full_valid_1143,full_clean_teacher,old_distilled_3seed,clean_Macro_F1,0.019352826061982298,-0.0033634467091578635,0.042024396980222645,0.943,video_id,1000,20260923
new_full_valid_1143,full_clean_teacher,old_distilled_3seed,clean_MAE,-0.009307920932769775,-0.02628854364156723,0.007067276537418364,0.156,video_id,1000,20260923
new_full_valid_1143,full_clean_teacher,old_distilled_3seed,contiguous_30pct_mean_Macro_F1,0.008858023278907057,-0.007828904592380188,0.025472760414710967,0.837,video_id,1000,20260923
new_full_valid_1143,full_clean_teacher,old_distilled_3seed,contiguous_30pct_mean_MAE,-0.0039031505584716797,-0.020893504321575166,0.011350735723972336,0.339,video_id,1000,20260923
new_full_valid_1143,full_clean_teacher,old_distilled_3seed,scattered_TAV_mean_Macro_F1,0.010650181819690907,-0.0049588964772179275,0.026572419128617266,0.915,video_id,1000,20260923
new_full_valid_1143,full_clean_teacher,old_distilled_3seed,scattered_TAV_mean_MAE,-0.002990951140721676,-0.016760102659463847,0.010261234889427852,0.348,video_id,1000,20260923
new_full_valid_1143,full_robust_student,old_distilled_3seed,selection_score,0.016141207821912973,-0.0042686697409359655,0.03623316570164556,0.942,video_id,1000,20260923
new_full_valid_1143,full_robust_student,old_distilled_3seed,clean_Macro_F1,0.012963404639270149,-0.01189896523809544,0.03799721896957357,0.848,video_id,1000,20260923
new_full_valid_1143,full_robust_student,old_distilled_3seed,clean_MAE,-0.02382504940032959,-0.046446920931339265,2.746284008024547e-06,0.026,video_id,1000,20260923
new_full_valid_1143,full_robust_student,old_distilled_3seed,contiguous_30pct_mean_Macro_F1,0.010664827749383488,-0.010514190853115035,0.029722526200259124,0.851,video_id,1000,20260923
new_full_valid_1143,full_robust_student,old_distilled_3seed,contiguous_30pct_mean_MAE,-0.027834606170654252,-0.04885616868734364,-0.005649559199810074,0.002,video_id,1000,20260923
new_full_valid_1143,full_robust_student,old_distilled_3seed,scattered_TAV_mean_Macro_F1,0.01706625573068632,-0.001114048155352673,0.03569555091091787,0.965,video_id,1000,20260923
new_full_valid_1143,full_robust_student,old_distilled_3seed,scattered_TAV_mean_MAE,-0.028282692035039303,-0.0470654596885045,-0.009321628262599312,0.001,video_id,1000,20260923
new_full_valid_1143,full_robust_student,full_clean_teacher,selection_score,0.001968475979254092,-0.01798185432659392,0.021865282897056484,0.589,video_id,1000,20260923
new_full_valid_1143,full_robust_student,full_clean_teacher,clean_Macro_F1,-0.006389421422712149,-0.028727673299697633,0.01829175083047137,0.308,video_id,1000,20260923
new_full_valid_1143,full_robust_student,full_clean_teacher,clean_MAE,-0.014517128467559814,-0.03549182713031769,0.007864645123481746,0.096,video_id,1000,20260923
new_full_valid_1143,full_robust_student,full_clean_teacher,contiguous_30pct_mean_Macro_F1,0.0018068044704764308,-0.015910428151564338,0.02178989178367597,0.579,video_id,1000,20260923
new_full_valid_1143,full_robust_student,full_clean_teacher,contiguous_30pct_mean_MAE,-0.023931455612182573,-0.04300806701183313,-0.004400718212127646,0.008,video_id,1000,20260923
new_full_valid_1143,full_robust_student,full_clean_teacher,scattered_TAV_mean_Macro_F1,0.006416073910995412,-0.012224362965633501,0.02423714111291554,0.766,video_id,1000,20260923
new_full_valid_1143,full_robust_student,full_clean_teacher,scattered_TAV_mean_MAE,-0.025291740894317627,-0.046077919503052955,-0.004829436540603684,0.011,video_id,1000,20260923
