样本编号,原始视频相对路径,原始文件SHA256,文件字节数,容器时长_秒,OpenCV视频时长估计_秒,音频解码时长_秒,问题一有效时长_秒,问题一清单时长_秒,有效时长差_秒,原始视频帧率,原始视频帧数,有效时长内10fps帧数,视频宽,视频高,原始音频编码,原始音频采样率_Hz,原始音频声道数,解码采样率_Hz,解码音频采样点数,波形RMS,波形峰值,波形有效起点_秒,波形有效终点_秒,NPZ是否存在,词数,NPZ音频帧数,NPZ视频帧数,首词起点_秒,末词终点_秒,词区间均在原始时长内,NPZ音频统计与原始波形一致,核验状态
-3g5yACwYnA__13,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,1052449,8.767,8.7,5.399125,5.399125,5.3991,-2.5e-05,30.0,261,54,1280,720,aac,44100,2,16000,86386,0.0116231487,0.143091619,0.0,5.39,True,15,540,87,1.4451189041137695,4.877276420593262,True,True,通过
-3g5yACwYnA__3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,2322206,19.273,19.266667,14.327875,14.327875,14.3279,2.5e-05,30.0,578,144,1280,720,aac,44100,2,16000,229246,0.0134731075,0.1528912038,0.0,14.32,True,29,1433,193,0.6003299355506897,12.947115898132324,True,True,通过
-3g5yACwYnA__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,1752558,14.234,14.133333,9.231312,9.231312,9.2313,-1.3e-05,30.0,424,93,1280,720,aac,44100,2,16000,147701,0.0176211359,0.1554868519,0.0,9.23,True,14,924,142,1.862282156944275,7.689423561096191,True,True,通过
-3g5yACwYnA__9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,1938491,16.234,16.2,8.696125,8.696125,8.6961,-2.5e-05,30.0,486,87,1280,720,aac,44100,2,16000,139138,0.0154202622,0.2014464438,0.0,8.69,True,23,870,162,0.8014861345291138,8.495753288269043,True,True,通过
-3nNcZdcdvU__5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,336985,10.937,10.933333,7.788563,7.788563,7.7886,3.7e-05,30.0,328,78,320,240,aac,44100,1,16000,124617,0.038188848,0.3519861698,0.0,7.78,True,18,779,110,0.5606163740158081,7.247968673706055,True,True,通过
-HwX2H8Z4hY__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,958873,8.151,8.133333,3.915812,3.915812,3.9158,-1.2e-05,30.0,244,40,1280,720,aac,44100,2,16000,62653,0.0681273193,0.9236168861,0.0,3.91,True,7,392,82,0.0,3.674999952316284,True,True,通过
-HwX2H8Z4hY__5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,1617346,11.467,11.433333,5.544062,5.544062,5.5441,3.8e-05,30.0,343,56,1280,720,aac,44100,2,16000,88705,0.1280652488,0.7359235287,0.0,5.54,True,9,555,115,0.8034873008728027,5.102144241333008,True,True,通过
-HwX2H8Z4hY__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,978678,6.767,6.733333,3.256,3.256,3.256,0.0,30.0,202,33,1280,720,aac,44100,2,16000,52096,0.1063878622,1.2946727276,0.0,3.25,True,7,326,68,0.5627654790878296,2.83392596244812,True,True,通过
-HwX2H8Z4hY__9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,981914,11.434,11.433333,7.636312,7.636312,7.6363,-1.2e-05,30.0,343,77,1280,720,aac,44100,2,16000,122181,0.0501608556,0.2570024729,0.0,7.63,True,22,764,115,0.5611988306045532,7.115199089050293,True,True,通过
-NFrJFQijFE__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,1024510,9.12,9.08,5.658875,5.658875,5.6589,2.5e-05,25.0,227,57,1280,720,aac,44100,2,16000,90542,0.035510223,0.1557629108,0.0,5.65,True,16,566,91,0.0,5.658874988555908,True,True,通过
