word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,I,0,1,0.0401,0.0602,wav2vec2_ctc_forced_alignment,-0.57619,1,2,0,0,True,182,79,214,237,-0.24337,0,True,True,True,0.1
1,think,2,7,0.1604,0.381,wav2vec2_ctc_forced_alignment,-0.57619,1,22,2,2,True,182,80,215,238,-0.00044,2,True,False,True,0.3
2,social,8,14,1.2031,1.4437,wav2vec2_ctc_forced_alignment,-0.57619,1,24,2,2,True,182,67,214,239,-0.0235,2,True,False,True,1.3
3,justice,15,22,1.5039,1.7846,wav2vec2_ctc_forced_alignment,-0.57619,1,28,2,2,True,179,63,215,238,-0.02458,2,True,False,True,1.6
4,is,23,25,1.8648,1.9049,wav2vec2_ctc_forced_alignment,-0.57619,1,4,1,1,True,182,71,202,221,-0.00053,1,True,False,True,1.9
5,extremely,26,35,1.9851,2.3661,wav2vec2_ctc_forced_alignment,-0.57619,1,38,4,4,True,180,60,209,225,-0.02045,4,True,False,True,2.2
6,important,36,45,2.4262,2.7872,wav2vec2_ctc_forced_alignment,-0.57619,1,36,3,3,True,181,63,209,242,-6e-05,3,True,False,True,2.6
7,for,46,49,2.8674,2.9877,wav2vec2_ctc_forced_alignment,-0.57619,1,12,1,1,True,177,68,211,241,-0.00075,1,True,False,True,2.9
8,young,50,55,3.0879,3.2483,wav2vec2_ctc_forced_alignment,-0.57619,1,16,2,2,True,177,65,211,237,-0.0007,2,True,False,True,3.2
9,people,56,62,3.3286,3.7095,wav2vec2_ctc_forced_alignment,-0.57619,1,38,4,4,True,174,63,213,241,-2.73521,4,True,False,True,3.5
