word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,And,0,3,0.5614,0.6215,wav2vec2_ctc_forced_alignment,-0.04668,1,6,1,1,True,525,155,221,221,-0.00123,1,False,False,True,0.6
1,because,4,11,0.6616,0.9223,wav2vec2_ctc_forced_alignment,-0.04668,1,26,3,3,True,522,155,227,227,-0.00011,3,False,False,True,0.8
2,they,12,16,0.9624,1.0626,wav2vec2_ctc_forced_alignment,-0.04668,1,10,1,1,True,513,156,227,227,-0.00902,1,False,False,True,1.0
3,couldn’t,17,25,1.1027,1.3232,wav2vec2_ctc_forced_alignment,-0.04668,3,22,2,2,True,501,153,242,242,-0.06405,2,False,False,True,1.2
4,join,26,30,1.3633,1.5237,wav2vec2_ctc_forced_alignment,-0.04668,1,16,2,2,True,501,155,245,245,-0.0626,2,False,False,True,1.4
5,unions,31,37,1.6841,2.0049,wav2vec2_ctc_forced_alignment,-0.04668,1,32,4,4,True,517,167,216,216,-0.10468,4,False,False,True,1.8
6,many,39,43,2.1653,2.3257,wav2vec2_ctc_forced_alignment,-0.04668,1,16,2,2,True,506,163,229,229,-0.00036,2,False,False,True,2.2
7,Black,44,49,2.3658,2.5462,wav2vec2_ctc_forced_alignment,-0.04668,1,18,2,2,True,508,162,232,232,-0.09907,2,False,False,True,2.5
8,workers,50,57,2.6064,2.8871,wav2vec2_ctc_forced_alignment,-0.04668,1,28,2,2,True,526,162,223,223,-0.01789,2,False,False,True,2.7
9,couldn’t,58,66,2.9673,3.2078,wav2vec2_ctc_forced_alignment,-0.04668,3,24,3,3,True,519,160,231,231,-0.08402,3,False,False,True,3.1
10,get,67,70,3.2479,3.3482,wav2vec2_ctc_forced_alignment,-0.04668,1,10,1,1,True,520,161,230,230,-0.16897,1,False,False,True,3.3
11,manufacturing,71,84,3.4083,4.0098,wav2vec2_ctc_forced_alignment,-0.04668,1,60,6,6,True,524,158,228,228,-0.00747,6,False,False,True,3.7
12,or,85,87,4.0499,4.11,wav2vec2_ctc_forced_alignment,-0.04668,1,7,1,1,True,518,150,239,239,-0.00195,1,False,False,True,4.1
13,trade,88,93,4.1702,4.3707,wav2vec2_ctc_forced_alignment,-0.04668,1,20,2,2,True,532,160,222,222,-0.03205,2,False,False,True,4.3
14,work,94,98,4.4108,4.5511,wav2vec2_ctc_forced_alignment,-0.04668,1,14,1,1,True,573,178,154,205,-0.07417,1,True,False,True,4.5
15,which,101,106,4.6714,4.7917,wav2vec2_ctc_forced_alignment,-0.04668,1,12,1,1,True,529,154,236,236,-0.00097,1,False,False,True,4.7
16,paid,107,111,4.8719,5.0724,wav2vec2_ctc_forced_alignment,-0.04668,1,20,2,2,True,530,157,239,239,-0.08299,2,False,False,True,5.0
17,much,112,116,5.1726,5.313,wav2vec2_ctc_forced_alignment,-0.04668,1,14,2,2,True,536,152,242,242,-3e-05,2,False,False,True,5.2
18,better,117,123,5.3932,5.5937,wav2vec2_ctc_forced_alignment,-0.04668,1,20,2,2,True,538,156,238,238,-0.0099,2,False,False,True,5.5
19,than,124,128,5.6338,5.734,wav2vec2_ctc_forced_alignment,-0.04668,1,10,1,1,True,533,154,242,242,-0.02432,1,False,False,True,5.7
20,service,129,136,5.7942,6.0748,wav2vec2_ctc_forced_alignment,-0.04668,1,28,3,3,True,526,139,261,261,-0.09005,3,False,False,True,5.9
21,work,137,141,6.1149,6.2352,wav2vec2_ctc_forced_alignment,-0.04668,1,12,1,1,True,530,139,258,258,-0.02027,1,False,False,True,6.2
