word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,If,0,2,0.5207,0.5807,wav2vec2_ctc_forced_alignment,-0.29799,1,7,1,1,True,135,59,101,101,0.5
1,it,3,5,0.6608,0.7009,wav2vec2_ctc_forced_alignment,-0.29799,1,5,1,1,True,135,59,101,101,0.5
2,falls,6,11,0.761,1.0013,wav2vec2_ctc_forced_alignment,-0.29799,1,25,1,1,True,126,60,106,106,1.0
3,into,12,16,1.0814,1.2616,wav2vec2_ctc_forced_alignment,-0.29799,1,19,2,2,True,126,60,106,106,1.0
4,oh,17,19,1.3617,1.4418,wav2vec2_ctc_forced_alignment,-0.29799,1,9,1,1,True,128,61,102,102,1.5
5,any,20,23,1.6421,1.7422,wav2vec2_ctc_forced_alignment,-0.29799,1,11,1,1,True,128,61,102,102,1.5
6,of,24,26,1.8023,1.8424,wav2vec2_ctc_forced_alignment,-0.29799,1,5,1,1,True,129,57,107,107,2.0
7,those,27,32,1.9024,2.0626,wav2vec2_ctc_forced_alignment,-0.29799,1,17,1,1,True,129,57,107,107,2.0
8,three,33,38,2.1227,2.2829,wav2vec2_ctc_forced_alignment,-0.29799,1,17,2,2,True,129,57,107,107,2.0
9,categories,39,49,2.323,2.8837,wav2vec2_ctc_forced_alignment,-0.29799,1,57,2,2,True,131,56,107,107,2.5
10,inducing,51,59,3.6447,4.2054,wav2vec2_ctc_forced_alignment,-0.29799,1,58,2,2,True,132,61,102,102,4.0
11,nausea,60,66,5.0665,5.3869,wav2vec2_ctc_forced_alignment,-0.29799,1,33,2,2,True,137,61,102,102,5.0
12,and,67,70,5.467,5.5471,wav2vec2_ctc_forced_alignment,-0.29799,1,9,1,1,True,140,64,102,102,5.5
13,vomiting,71,79,5.6072,6.0077,wav2vec2_ctc_forced_alignment,-0.29799,1,41,2,2,True,144,67,106,106,6.0
14,would,80,85,6.248,6.3882,wav2vec2_ctc_forced_alignment,-0.29799,1,15,2,2,True,151,73,103,103,6.5
15,be,86,88,6.4082,6.4683,wav2vec2_ctc_forced_alignment,-0.29799,1,7,1,1,True,151,73,103,103,6.5
16,your,89,93,6.5083,6.6285,wav2vec2_ctc_forced_alignment,-0.29799,1,13,1,1,True,151,73,103,103,6.5
17,next,94,98,6.6485,6.8087,wav2vec2_ctc_forced_alignment,-0.29799,1,17,2,2,True,151,73,103,103,6.5
18,step,99,103,6.8287,7.049,wav2vec2_ctc_forced_alignment,-0.29799,1,23,1,1,True,157,75,102,102,7.0
