word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,You're,0,6,0.0,0.1202,wav2vec2_ctc_forced_alignment,-0.63771,3,13,2,2,True,276,104,103,133,-6.67872,2,True,False,True,0.1
1,going,7,12,0.5811,0.7013,wav2vec2_ctc_forced_alignment,-0.63771,1,12,2,2,True,273,94,102,128,-4.64668,2,True,False,True,0.6
2,to,13,15,0.7414,0.7815,wav2vec2_ctc_forced_alignment,-0.63771,1,4,0,0,True,272,90,100,131,-0.34328,0,True,True,True,0.8
3,talk,16,20,0.8416,1.062,wav2vec2_ctc_forced_alignment,-0.63771,1,22,2,2,True,271,91,100,129,-0.00228,2,True,False,True,1.0
4,about,21,26,1.1822,1.5429,wav2vec2_ctc_forced_alignment,-0.63771,1,36,4,4,True,272,95,101,127,-0.00059,4,True,False,True,1.4
5,their,27,32,1.8635,2.0639,wav2vec2_ctc_forced_alignment,-0.63771,1,20,2,2,True,277,96,100,120,-0.00728,2,True,False,True,2.0
6,life,33,37,2.2042,2.5849,wav2vec2_ctc_forced_alignment,-0.63771,1,38,3,3,True,271,99,104,132,-0.13707,3,True,False,True,2.4
7,their,39,44,2.9456,3.1459,wav2vec2_ctc_forced_alignment,-0.63771,1,20,2,2,True,272,98,98,124,-0.00692,2,True,False,True,3.0
8,marriage,45,53,3.2461,3.7671,wav2vec2_ctc_forced_alignment,-0.63771,1,52,5,5,True,275,100,102,130,-0.01479,5,True,False,True,3.5
9,and,54,57,4.769,4.8291,wav2vec2_ctc_forced_alignment,-0.63771,1,6,1,1,True,286,98,112,119,-3.7624,1,True,False,True,4.8
10,usually,58,65,5.0095,5.4904,wav2vec2_ctc_forced_alignment,-0.63771,1,49,4,4,True,285,91,102,121,-0.03501,4,True,False,True,5.2
11,how,66,69,5.6106,5.7509,wav2vec2_ctc_forced_alignment,-0.63771,1,14,1,1,True,284,101,102,124,-0.00037,1,True,False,True,5.7
12,amazing,70,77,5.9112,6.4121,wav2vec2_ctc_forced_alignment,-0.63771,1,50,5,5,True,276,97,110,127,-0.04294,5,True,False,True,6.2
13,it,78,80,6.4923,6.5323,wav2vec2_ctc_forced_alignment,-0.63771,1,4,1,1,True,278,102,105,129,-0.00019,1,True,False,True,6.5
14,is,81,83,6.6726,6.7327,wav2vec2_ctc_forced_alignment,-0.63771,1,6,1,1,True,274,101,107,130,-0.03129,1,True,False,True,6.7
15,that,84,88,6.8329,6.9531,wav2vec2_ctc_forced_alignment,-0.63771,1,12,1,1,True,273,100,109,134,-0.15781,1,True,False,True,6.9
16,they've,89,96,6.9732,7.1735,wav2vec2_ctc_forced_alignment,-0.63771,3,20,2,2,True,277,101,105,129,-0.00838,2,True,False,True,7.1
17,stayed,97,103,7.2136,7.4741,wav2vec2_ctc_forced_alignment,-0.63771,1,26,2,2,True,275,101,108,131,-0.04378,2,True,False,True,7.3
18,together,104,112,7.5342,7.8949,wav2vec2_ctc_forced_alignment,-0.63771,1,36,3,3,True,279,103,102,127,-0.00027,3,True,False,True,7.7
19,this,113,117,7.9751,8.1153,wav2vec2_ctc_forced_alignment,-0.63771,1,14,2,2,True,277,102,105,128,-0.02323,2,True,False,True,8.0
20,long,118,122,8.2355,8.496,wav2vec2_ctc_forced_alignment,-0.63771,1,26,2,2,True,277,104,105,131,-0.00315,2,True,False,True,8.4
