对齐位置_k,词语,开始_秒,结束_秒,帧数,原始_MFCC1,原始_RMS,标准化_MFCC1,标准化_RMS
1,Omi,0.160213,0.680904,52,-10.3749857,0.15057236,0.0778695789,0.091662041
2,and,0.740983,0.801063,6,-5.562778,0.294232845,0.550590475,1.4123225
3,Winant,0.821090,1.061409,24,-5.70851278,0.158118561,0.536274409,0.161033724
4,argue,1.141515,1.321754,18,-9.56441307,0.166838989,0.157495115,0.241199986
5,that,1.361808,1.441914,8,-6.15334415,0.169658229,0.492576985,0.267117057
6,the,1.461940,1.542047,8,-14.5987072,0.0857464299,-0.337042149,-0.504278044
7,concept,1.582100,1.902525,32,-9.786479,0.143627003,0.135680761,0.0278138788
8,of,1.962605,2.002658,4,-10.4821014,0.149123669,0.0673472045,0.0783443304
9,race,2.062738,2.242977,18,-5.55839777,0.119352065,0.55102076,-0.195343869
10,came,2.323083,2.463269,14,-8.60385895,0.152217045,0.251853886,0.106781519
11,about,2.523349,2.683562,16,-5.28715944,0.224782228,0.577665501,0.773868
12,as,2.743642,2.783695,4,-20.5984802,0.0219066963,-0.926421963,-1.0911521
13,a,2.843775,2.863801,2,-31.6891479,0.0195012018,-2.01589912,-1.11326564
14,tool,2.923881,3.124147,20,-17.2570438,0.170706391,-0.598180354,0.276752739
15,to,3.204253,3.264333,6,-15.4538422,0.0566383004,-0.421045208,-0.771866973
16,justify,3.324413,3.764997,44,-7.64801979,0.161869347,0.345749489,0.195514431
17,and,3.885157,3.965263,8,-18.1771851,0.106663145,-0.688569216,-0.311992193
18,maintain,4.005316,4.405848,40,-8.02515888,0.15071848,0.308701726,0.0930053189
19,the,4.546034,4.626140,8,-16.4501915,0.108727813,-0.518920275,-0.293011852
20,economic,4.706247,5.066725,36,-7.6739707,0.169692516,0.343200235,0.26743226
21,and,5.146832,5.206911,6,-23.3490238,0.0740263388,-1.196618,-0.612019994
22,political,5.246964,5.607443,36,-18.6308002,0.0961936265,-0.733129508,-0.40823772
23,power,5.667522,5.947895,28,-4.73771572,0.240749002,0.631639382,0.920649391
24,held,6.048028,6.228267,18,-5.84063721,0.181441367,0.52329534,0.375438592
25,by,6.288347,6.348426,6,-2.08274531,0.182248875,0.892446909,0.382861962
26,those,6.388479,6.548692,16,-8.39604568,0.127253309,0.272268149,-0.122708306
27,of,6.608772,6.648825,4,-21.6152534,0.0597172305,-1.02630334,-0.743562591
28,European,6.708905,7.069383,36,-14.9809313,0.0816707537,-0.374589429,-0.54174544
29,descent,7.129463,7.770314,65,-8.05436611,0.154159516,0.305832592,0.124638512
