word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Make,0,4,0.5017,0.6422,wav2vec2_ctc_forced_alignment,-0.14715,1,14,1,1,True,227,27,83,105,-0.41063,1,True,False,True,0.6
1,sure,5,9,0.7024,0.863,wav2vec2_ctc_forced_alignment,-0.14715,1,16,1,1,True,225,28,84,103,-0.06717,1,True,False,True,0.8
2,that,10,14,0.9031,1.0035,wav2vec2_ctc_forced_alignment,-0.14715,1,10,1,1,True,225,28,85,104,-0.00068,1,True,False,True,1.0
3,your,15,19,1.0436,1.1841,wav2vec2_ctc_forced_alignment,-0.14715,1,14,1,1,True,224,28,84,104,-0.00428,1,True,False,True,1.1
4,using,20,25,1.3045,1.5052,wav2vec2_ctc_forced_alignment,-0.14715,1,20,2,2,True,221,30,84,100,-0.00858,2,True,False,True,1.4
5,comps,26,31,1.5654,1.8865,wav2vec2_ctc_forced_alignment,-0.14715,2,32,3,3,True,219,26,87,106,-0.04414,3,True,False,True,1.7
6,that,32,36,1.9266,2.027,wav2vec2_ctc_forced_alignment,-0.14715,1,10,1,1,True,223,27,86,102,-0.00508,1,True,False,True,2.0
7,are,37,40,2.1073,2.1875,wav2vec2_ctc_forced_alignment,-0.14715,1,8,0,0,True,224,27,86,103,-0.02994,0,True,True,True,2.1
8,not,41,44,2.2076,2.328,wav2vec2_ctc_forced_alignment,-0.14715,1,12,1,1,True,223,32,87,103,-1.95998,1,True,False,True,2.3
9,larger,45,51,2.4083,2.7896,wav2vec2_ctc_forced_alignment,-0.14715,1,38,3,3,True,220,39,87,102,-0.02856,3,True,False,True,2.6
10,no,53,55,3.2312,3.3315,wav2vec2_ctc_forced_alignment,-0.14715,1,10,1,1,True,220,31,87,105,-0.07667,1,True,False,True,3.3
11,larger,56,62,3.3917,3.6927,wav2vec2_ctc_forced_alignment,-0.14715,1,30,3,3,True,225,25,86,106,-0.01282,3,True,False,True,3.5
12,than,63,67,3.753,3.8533,wav2vec2_ctc_forced_alignment,-0.14715,1,10,1,1,True,226,23,85,103,-0.00096,1,True,False,True,3.8
13,twelve,68,74,3.9536,4.1744,wav2vec2_ctc_forced_alignment,-0.14715,1,22,2,2,True,222,26,84,102,-0.12012,2,True,False,True,4.1
14,hundred,75,82,4.1945,4.3952,wav2vec2_ctc_forced_alignment,-0.14715,1,20,2,2,True,219,26,86,102,-0.0096,2,True,False,True,4.3
15,square,83,89,4.4353,4.636,wav2vec2_ctc_forced_alignment,-0.14715,1,20,2,2,True,223,25,84,102,-0.02952,2,True,False,True,4.5
16,feet,90,94,4.6761,4.8367,wav2vec2_ctc_forced_alignment,-0.14715,1,16,2,2,True,222,27,85,101,-0.01814,2,True,False,True,4.8
