word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,What,0,4,0.0,1.7607,wav2vec2_ctc_forced_alignment,-0.18577,1,177,18,18,True,169,59,210,229,-5.69712,18,True,False,True,0.9
1,ever,5,9,1.8207,1.9407,wav2vec2_ctc_forced_alignment,-0.18577,1,12,1,1,True,180,59,201,222,-7e-05,1,True,False,True,1.9
2,we,10,12,2.0008,2.0608,wav2vec2_ctc_forced_alignment,-0.18577,1,6,0,0,True,175,60,208,225,-7e-05,0,True,True,True,2.0
3,turn,13,17,2.1408,2.3009,wav2vec2_ctc_forced_alignment,-0.18577,1,16,2,2,True,176,69,203,221,-0.01218,2,True,False,True,2.2
4,our,18,21,2.3609,2.4409,wav2vec2_ctc_forced_alignment,-0.18577,1,8,1,1,True,179,60,202,228,-0.00018,1,True,False,True,2.4
5,attention,22,31,2.4809,2.8411,wav2vec2_ctc_forced_alignment,-0.18577,1,36,4,4,True,179,61,204,223,-0.03438,4,True,False,True,2.7
6,to,32,34,2.9211,3.0612,wav2vec2_ctc_forced_alignment,-0.18577,1,14,1,1,True,184,62,203,220,-0.00449,1,True,False,True,3.0
7,is,35,37,3.2612,3.3012,wav2vec2_ctc_forced_alignment,-0.18577,1,4,1,1,True,181,60,202,228,-0.00044,1,True,False,True,3.3
8,what,38,42,3.3613,3.4613,wav2vec2_ctc_forced_alignment,-0.18577,1,10,1,1,True,182,62,202,223,-0.00029,1,True,False,True,3.4
9,grows,43,48,3.5213,3.8615,wav2vec2_ctc_forced_alignment,-0.18577,1,34,3,3,True,182,60,204,224,-0.05188,3,True,False,True,3.7
10,and,49,52,4.3616,4.4417,wav2vec2_ctc_forced_alignment,-0.18577,1,8,1,1,True,174,59,206,219,-0.01226,1,True,False,True,4.4
11,so,53,55,4.5417,4.6417,wav2vec2_ctc_forced_alignment,-0.18577,1,10,1,1,True,172,61,203,222,-3e-05,1,True,False,True,4.6
12,if,56,58,4.7418,4.7818,wav2vec2_ctc_forced_alignment,-0.18577,1,4,0,0,True,173,58,204,224,-9e-05,0,True,True,True,4.8
13,we,59,61,4.8618,4.9619,wav2vec2_ctc_forced_alignment,-0.18577,1,10,1,1,True,173,58,205,225,-0.00011,1,True,False,True,4.9
14,believe,62,69,5.0619,5.5221,wav2vec2_ctc_forced_alignment,-0.18577,1,46,5,5,True,156,64,216,226,-0.05105,5,True,False,True,5.3
15,that,70,74,5.6421,5.7622,wav2vec2_ctc_forced_alignment,-0.18577,1,12,1,1,True,157,65,206,247,-0.02704,1,True,False,True,5.7
16,anything,75,83,5.8422,6.1223,wav2vec2_ctc_forced_alignment,-0.18577,1,28,3,3,True,158,71,208,233,-0.02131,3,True,False,True,6.0
17,is,84,86,6.1823,6.2423,wav2vec2_ctc_forced_alignment,-0.18577,1,6,1,1,True,156,63,205,233,-0.03021,1,True,False,True,6.2
18,possible,87,95,6.3024,6.7025,wav2vec2_ctc_forced_alignment,-0.18577,1,40,4,4,True,154,60,203,222,-0.00339,4,True,False,True,6.5
19,if,97,99,6.7625,6.8026,wav2vec2_ctc_forced_alignment,-0.18577,1,4,1,1,True,161,59,199,221,-0.00033,1,True,False,True,6.8
20,we,100,102,6.9026,7.0426,wav2vec2_ctc_forced_alignment,-0.18577,1,14,1,1,True,171,57,199,225,-3e-05,1,True,False,True,7.0
21,believe,103,110,7.5628,8.103,wav2vec2_ctc_forced_alignment,-0.18577,1,54,6,6,True,180,73,203,218,-0.02487,6,True,False,True,7.8
22,that,111,115,8.5432,8.8033,wav2vec2_ctc_forced_alignment,-0.18577,1,26,3,3,True,165,61,208,223,-0.00169,3,True,False,True,8.7
23,social,116,122,9.4636,9.7036,wav2vec2_ctc_forced_alignment,-0.18577,1,24,3,3,True,177,67,195,221,-0.00314,3,True,False,True,9.6
24,justice,123,130,9.7837,10.1238,wav2vec2_ctc_forced_alignment,-0.18577,1,34,4,4,True,177,59,202,232,-0.04562,4,True,False,True,10.0
25,can,131,134,10.1838,10.3239,wav2vec2_ctc_forced_alignment,-0.18577,1,14,2,2,True,177,59,205,228,-0.09866,2,True,False,True,10.3
26,be,135,137,10.4239,10.5039,wav2vec2_ctc_forced_alignment,-0.18577,1,8,1,1,True,174,55,207,241,-0.13065,1,True,False,True,10.5
27,achieved,138,146,10.564,10.9441,wav2vec2_ctc_forced_alignment,-0.18577,1,38,4,4,True,172,58,212,240,-0.04495,4,True,False,True,10.8
28,and,147,150,10.9841,11.0642,wav2vec2_ctc_forced_alignment,-0.18577,1,8,1,1,True,174,59,211,229,-0.02822,1,True,False,True,11.0
29,if,151,153,11.0842,11.1242,wav2vec2_ctc_forced_alignment,-0.18577,1,4,1,1,True,173,62,214,236,-0.00041,1,True,False,True,11.1
30,we,154,156,11.1842,11.2442,wav2vec2_ctc_forced_alignment,-0.18577,1,6,1,1,True,175,54,214,235,-4e-05,1,True,False,True,11.2
31,believe,157,164,11.3243,11.7844,wav2vec2_ctc_forced_alignment,-0.18577,1,46,4,4,True,178,75,209,228,-0.0129,4,True,False,True,11.6
32,in,165,167,11.9445,12.0045,wav2vec2_ctc_forced_alignment,-0.18577,1,6,1,1,True,171,54,208,225,-0.00279,1,True,False,True,12.0
33,youth,168,173,12.1045,12.3847,wav2vec2_ctc_forced_alignment,-0.18577,1,28,2,2,True,166,44,208,228,-0.07057,2,True,False,True,12.2
34,they,175,179,13.1049,13.205,wav2vec2_ctc_forced_alignment,-0.18577,1,10,1,1,True,174,58,205,223,-0.0023,1,True,False,True,13.2
35,will,180,184,13.245,13.365,wav2vec2_ctc_forced_alignment,-0.18577,1,12,1,1,True,175,59,204,225,-0.05569,1,True,False,True,13.3
36,believe,185,192,13.385,13.5651,wav2vec2_ctc_forced_alignment,-0.18577,1,18,2,2,True,171,57,203,229,-0.00083,2,True,False,True,13.5
37,in,193,195,13.6051,13.6451,wav2vec2_ctc_forced_alignment,-0.18577,1,4,0,0,True,168,58,200,224,-0.00549,0,True,True,True,13.6
38,themselves,196,206,13.6851,14.1253,wav2vec2_ctc_forced_alignment,-0.18577,1,44,5,5,True,166,56,203,226,-0.04122,5,True,False,True,13.9
