word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Which,0,5,0.5418,0.6622,wav2vec2_ctc_forced_alignment,-0.03448,1,12,1,1,True,529,150,227,227,-6e-05,1,False,False,True,0.6
1,then,6,10,0.7224,0.8427,wav2vec2_ctc_forced_alignment,-0.03448,1,12,1,1,True,523,157,228,228,-0.04151,1,False,False,True,0.8
2,allowed,11,18,0.9431,1.1437,wav2vec2_ctc_forced_alignment,-0.03448,1,20,2,2,True,521,161,227,227,-0.00011,2,False,False,True,1.0
3,the,19,22,1.1839,1.2641,wav2vec2_ctc_forced_alignment,-0.03448,1,8,1,1,True,524,158,229,229,-0.02327,1,False,False,True,1.2
4,white,23,28,1.2842,1.4447,wav2vec2_ctc_forced_alignment,-0.03448,1,16,2,2,True,527,158,224,224,-0.05893,2,False,False,True,1.4
5,workers,29,36,1.4848,1.7658,wav2vec2_ctc_forced_alignment,-0.03448,1,28,3,3,True,522,146,229,229,-0.00122,3,False,False,True,1.6
6,and,37,40,1.8059,1.8661,wav2vec2_ctc_forced_alignment,-0.03448,1,6,0,0,True,514,136,245,245,-0.25135,0,False,True,True,1.8
7,unions,41,47,1.9463,2.2072,wav2vec2_ctc_forced_alignment,-0.03448,1,26,3,3,True,514,136,251,251,-0.06322,3,False,False,True,2.1
8,to,48,50,2.2473,2.3276,wav2vec2_ctc_forced_alignment,-0.03448,1,8,1,1,True,531,149,232,232,-2e-05,1,False,False,True,2.3
9,justify,51,58,2.4078,2.8092,wav2vec2_ctc_forced_alignment,-0.03448,1,40,4,4,True,539,165,222,222,-0.04244,4,False,False,True,2.6
10,their,59,64,2.8894,3.0098,wav2vec2_ctc_forced_alignment,-0.03448,1,12,2,2,True,539,156,236,236,-0.00038,2,False,False,True,2.9
11,decision,65,73,3.0499,3.3108,wav2vec2_ctc_forced_alignment,-0.03448,1,27,3,3,True,532,151,245,245,-0.00777,3,False,False,True,3.2
12,to,74,76,3.371,3.4512,wav2vec2_ctc_forced_alignment,-0.03448,1,8,1,1,True,540,156,230,230,-0.15275,1,False,False,True,3.4
13,not,77,80,3.5315,3.692,wav2vec2_ctc_forced_alignment,-0.03448,1,16,1,1,True,536,145,242,242,-0.07588,1,False,False,True,3.6
14,allow,81,86,3.7723,3.9529,wav2vec2_ctc_forced_alignment,-0.03448,1,18,2,2,True,546,147,244,244,-0.00016,2,False,False,True,3.9
15,black,87,92,4.0532,4.2338,wav2vec2_ctc_forced_alignment,-0.03448,1,18,2,2,True,551,155,229,229,-0.01447,2,False,False,True,4.1
16,workers,93,100,4.3141,4.6552,wav2vec2_ctc_forced_alignment,-0.03448,1,34,3,3,True,538,150,237,237,-0.06929,3,False,False,True,4.5
17,into,101,105,4.8358,5.0163,wav2vec2_ctc_forced_alignment,-0.03448,1,18,2,2,True,523,169,214,214,-0.00326,2,False,False,True,4.9
18,their,106,111,5.0765,5.1969,wav2vec2_ctc_forced_alignment,-0.03448,1,12,1,1,True,526,172,212,212,-0.01539,1,False,False,True,5.1
19,union,112,117,5.3374,5.5581,wav2vec2_ctc_forced_alignment,-0.03448,1,22,2,2,True,520,158,230,230,-0.00903,2,False,False,True,5.4
