word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,This,0,4,1.0626,1.1629,wav2vec2_ctc_forced_alignment,-0.52835,1,11,1,1,False,63,0,360,360,1.0
1,is,5,7,1.2431,1.2832,wav2vec2_ctc_forced_alignment,-0.52835,1,5,2,2,True,183,66,156,156,1.5
2,Rhett,8,13,1.3433,1.5037,wav2vec2_ctc_forced_alignment,-0.52835,2,17,1,1,True,183,66,156,156,1.5
3,Reiger,14,20,1.5639,1.8846,wav2vec2_ctc_forced_alignment,-0.52835,2,33,2,2,True,183,66,156,156,1.5
4,White,22,27,1.9648,2.1453,wav2vec2_ctc_forced_alignment,-0.52835,1,20,1,1,True,207,63,161,161,2.0
5,Caspian,28,35,2.1653,2.5463,wav2vec2_ctc_forced_alignment,-0.52835,1,39,2,2,True,218,64,155,155,2.5
6,Studios,36,43,2.6265,3.0676,wav2vec2_ctc_forced_alignment,-0.52835,1,45,2,2,True,147,74,163,163,3.0
7,on,44,46,3.1478,3.2079,wav2vec2_ctc_forced_alignment,-0.52835,1,7,1,1,True,147,74,163,163,3.0
8,behalf,47,53,3.2681,3.5287,wav2vec2_ctc_forced_alignment,-0.52835,1,27,1,1,True,140,76,149,149,3.5
9,of,54,56,3.6289,3.669,wav2vec2_ctc_forced_alignment,-0.52835,1,5,1,1,True,140,76,149,149,3.5
10,Expert,57,63,3.7492,4.05,wav2vec2_ctc_forced_alignment,-0.52835,1,31,2,2,True,162,70,154,154,4.0
11,Village,64,71,4.1101,4.4109,wav2vec2_ctc_forced_alignment,-0.52835,1,31,2,2,True,170,69,154,154,4.5
