样本编号,预测极性,预测强度,预测最大概率,负向概率,中性概率,正向概率,真实极性,真实强度,分类是否错误,绝对误差,文本不可用比例,语音不可用比例,视觉不可用比例,文本
-UacrmKiTn4$_$7,Positive,0.6068468689918518,0.68895024061203,0.04872530698776245,0.2623244524002075,0.68895024061203,Positive,0.3333333432674408,False,0.273513525724411,0.0,0.0,0.0,"You want your lectures to be different than your textbook material, but it's important that you test the students on the textbook."
-qDkUB0GgYY$_$5,Positive,0.5055866837501526,0.5752183794975281,0.06768873333930969,0.35709288716316223,0.5752183794975281,Positive,2.0,False,1.4944133758544922,0.0,0.0,0.0,"One finished still within buy range, another hit profit-taking zone after breaking out a little while back, so to find out what all of those are, keep an eye out for the link in the description I'll have all of the analysis for you and make sure to share your comments with us."
0utROiKxejc$_$1,Positive,0.32216137647628784,0.5321628451347351,0.20548546314239502,0.26235175132751465,0.5321628451347351,Neutral,0.0,True,0.32216137647628784,0.0,0.0,0.0,Business was good initially but companies has a tend to launch new products every month.
0utROiKxejc$_$4,Negative,-1.1239447593688965,0.8646777272224426,0.8646777272224426,0.07173874974250793,0.06358347833156586,Neutral,0.0,True,1.1239447593688965,0.0,0.0,0.0,"When I approached the wholesalers regarding this, they didn't helped me and they will not accept returns and because of these conditions, I went into huge losses."
0y022OlZ3W0$_$3,Positive,0.9442374110221863,0.7978425621986389,0.0770736038684845,0.1250838190317154,0.7978425621986389,Positive,1.3333333730697632,False,0.3890959620475769,0.0,0.0,0.0,"God's not just an add on, He is the center of everything you do"
0y022OlZ3W0$_$5,Negative,-0.8037756085395813,0.7522364258766174,0.7522364258766174,0.15212634205818176,0.0956372320652008,Negative,-1.3333333730697632,False,0.5295577645301819,0.0,0.0,0.0,"""But I don't want to shove it down my kid's throat and then they will reject it"
0y022OlZ3W0$_$8,Positive,0.4354906976222992,0.5230904221534729,0.06971070915460587,0.4071989059448242,0.5230904221534729,Negative,-0.3333333432674408,True,0.76882404088974,0.0,0.0,0.0,"Based on my experience, here's what I've seen"
101787$_$11,Neutral,0.0,0.4814656674861908,0.3252982795238495,0.4814656674861908,0.19323605298995972,Neutral,0.0,False,0.0,0.0,0.0,0.0,"(uhh) His character hates tourist, so of course he has to spend a week with Anne Heche, a tourist, and they have some romantic involvement"
101787$_$13,Negative,-1.1835333108901978,0.8407559394836426,0.8407559394836426,0.07538130134344101,0.08386274427175522,Negative,-1.6666666269302368,False,0.48313331604003906,0.0,0.0,0.0,"It's kind of (uhh) Castaway like, except Castaway is really good"
101787$_$1,Neutral,0.0,0.44342532753944397,0.425347238779068,0.44342532753944397,0.13122737407684326,Negative,-0.6666666865348816,True,0.6666666865348816,0.0,0.0,0.0,"Which is a nineties Harrison Ford, semi-action, more romantic comedy flick"
101787$_$5,Negative,-1.4284054040908813,0.886695384979248,0.886695384979248,0.05232453718781471,0.06098005548119545,Negative,-1.6666666269302368,False,0.23826122283935547,0.0,0.0,0.4117647058823529,"(umm) pretty funny but all in all, not not worth the price of admission"
101787$_$7,Positive,0.8907010555267334,0.7426063418388367,0.1340951919555664,0.12329848855733871,0.7426063418388367,Positive,1.0,False,0.1092989444732666,0.0,0.0,0.0,It was actually some good scenery in this
101787$_$9,Neutral,0.0,0.49399176239967346,0.3524051010608673,0.49399176239967346,0.15360307693481445,Negative,-0.3333333432674408,True,0.3333333432674408,0.0,0.0,0.0,"But (umm) Harrison Ford plays his (stutter) normal character, a gruff cargo pilot"
102408$_$2,Negative,-0.30113962292671204,0.4451407194137573,0.4451407194137573,0.4034663736820221,0.1513928920030594,Negative,-0.3333333432674408,False,0.03219372034072876,0.0,0.0,0.0,(umm) not necessarily by choice
102408$_$5,Positive,0.5086119771003723,0.6395349502563477,0.2833227813243866,0.07714223116636276,0.6395349502563477,Negative,-2.0,True,2.5086119174957275,0.0,0.0,0.0,"I couldn't wait til it was over, but you know if you have little boys then, you know, they probably would like this movie"
102408$_$9,Negative,-0.9955738186836243,0.8368708491325378,0.8368708491325378,0.08671093732118607,0.07641828060150146,Negative,-1.6666666269302368,False,0.6710928082466125,0.0,0.0,0.0,Maybe it's just because I don't have little boys so I'm not really into the little (uhh) characters like that
102858$_$20,Negative,-0.32624784111976624,0.5327267050743103,0.5327267050743103,0.19165454804897308,0.27561870217323303,Positive,2.0,True,2.3262479305267334,0.0,0.0,0.0,"This thing, if you guys don't have it, you're going to need it for your holiday DVD list"
102858$_$21,Negative,-1.0643815994262695,0.7868147492408752,0.7868147492408752,0.13839615881443024,0.07478910684585571,Positive,1.0,True,2.0643815994262695,0.0,0.0,0.0,"I'm giving this beast a four out of, (stutter) I mean, (uhh) wait, four, no"
102858$_$1,Neutral,0.0,0.5608534812927246,0.13737079501152039,0.5608534812927246,0.301775723695755,Positive,0.3333333432674408,True,0.3333333432674408,0.0,0.0,0.0,"This is Helsing920 (stutter), and I've got a DVD review for everybody"
102858$_$0,Positive,0.5444468855857849,0.5675742626190186,0.07395222038030624,0.358473539352417,0.5675742626190186,Positive,0.3333333432674408,False,0.21111354231834412,0.0,0.0,0.0,"Hello, everybody"
102858$_$4,Positive,0.4622068405151367,0.4964982569217682,0.15255078673362732,0.3509509563446045,0.4964982569217682,Positive,3.0,False,2.5377931594848633,0.0,0.0,0.0,"This one disc contains not only Garfield, not only Garfield's Halloween, Halloween (stutter) Adventure, a special I've I've (stutter) watched almost every year since I was about four, but it also has Garfield's (stutter) Thanksgiving, which is a pretty funny little short, funny little special, and A Garfield's Christmas, which is just absolutely awesome"
102858$_$6,Negative,-0.40609145164489746,0.46372589468955994,0.46372589468955994,0.3800293505191803,0.15624476969242096,Positive,2.6666667461395264,True,3.072758197784424,0.0,0.0,0.0,It's probably three of the best (stutter) holiday specials made in the last (uhh) let's see
102858$_$10,Positive,0.8897509574890137,0.7334637641906738,0.1324537992477417,0.13408240675926208,0.7334637641906738,Positive,2.0,False,1.1102490425109863,0.0,0.0,0.0,Regardless (umm) all three specials are just awesome
102858$_$17,Negative,-0.6167014241218567,0.5699954628944397,0.5699954628944397,0.28696408867836,0.1430404633283615,Positive,1.0,True,1.616701364517212,0.0,0.0,0.0,I watched this thing three times in three months
102858$_$19,Neutral,0.0,0.42308202385902405,0.24119655787944794,0.42308202385902405,0.3357214033603668,Neutral,0.0,False,0.0,0.0,0.0,0.0,"So, yeah, Garfield's Halloween, or Holiday Celebrations"
112433$_$10,Neutral,0.0,0.6178337931632996,0.1893373280763626,0.6178337931632996,0.19282889366149902,Neutral,0.0,False,0.0,0.0,0.0,0.0,Okay
