word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,ctc_char_log_confidence,face_blendshape_frames,face_blendshape_valid,vision_nearest_frame_fallback,alignment_reliable,nearest_frame_sec
0,Kentucky’s,0,10,0.4203,0.9206,wav2vec2_ctc_forced_alignment,-0.08329,3,50,5,5,True,119,31,77,92,-0.0061,5,True,False,True,0.7
1,participation,11,24,0.9807,1.7812,wav2vec2_ctc_forced_alignment,-0.08329,1,80,8,8,True,119,29,78,94,-0.00587,8,True,False,True,1.4
2,at,25,27,1.9013,1.9413,wav2vec2_ctc_forced_alignment,-0.08329,1,4,0,0,True,121,29,77,91,-0.00112,0,True,True,True,1.9
3,the,28,31,2.0013,2.1214,wav2vec2_ctc_forced_alignment,-0.08329,1,12,1,1,True,123,29,79,96,-0.08756,1,True,False,True,2.1
4,annual,32,38,2.3416,2.6418,wav2vec2_ctc_forced_alignment,-0.08329,1,30,3,3,True,126,28,77,93,-0.07299,3,True,False,True,2.5
5,BIO,39,42,2.7418,2.962,wav2vec2_ctc_forced_alignment,-0.08329,1,22,2,2,True,124,27,78,92,-2.36647,2,True,False,True,2.9
6,International,43,56,3.1621,3.7225,wav2vec2_ctc_forced_alignment,-0.08329,1,56,6,6,True,123,28,80,90,-0.03894,6,True,False,True,3.4
7,Convention,57,67,3.7825,4.2628,wav2vec2_ctc_forced_alignment,-0.08329,1,48,5,5,True,120,31,77,90,-0.0455,5,True,False,True,4.0
8,is,68,70,4.8632,4.9233,wav2vec2_ctc_forced_alignment,-0.08329,1,6,1,1,True,123,29,81,90,-0.00255,1,True,False,True,4.9
9,the,71,74,5.0434,5.1234,wav2vec2_ctc_forced_alignment,-0.08329,1,8,1,1,True,124,30,80,94,-0.00027,1,True,False,True,5.1
10,primary,75,82,5.2035,5.7038,wav2vec2_ctc_forced_alignment,-0.08329,1,50,5,5,True,123,29,80,91,-0.02864,5,True,False,True,5.5
11,means,83,88,5.8039,6.1641,wav2vec2_ctc_forced_alignment,-0.08329,1,36,3,3,True,123,30,78,90,-0.06374,3,True,False,True,6.0
12,by,89,91,6.2642,6.3843,wav2vec2_ctc_forced_alignment,-0.08329,1,12,1,1,True,122,29,79,92,-2e-05,1,True,False,True,6.3
13,which,92,97,6.4843,6.7045,wav2vec2_ctc_forced_alignment,-0.08329,1,22,3,3,True,122,29,78,92,-0.00538,3,True,False,True,6.6
14,our,98,101,7.0047,7.1248,wav2vec2_ctc_forced_alignment,-0.08329,1,12,1,1,True,116,29,81,98,-0.07741,1,True,False,True,7.1
15,high,102,106,7.2248,7.4049,wav2vec2_ctc_forced_alignment,-0.08329,1,18,2,2,True,115,31,80,93,-0.84967,2,True,False,True,7.3
16,tech,107,111,7.465,7.6851,wav2vec2_ctc_forced_alignment,-0.08329,1,22,2,2,True,116,31,78,93,-0.37581,2,True,False,True,7.6
17,companies,112,121,7.7652,8.2055,wav2vec2_ctc_forced_alignment,-0.08329,1,44,5,5,True,117,30,77,93,-0.01546,5,True,False,True,8.0
18,and,122,125,8.2855,8.3656,wav2vec2_ctc_forced_alignment,-0.08329,1,8,1,1,True,117,30,77,94,-0.00105,1,True,False,True,8.3
19,institutions,126,138,8.4256,9.1461,wav2vec2_ctc_forced_alignment,-0.08329,1,72,7,7,True,117,29,78,92,-0.02502,7,True,False,True,8.8
20,can,139,142,9.3663,9.5064,wav2vec2_ctc_forced_alignment,-0.08329,1,14,2,2,True,119,32,75,91,-0.01482,2,True,False,True,9.4
21,reach,143,148,9.6264,9.8466,wav2vec2_ctc_forced_alignment,-0.08329,1,22,2,2,True,115,27,80,88,-0.01012,2,True,False,True,9.7
22,out,149,152,10.0067,10.1268,wav2vec2_ctc_forced_alignment,-0.08329,1,12,1,1,True,116,27,78,90,-0.03522,1,True,False,True,10.1
23,to,153,155,10.2669,10.3469,wav2vec2_ctc_forced_alignment,-0.08329,1,8,1,1,True,116,28,79,92,-0.00069,1,True,False,True,10.3
24,the,156,159,10.427,10.487,wav2vec2_ctc_forced_alignment,-0.08329,1,6,0,0,True,116,30,79,96,-0.00072,0,True,True,True,10.5
25,global,160,166,10.547,10.9073,wav2vec2_ctc_forced_alignment,-0.08329,1,36,4,4,True,117,28,78,92,-0.00655,4,True,False,True,10.7
26,scientific,167,177,10.9873,11.5277,wav2vec2_ctc_forced_alignment,-0.08329,1,54,6,6,True,117,29,75,88,-0.06784,6,True,False,True,11.3
27,community,178,187,11.6078,12.0681,wav2vec2_ctc_forced_alignment,-0.08329,1,46,4,4,True,116,29,78,92,-0.01776,4,True,False,True,11.8
