word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,And,0,3,0.1405,0.7828,wav2vec2_ctc_forced_alignment,-0.24749,1,65,3,3,True,58,36,130,130,0.5
1,then,4,8,1.1843,1.2846,wav2vec2_ctc_forced_alignment,-0.24749,1,11,2,2,True,64,34,129,129,1.0
2,from,9,13,1.3649,1.4853,wav2vec2_ctc_forced_alignment,-0.24749,1,14,1,1,True,80,49,117,117,1.5
3,a,14,15,1.5456,1.5656,wav2vec2_ctc_forced_alignment,-0.24749,1,3,1,1,True,80,49,117,117,1.5
4,brand,16,21,1.6861,2.0273,wav2vec2_ctc_forced_alignment,-0.24749,1,35,2,2,True,74,48,123,123,2.0
5,point,22,27,2.1076,2.3083,wav2vec2_ctc_forced_alignment,-0.24749,1,21,2,2,True,74,48,123,123,2.0
6,of,28,30,2.3886,2.4287,wav2vec2_ctc_forced_alignment,-0.24749,1,5,1,1,True,66,35,125,125,2.5
7,view,31,35,2.4689,2.5692,wav2vec2_ctc_forced_alignment,-0.24749,1,11,1,1,True,66,35,125,125,2.5
8,we,37,39,2.6495,2.7298,wav2vec2_ctc_forced_alignment,-0.24749,1,9,1,1,True,66,35,125,125,2.5
9,need,40,44,2.8302,3.0108,wav2vec2_ctc_forced_alignment,-0.24749,1,19,1,1,True,72,38,132,132,3.0
10,to,45,47,3.0911,3.1513,wav2vec2_ctc_forced_alignment,-0.24749,1,7,1,1,True,72,38,132,132,3.0
11,make,48,52,3.2115,3.352,wav2vec2_ctc_forced_alignment,-0.24749,1,15,2,2,True,76,111,140,140,3.5
12,sure,53,57,3.3922,3.5126,wav2vec2_ctc_forced_alignment,-0.24749,1,13,1,1,True,76,111,140,140,3.5
13,we're,58,63,3.6933,3.8739,wav2vec2_ctc_forced_alignment,-0.24749,3,19,2,2,True,80,41,133,133,4.0
14,driving,64,71,3.9141,4.2151,wav2vec2_ctc_forced_alignment,-0.24749,1,32,1,1,True,80,41,133,133,4.0
15,the,72,75,4.2553,4.3155,wav2vec2_ctc_forced_alignment,-0.24749,1,7,1,1,True,80,40,131,131,4.5
16,relevant,76,84,4.3757,4.7169,wav2vec2_ctc_forced_alignment,-0.24749,1,35,1,1,True,80,40,131,131,4.5
17,insight,85,92,4.8775,5.279,wav2vec2_ctc_forced_alignment,-0.24749,1,41,2,2,True,79,45,132,132,5.0
