word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,Therefore,0,9,0.34,1.3636,proportional_fallback_low_ctc_confidence,-4.19478,1,103,3,3,True,528,60,327,327,1.0
1,the,11,14,1.3636,1.7048,proportional_fallback_low_ctc_confidence,-4.19478,1,35,1,1,True,497,70,345,345,1.5
2,world,15,20,1.7048,2.2735,proportional_fallback_low_ctc_confidence,-4.19478,1,58,3,3,True,486,89,350,350,2.0
3,needs,21,26,2.2735,2.8422,proportional_fallback_low_ctc_confidence,-4.19478,1,58,2,2,True,548,76,325,325,2.5
4,to,27,29,2.8422,3.0697,proportional_fallback_low_ctc_confidence,-4.19478,1,24,1,1,True,557,76,321,321,3.0
5,stand,30,35,3.0697,3.6384,proportional_fallback_low_ctc_confidence,-4.19478,1,58,2,2,True,506,79,343,343,3.5
6,with,36,40,3.6384,4.0933,proportional_fallback_low_ctc_confidence,-4.19478,1,46,2,2,True,492,93,328,328,4.0
7,Israel,41,47,4.0933,4.7757,proportional_fallback_low_ctc_confidence,-4.19478,1,70,3,3,True,488,97,340,340,4.5
8,against,48,55,4.7757,5.5719,proportional_fallback_low_ctc_confidence,-4.19478,1,80,2,2,True,487,76,328,328,5.0
9,this,56,60,5.5719,6.0268,proportional_fallback_low_ctc_confidence,-4.19478,1,47,2,2,True,512,64,328,328,6.0
10,incitement,61,71,6.0268,7.1642,proportional_fallback_low_ctc_confidence,-4.19478,3,114,3,3,True,528,75,312,312,6.5
11,which,73,78,7.1642,7.7329,proportional_fallback_low_ctc_confidence,-4.19478,1,58,2,2,True,480,76,341,341,7.5
12,is,79,81,7.7329,7.9604,proportional_fallback_low_ctc_confidence,-4.19478,1,24,2,2,True,469,81,336,336,8.0
13,the,82,85,7.9604,8.3016,proportional_fallback_low_ctc_confidence,-4.19478,1,35,2,2,True,469,81,336,336,8.0
14,number,86,92,8.3016,8.984,proportional_fallback_low_ctc_confidence,-4.19478,1,69,2,2,True,469,76,343,343,8.5
15,one,93,96,8.984,9.3252,proportional_fallback_low_ctc_confidence,-4.19478,1,36,2,2,True,450,75,342,342,9.0
16,cause,97,102,9.3252,9.8939,proportional_fallback_low_ctc_confidence,-4.19478,1,57,2,2,True,454,83,333,333,9.5
17,of,103,105,9.8939,10.1214,proportional_fallback_low_ctc_confidence,-4.19478,1,24,1,1,True,535,104,325,325,10.0
18,terrorism,106,115,10.1214,11.145,proportional_fallback_low_ctc_confidence,-4.19478,1,104,3,3,True,537,91,334,334,10.5
