word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,For,0,3,0.5006,0.6007,wav2vec2_ctc_forced_alignment,-0.14829,1,11,1,1,True,125,22,86,86,0.5
1,the,4,7,0.6607,0.7408,wav2vec2_ctc_forced_alignment,-0.14829,1,9,1,1,True,125,22,86,86,0.5
2,10th,8,12,0.8009,1.0212,wav2vec2_ctc_forced_alignment,-0.14829,1,23,1,1,True,128,24,84,84,1.0
3,straight,13,21,1.1213,1.4016,wav2vec2_ctc_forced_alignment,-0.14829,1,29,2,2,True,120,23,91,91,1.5
4,year,22,26,1.4817,1.7019,wav2vec2_ctc_forced_alignment,-0.14829,1,23,1,1,True,120,23,91,91,1.5
5,some,28,32,2.2626,2.5429,wav2vec2_ctc_forced_alignment,-0.14829,1,29,1,1,True,114,15,93,93,2.5
6,of,33,35,2.643,2.683,wav2vec2_ctc_forced_alignment,-0.14829,1,5,1,1,True,114,15,93,93,2.5
7,Kentucky’s,36,46,2.7631,3.2637,wav2vec2_ctc_forced_alignment,-0.14829,3,51,2,2,True,116,19,92,92,3.0
8,best,47,51,3.4239,3.7242,wav2vec2_ctc_forced_alignment,-0.14829,1,31,1,1,True,116,19,92,92,3.5
9,and,52,55,3.9244,3.9845,wav2vec2_ctc_forced_alignment,-0.14829,1,7,1,1,True,115,20,92,92,4.0
10,most,56,60,4.0846,4.2848,wav2vec2_ctc_forced_alignment,-0.14829,1,21,2,2,True,115,20,92,92,4.0
11,innovative,61,71,4.445,4.9056,wav2vec2_ctc_forced_alignment,-0.14829,1,47,2,2,True,111,18,93,93,4.5
12,biotech,72,79,4.9656,5.5062,wav2vec2_ctc_forced_alignment,-0.14829,2,55,2,2,True,111,17,93,93,5.0
13,companies,80,89,5.5863,6.0068,wav2vec2_ctc_forced_alignment,-0.14829,1,43,2,2,True,112,20,93,93,6.0
14,and,90,93,6.0869,6.147,wav2vec2_ctc_forced_alignment,-0.14829,1,7,1,1,True,112,20,93,93,6.0
15,technologies,94,106,6.227,6.9479,wav2vec2_ctc_forced_alignment,-0.14829,1,73,3,3,True,113,21,93,93,6.5
16,were,107,111,7.3283,7.5085,wav2vec2_ctc_forced_alignment,-0.14829,1,19,1,1,True,133,24,84,84,7.5
17,on,112,114,7.6687,7.7488,wav2vec2_ctc_forced_alignment,-0.14829,1,9,1,1,True,133,24,84,84,7.5
18,display,115,122,7.8489,8.4295,wav2vec2_ctc_forced_alignment,-0.14829,1,59,2,2,True,128,23,86,86,8.0
19,at,123,125,8.6698,8.7299,wav2vec2_ctc_forced_alignment,-0.14829,1,7,1,1,True,120,18,93,93,8.5
20,the,126,129,8.7899,8.9101,wav2vec2_ctc_forced_alignment,-0.14829,1,13,1,1,True,112,18,92,92,9.0
21,annual,130,136,9.0903,9.4106,wav2vec2_ctc_forced_alignment,-0.14829,1,33,2,2,True,113,21,92,92,9.5
22,BIO,137,140,9.6709,9.9312,wav2vec2_ctc_forced_alignment,-0.14829,1,27,2,2,True,113,18,93,93,10.0
23,International,141,154,10.2516,10.7722,wav2vec2_ctc_forced_alignment,-0.14829,1,53,2,2,True,114,20,92,92,10.5
24,Convention,155,165,10.8523,11.3128,wav2vec2_ctc_forced_alignment,-0.14829,1,47,2,2,True,116,22,93,93,11.0
25,which,167,172,11.8734,12.0536,wav2vec2_ctc_forced_alignment,-0.14829,1,19,1,1,True,133,29,80,80,12.0
26,I,173,174,12.394,12.414,wav2vec2_ctc_forced_alignment,-0.14829,1,3,1,1,True,120,20,92,92,12.5
27,and,175,178,12.5943,12.6944,wav2vec2_ctc_forced_alignment,-0.14829,1,11,1,1,True,120,20,92,92,12.5
28,other,179,184,12.8145,12.9747,wav2vec2_ctc_forced_alignment,-0.14829,1,17,1,1,True,116,21,93,93,13.0
29,state,185,190,13.0147,13.215,wav2vec2_ctc_forced_alignment,-0.14829,1,21,1,1,True,116,21,93,93,13.0
30,officials,191,200,13.255,13.6755,wav2vec2_ctc_forced_alignment,-0.14829,1,44,1,1,True,114,21,92,92,13.5
31,attended,201,209,13.7956,14.136,wav2vec2_ctc_forced_alignment,-0.14829,1,35,1,1,True,109,17,100,100,14.0
32,this,210,214,14.1961,14.3362,wav2vec2_ctc_forced_alignment,-0.14829,1,15,2,2,True,111,14,95,95,14.5
33,week,215,219,14.4363,14.6366,wav2vec2_ctc_forced_alignment,-0.14829,1,21,1,1,True,111,14,95,95,14.5
34,in,220,222,14.8768,14.9169,wav2vec2_ctc_forced_alignment,-0.14829,1,5,1,1,True,113,22,93,93,15.0
35,Chicago,223,230,14.9769,15.4575,wav2vec2_ctc_forced_alignment,-0.14829,1,49,2,2,True,113,22,93,93,15.0
