model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
existing_distilled_2026,none,0.0,random,0,0.6332417582417582,0.6087100728242844,0.6300885681482696,0.5933941006660461,0.6318575501770126,0.0,0.002678779408339157,0.057069648264616815
existing_distilled_2026,T,0.3,random,0,0.5865384615384616,0.556810582315883,0.582659730835512,0.6361810564994812,0.5596308123073737,0.29984859072909387,0.002678779408339157,0.057069648264616815
existing_distilled_2026,A,0.3,random,0,0.6373626373626373,0.6121290994273815,0.6334261001882032,0.5934891700744629,0.6311097616043219,0.0,0.3017120894479385,0.057069648264616815
existing_distilled_2026,V,0.3,random,0,0.6304945054945055,0.6104509253157752,0.6305382932382982,0.5902901887893677,0.6346169186177578,0.0,0.002678779408339157,0.33979734451432564
existing_distilled_2026,AV,0.3,random,0,0.635989010989011,0.6146528029459047,0.6355916920177104,0.5922397375106812,0.6339295970272371,0.0,0.3017120894479385,0.33979734451432564
existing_distilled_2026,TAV,0.3,random,0,0.5851648351648352,0.5564540295306735,0.5809791139358341,0.6349074840545654,0.5652440599150133,0.29984859072909387,0.3017120894479385,0.33979734451432564
existing_distilled_2026,TAV,0.1,scattered,0,0.6043956043956044,0.5725662215036391,0.5982506399996111,0.6102097630500793,0.6089939458355388,0.10214302352667133,0.104530631260191,0.1531563009550431
existing_distilled_2026,TAV,0.1,scattered,1,0.6071428571428571,0.5760862797344778,0.6019305661819623,0.610453188419342,0.6144212835233638,0.10214302352667133,0.104530631260191,0.15292336361518752
existing_distilled_2026,TAV,0.2,scattered,0,0.6002747252747253,0.5754487399715837,0.5953322609528408,0.6153247952461243,0.5852540926288914,0.20119962730025623,0.20329606335895645,0.24703004891684138
existing_distilled_2026,TAV,0.2,scattered,1,0.6181318681318682,0.5910955300635701,0.6140073620751876,0.609892725944519,0.6012728824410432,0.20119962730025623,0.20329606335895645,0.24737945492662475
existing_distilled_2026,TAV,0.3,scattered,0,0.5796703296703297,0.5551030789447654,0.578663499251028,0.6364068388938904,0.5506322188686444,0.29984859072909387,0.3017120894479385,0.33979734451432564
existing_distilled_2026,TAV,0.3,scattered,1,0.5741758241758241,0.5440463532568796,0.5710147204508107,0.6296448707580566,0.5784274634855958,0.29984859072909387,0.3018285581178663,0.3390985324947589
scattered_gap_distilled_2026,none,0.0,random,0,0.6428571428571429,0.6193339363459845,0.6442670696646601,0.5792365074157715,0.6487958046365779,0.0,0.002678779408339157,0.057069648264616815
scattered_gap_distilled_2026,T,0.3,random,0,0.5659340659340659,0.5462366008806937,0.5707825268488216,0.6232725977897644,0.5757839765189834,0.29984859072909387,0.002678779408339157,0.057069648264616815
scattered_gap_distilled_2026,A,0.3,random,0,0.6483516483516484,0.6270423836495465,0.650953813371724,0.5790664553642273,0.6464031136390674,0.0,0.3017120894479385,0.057069648264616815
scattered_gap_distilled_2026,V,0.3,random,0,0.6401098901098901,0.6202773755132459,0.6433117926746149,0.5825477242469788,0.6454434519441646,0.0,0.002678779408339157,0.33979734451432564
scattered_gap_distilled_2026,AV,0.3,random,0,0.646978021978022,0.6280027231842,0.6501937719567243,0.5831769108772278,0.6440642405495575,0.0,0.3017120894479385,0.33979734451432564
scattered_gap_distilled_2026,TAV,0.3,random,0,0.5837912087912088,0.5574097093772595,0.5837373321267417,0.6146820187568665,0.5973996038334114,0.29984859072909387,0.3017120894479385,0.33979734451432564
scattered_gap_distilled_2026,TAV,0.1,scattered,0,0.6277472527472527,0.605104885214899,0.6284848029101775,0.5956273674964905,0.624594574815975,0.10214302352667133,0.104530631260191,0.1531563009550431
scattered_gap_distilled_2026,TAV,0.1,scattered,1,0.6208791208791209,0.5986901352490944,0.6234730415037305,0.5938847064971924,0.6327593041271938,0.10214302352667133,0.104530631260191,0.15292336361518752
scattered_gap_distilled_2026,TAV,0.2,scattered,0,0.6043956043956044,0.579496950617015,0.6044204599885502,0.607206404209137,0.609672536004546,0.20119962730025623,0.20329606335895645,0.24703004891684138
scattered_gap_distilled_2026,TAV,0.2,scattered,1,0.6016483516483516,0.5825822493139233,0.6043255223229644,0.6080788969993591,0.6057777654468441,0.20119962730025623,0.20329606335895645,0.24737945492662475
scattered_gap_distilled_2026,TAV,0.3,scattered,0,0.5741758241758241,0.5507070505410004,0.5738644642267414,0.6312559247016907,0.5606720986523794,0.29984859072909387,0.3017120894479385,0.33979734451432564
scattered_gap_distilled_2026,TAV,0.3,scattered,1,0.5906593406593407,0.5646897045491754,0.5903735972120218,0.6233032941818237,0.5891989312594597,0.29984859072909387,0.3018285581178663,0.3390985324947589
