word_index,word,char_start,char_end,start_sec,end_sec,ctc_alignment,ctc_log_confidence,bert_subtokens,audio_frames,video_frames,vision_appearance_frames,face_detected,bbox_x,bbox_y,bbox_w,bbox_h,nearest_frame_sec
0,I,0,1,1.4423,1.4623,wav2vec2_ctc_forced_alignment,-0.07814,1,3,1,1,True,227,41,178,178,1.5
1,mentioned,2,11,1.6426,2.0032,wav2vec2_ctc_forced_alignment,-0.07814,1,37,2,2,True,229,40,177,177,2.0
2,a,12,13,2.0633,2.0833,wav2vec2_ctc_forced_alignment,-0.07814,1,3,1,1,True,229,40,177,177,2.0
3,word,14,18,2.1234,2.4439,wav2vec2_ctc_forced_alignment,-0.07814,1,33,2,2,True,216,37,189,189,2.5
4,in,19,21,2.6843,2.7243,wav2vec2_ctc_forced_alignment,-0.07814,1,5,1,1,True,216,37,189,189,2.5
5,the,22,25,2.8044,2.8645,wav2vec2_ctc_forced_alignment,-0.07814,1,7,1,1,True,229,36,186,186,3.0
6,last,26,30,2.9246,3.2051,wav2vec2_ctc_forced_alignment,-0.07814,1,30,1,1,True,229,36,186,186,3.0
7,clip,31,35,3.3653,3.6257,wav2vec2_ctc_forced_alignment,-0.07814,1,27,1,1,True,222,41,182,182,3.5
8,called,36,42,3.766,4.0063,wav2vec2_ctc_forced_alignment,-0.07814,1,25,1,1,True,219,42,178,178,4.0
9,monotone,44,52,4.1866,4.9679,wav2vec2_ctc_forced_alignment,-0.07814,2,79,3,3,True,203,53,194,194,4.5
10,and,55,58,5.4687,5.5488,wav2vec2_ctc_forced_alignment,-0.07814,1,9,1,1,True,203,49,192,192,5.5
11,I,59,60,5.5889,5.6089,wav2vec2_ctc_forced_alignment,-0.07814,1,3,1,1,True,203,49,192,192,5.5
12,want,61,65,5.669,5.7892,wav2vec2_ctc_forced_alignment,-0.07814,1,13,2,2,True,203,49,192,192,5.5
13,to,66,68,5.8092,5.8693,wav2vec2_ctc_forced_alignment,-0.07814,1,7,1,1,True,200,42,191,191,6.0
14,talk,69,73,5.9294,6.1097,wav2vec2_ctc_forced_alignment,-0.07814,1,19,1,1,True,200,42,191,191,6.0
15,about,74,79,6.2098,6.4302,wav2vec2_ctc_forced_alignment,-0.07814,1,23,2,2,True,204,41,189,189,6.5
16,that,80,84,6.4903,6.6505,wav2vec2_ctc_forced_alignment,-0.07814,1,17,1,1,True,204,41,189,189,6.5
17,briefly,85,92,6.7507,7.1914,wav2vec2_ctc_forced_alignment,-0.07814,1,45,1,1,True,206,39,184,184,7.0
