sample_id,true_class,predicted_class,true_intensity,intensity,p_negative,p_neutral,p_positive,confidence,absolute_error,raw_text,truncated,audio_rows,vision_rows,manual_cause,manual_evidence,review_status
237009$_$9,1,0,0.0,-1.6553223133087158,0.9324355870188682,0.03064246637593991,0.03692194660519189,0.9324355870188682,1.6553223133087158,(umm) it's (uhh) not rated,False,12,12,,,pending
32681$_$5,2,0,0.3333333432674408,-1.7135565280914307,0.9312976296247065,0.030805374150823066,0.03789699622447047,0.9312976296247065,2.0468898713588715,"(umm) The only time I did laugh was at the the (stutter) pretty dirty stuff which they usually don't put in movies but, I mean that was pretty funny to me",False,39,39,,,pending
f_ZJ7L14oYQ$_$21,2,0,2.0,-1.6168975830078125,0.929209847204497,0.028718931719472866,0.04207122107603029,0.929209847204497,3.6168975830078125,They just so much more convenient than stupid boots that take forever to put on and just aren't comfortable!,False,22,22,,,pending
RArhIHk4Qs4$_$17,1,0,0.0,-1.6198874711990356,0.9252365527848047,0.0328525282211049,0.04191091899409034,0.9252365527848047,1.6198874711990356,There is nothing wrong with that,False,6,6,,,pending
HmXXW45eZL4$_$4,1,0,0.0,-1.6010475158691406,0.925070673872839,0.0333203029982892,0.041609023128871686,0.925070673872839,1.6010475158691406,"Never ever look hurt, look sad, look angry, start crying, run off stage.",False,18,18,,,pending
0utROiKxejc$_$4,1,0,0.0,-1.4269905090332031,0.9205255121362194,0.03040593082917984,0.04906855703460079,0.9205255121362194,1.4269905090332031,"When I approached the wholesalers regarding this, they didn't helped me and they will not accept returns and because of these conditions, I went into huge losses.",False,33,33,,,pending
236021$_$3,1,0,0.0,-1.5421503782272339,0.9196966688570254,0.035332110738381335,0.044971220404593115,0.9196966688570254,1.5421503782272339,He thinks the whole situation is silly,False,7,7,,,pending
80855$_$17,1,0,0.0,-1.4932550191879272,0.9185941666515126,0.034386863639245945,0.04701896970924134,0.9185941666515126,1.4932550191879272,"I like to just sit around, when I can get it to okay, maybe this one doesn't work, but that's not the point",False,30,16,,,pending
MjaaudUc5-4$_$1,1,0,0.0,-1.3072264194488525,0.9146662229878074,0.032365569767754857,0.05296820724443779,0.9146662229878074,1.3072264194488525,To write an angry letter of protest is not as effective as to write a love letter,False,17,17,,,pending
216097$_$4,1,0,0.0,-1.166193962097168,0.8985795264988369,0.041402427928971336,0.06001804557219164,0.8985795264988369,1.166193962097168,He goes to the world governments who think he's a crackpot and really have no interest in building a rocket ship to try to (uhh) save a few people kind of like a Noah's arc to another planet,False,46,42,,,pending
v9gjg7TDlTA$_$0,2,0,0.3333333432674408,-1.1164734363555908,0.8980530440270857,0.0401523936023777,0.06179456237053642,0.8980530440270857,1.4498067796230316,"Our recipients of those microloans, they do not use those loans efficiently.",False,16,16,,,pending
96642$_$1,1,0,0.0,-1.210262656211853,0.8965880463296493,0.05181865645079318,0.051593297219557535,0.8965880463296493,1.210262656211853,"xxx I am reviewing today is the movie Team America World Police, specifically this is the censored and unrated version",False,25,25,,,pending
gR4gM_WXesQ$_$18,2,0,0.6666666865348816,-1.0381379127502441,0.8883174084703163,0.04316663007701363,0.06851596145267018,0.8883174084703163,1.7048045992851257,"He feels undesirable, in a way, because he identifies himself as Asian and he sees a lack of Asian men in the media as desirable.",False,31,31,,,pending
31474$_$8,1,0,0.0,-1.0870473384857178,0.8807987531697798,0.0629458563304247,0.05625539049979551,0.8807987531697798,1.0870473384857178,It was shot on a very low budget,False,8,8,,,pending
rojyUp4FPSg$_$9,2,0,2.0,-0.9585033655166626,0.8805044181191145,0.03803972912146899,0.08145585275941664,0.8805044181191145,2.9585033655166626,"So if you have a really overpowering scent, it will clash and just create something that's really not what we wanted.",False,26,26,,,pending
31474$_$14,1,0,0.0,-1.0157737731933594,0.8758048399801438,0.03874748662089245,0.08544767339896385,0.8758048399801438,1.0157737731933594,So she ended up killing about four of them because she was such a bad shot,False,16,16,,,pending
252998$_$7,2,0,1.3333333730697632,-0.7702330350875854,0.8578156936531364,0.03781601346771303,0.10436829287915045,0.8578156936531364,2.1035664081573486,(uhh) I think the best line in the movie comes from Tori Spelling when she looks at Parker Posey and says no you're not insane you're just incredibly spoiled,False,37,35,,,pending
x2lOwQaAn4g$_$4,1,2,0.0,1.2835294008255005,0.06101595714261834,0.09684320802796255,0.8421408348294191,0.8421408348294191,1.2835294008255005,All of these exercises are jean friendly and guarantee getting in some fitness time even on work hours,False,18,14,,,pending
TYJzg5IJN8o$_$7,1,2,0.0,1.283107876777649,0.08149324780182768,0.09126257252529608,0.8272441796728762,0.8272441796728762,1.283107876777649,"President-elect Obama is committed to having an efficient, competent,  well organized, transparent and bi-partisan Transition Team.",False,24,24,,,pending
DdUJojoFU_c$_$14,1,2,0.0,1.1137422323226929,0.06792725351977164,0.11354042494962921,0.8185323215305992,0.8185323215305992,1.1137422323226929,"For more information about Jennings Capital or to obtain a copy of their research report, contact your nearest Jennings Capital office.",False,23,23,,,pending
mLW-jn67gRE$_$9,1,0,0.0,-0.6623128652572632,0.8144914888681568,0.07623107163791197,0.10927743949393114,0.8144914888681568,0.6623128652572632,This is a definite reason why your ads will not be showing.,False,13,13,,,pending
NzvNW7vP-Co$_$7,1,2,0.0,1.2509543895721436,0.10081387175691858,0.08659687744326298,0.8125892507998184,0.8125892507998184,1.2509543895721436,I know their dollar is finding lower pressure at the moment same as-- situation so let's pray to pass in the world economy and I think we can look forward to better times.,False,38,38,,,pending
RArhIHk4Qs4$_$6,2,0,0.3333333432674408,-0.6060971021652222,0.8049610913713323,0.08548368591298446,0.10955522271568316,0.8049610913713323,0.939430445432663,It's all that information that people put online that doesn't run through Google or that Google or other search engines cannot see,False,26,26,,,pending
236021$_$4,2,0,0.6666666865348816,-0.43114107847213745,0.7989044268060531,0.056542952556636945,0.14455262063730995,0.7989044268060531,1.097807765007019,"So he kind of (uhh) steps in one day and looks after things at the North Pole and then it turns into this big party and everything goes kind of crazy havocy and so, Santa Claus's brother doesn't really like that too much and so I don't know",True,48,48,,,pending
icbUzboLcDQ$_$0,0,2,-0.6666666865348816,1.038205623626709,0.08670945889756468,0.12001114643265667,0.7932793946697786,0.7932793946697786,1.7048723101615906,"RM: I LOVE YOU~ Jin: Are you say ''Hyung-nim, thank you",False,21,21,,,pending
gR4gM_WXesQ$_$26,1,0,0.0,-0.5669661164283752,0.7887618934405215,0.09642039816683187,0.11481770839264677,0.7887618934405215,0.5669661164283752,Eleanor for her size and lack of femininity; Park for his low self-esteem.,False,19,19,,,pending
2S00zYaVrtc$_$17,0,2,-0.3333333432674408,1.0033866167068481,0.08509337035316508,0.12636609047249536,0.7885405391743396,0.7885405391743396,1.336719959974289,"Learning from these mistakes, we are moving forward to increase transparency and accountability for my administration.",False,18,18,,,pending
MCsvw5-7lVE$_$4,1,2,0.0,0.9833945035934448,0.07762101823690411,0.13856420845160164,0.7838147733114943,0.7838147733114943,0.9833945035934448,And really invest in sort of answering any questions that your customers have.,False,14,14,,,pending
KkKWFZZmmCM$_$1,1,2,0.0,1.1455031633377075,0.13057334172207755,0.08697880558972698,0.7824478526881954,0.7824478526881954,1.1455031633377075,"The whole infrastructure, the whole culture, the whole development we've seen in India predestines India to become a superpower.",False,28,28,,,pending
5i6AgQSjXO4$_$2,1,2,0.0,0.9761351346969604,0.09154898128595639,0.1277509428169648,0.7807000758970788,0.7807000758970788,0.9761351346969604,The motion before us today is: This House considers that environmental protection of the Arctic is more important than the need for economic development and job creation,False,28,28,,,pending
rwNlqh0k1j4$_$15,0,2,-0.6666666865348816,1.1221996545791626,0.13128512273312312,0.09133177646089582,0.7773831008059809,0.7773831008059809,1.7888663411140442,"And over the last month, he has directed every member of his national security team to pick up the pace and move forward with ideas for degrading and defeating Daesh more rapidly, more completely, and permanently.",False,43,43,,,pending
bWunvAd96zI$_$2,2,0,0.3333333432674408,-0.38975149393081665,0.7766960969549823,0.08355144940407142,0.13975245364094638,0.7766960969549823,0.7230848371982574,"She decides to distract herself by focusing on theater, but her focus is interrupted by the introduction of two fraternal twins, low ticket sales, and off stage drama",False,33,33,,,pending
7r4vRxKLFCA$_$6,0,2,-0.6666666865348816,0.9195495843887329,0.08739910087759342,0.14344215031044621,0.7691587488119603,0.7691587488119603,1.5862162709236145,"They go back there, they come back to Nationwide, and we're going back and forth with each other, all three of us; the fan, Nationwide and nascar.com.",False,37,37,,,pending
Uc_6d-fkZEc$_$3,1,2,0.0,0.873117983341217,0.07782884828831554,0.16136506411437337,0.760806087597311,0.760806087597311,0.873117983341217,Different cultures getting closer Many thanks to the pupils that participated in this project.,False,15,15,,,pending
32681$_$1,1,0,0.0,-0.29787853360176086,0.760098085867395,0.052153390430958055,0.1877485237016469,0.760098085867395,0.29787853360176086,"(umm) I saw that over the weekend, did did (stutter) good in the box office",False,21,21,,,pending
IM6HW1HwHhM$_$17,1,2,0.0,0.9065463542938232,0.09373248914906032,0.15891696359458873,0.747350547256351,0.747350547256351,0.9065463542938232,And if that's the case then we need you to carve out some time every single week to move you forward.,False,25,25,,,pending
goMtnNHQ_z4$_$1,1,2,0.0,0.8685582280158997,0.08401870589782806,0.171487528215183,0.744493765886989,0.744493765886989,0.8685582280158997,Today I'd like to talk to you about how to get construction financing.,False,16,16,,,pending
RArhIHk4Qs4$_$21,1,2,0.0,0.7393897771835327,0.07630463052878006,0.1824318349153839,0.7412635345558359,0.7412635345558359,0.7393897771835327,"Lawyers Plus, We Earn Your Trust",False,7,4,,,pending
NoZsdSGnNpI$_$7,1,2,0.0,0.9219560623168945,0.11944773366743572,0.14173243735812324,0.7388198289744411,0.7388198289744411,0.9219560623168945,"If you're wearing fancy shoes, know how they feel, if you're a woman, and you have high heels, make sure you rehearse with your high heels on.",False,38,38,,,pending
