sample_id,video_id,clip_id,video_file,duration_video_sec,duration_audio_sec,source_fps,visual_sample_fps,word_count,text_dim,audio_dim,vision_dim,audio_wav2vec_dim,vision_resnet18_dim,ctc_alignment,ctc_log_confidence,audio_present,audio_rms,audio_peak,audio_active_start_sec,audio_active_end_sec,face_detection_rate,label,annotation,feature_file,word_alignment_file,status,elapsed_sec
-3g5yACwYnA__13,-3g5yACwYnA,13,-3g5yACwYnA/13.mp4,5.3991,5.3991,30.0,2.0,15,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.35395,True,0.01162315,0.14309162,0.0,4.965,1.0,0.6666666865348816,Positive,features/-3g5yACwYnA__13.npz,word_alignment/-3g5yACwYnA__13.csv,ok,3.09
-3g5yACwYnA__3,-3g5yACwYnA,3,-3g5yACwYnA/3.mp4,14.3279,14.3279,30.0,2.0,29,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.14878,True,0.01347311,0.1528912,0.0,14.3279,1.0,0.0,Neutral,features/-3g5yACwYnA__3.npz,word_alignment/-3g5yACwYnA__3.csv,ok,5.92
-3g5yACwYnA__2,-3g5yACwYnA,2,-3g5yACwYnA/2.mp4,9.2313,9.2313,30.0,2.0,14,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.25695,True,0.01762114,0.15548685,0.0,9.2313,1.0,0.0,Neutral,features/-3g5yACwYnA__2.npz,word_alignment/-3g5yACwYnA__2.csv,ok,4.1
-3g5yACwYnA__9,-3g5yACwYnA,9,-3g5yACwYnA/9.mp4,8.6961,8.6961,30.0,2.0,23,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.579,True,0.01542026,0.20144644,0.0,8.555,1.0,0.6666666865348816,Positive,features/-3g5yACwYnA__9.npz,word_alignment/-3g5yACwYnA__9.csv,ok,4.49
-3nNcZdcdvU__5,-3nNcZdcdvU,5,-3nNcZdcdvU/5.mp4,7.7886,7.7886,30.0,2.0,18,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.16944,True,0.03818885,0.35198617,0.4,7.285,1.0,0.0,Neutral,features/-3nNcZdcdvU__5.npz,word_alignment/-3nNcZdcdvU__5.csv,ok,1.16
-HwX2H8Z4hY__2,-HwX2H8Z4hY,2,-HwX2H8Z4hY/2.mp4,3.9158,3.9158,30.0,2.0,7,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-5.14973,True,0.06812732,0.92361689,0.0,3.675,0.2857,0.0,Neutral,features/-HwX2H8Z4hY__2.npz,word_alignment/-HwX2H8Z4hY__2.csv,ok,2.19
-HwX2H8Z4hY__5,-HwX2H8Z4hY,5,-HwX2H8Z4hY/5.mp4,5.5441,5.5441,30.0,2.0,9,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.76514,True,0.12806525,0.73592353,0.03,5.5441,0.4444,-1.0,Negative,features/-HwX2H8Z4hY__5.npz,word_alignment/-HwX2H8Z4hY__5.csv,ok,2.78
-HwX2H8Z4hY__6,-HwX2H8Z4hY,6,-HwX2H8Z4hY/6.mp4,3.256,3.256,30.0,2.0,7,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.83843,True,0.10638786,1.29467273,0.0,2.945,0.5714,0.0,Neutral,features/-HwX2H8Z4hY__6.npz,word_alignment/-HwX2H8Z4hY__6.csv,ok,1.63
-HwX2H8Z4hY__9,-HwX2H8Z4hY,9,-HwX2H8Z4hY/9.mp4,7.6363,7.6363,30.0,2.0,22,768,74,49,768,512,wav2vec2_ctc_forced_alignment,-0.57527,True,0.05016086,0.25700247,0.0,7.6363,0.2273,-0.3333333432674408,Negative,features/-HwX2H8Z4hY__9.npz,word_alignment/-HwX2H8Z4hY__9.csv,ok,2.79
-NFrJFQijFE__1,-NFrJFQijFE,1,-NFrJFQijFE/1.mp4,5.6589,5.6589,25.0,2.0,16,768,74,49,768,512,proportional_fallback_low_ctc_confidence,-5.18616,True,0.03551022,0.15576291,0.0,5.6589,0.0,0.3333333432674408,Positive,features/-NFrJFQijFE__1.npz,word_alignment/-NFrJFQijFE__1.csv,ok,2.38
